model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet18,dem+rgb,af1,0.36405408,571,515,0.7223300970873786,0.6514886164623468,0.6850828729281768,0.8378192971153234,0.7920154450116488,0.77734375,435,979,0.2951991828396322,0.664367816091954,0.4087694483734088,0.540670445885141,0.3293009277267754,0.4557291666666667
resnet18,dem+rgb,Qal,0.43365145,950,1123,0.7292965271593945,0.8621052631578947,0.7901591895803184,0.7641692114244656,0.8412963986935942,0.716796875,845,401,0.5860349127182045,0.2781065088757396,0.377207062600321,0.5240120227095626,0.5524948211190374,0.4947916666666667
resnet18,dem+rgb,Qaf,0.08325052,13,59,0.0508474576271186,0.2307692307692307,0.0833333333333333,0.8695388655992726,0.0670168292463549,0.95703125,6,0,0.0,0.0,0.0,0.3386710239651416,0.0032523316394639,0.99609375
resnet18,dem+rgb,Qat,0.4546793,61,35,0.2571428571428571,0.1475409836065573,0.1875,0.877454848569047,0.2272203026775586,0.94921875,77,0,0.0,0.0,0.0,0.6777280293387217,0.117256168031903,0.9498697916666666
resnet18,dem+rgb,Qc,0.6335705,749,701,0.8416547788873039,0.787716955941255,0.8137931034482758,0.907990832333836,0.9142338761349574,0.82421875,456,724,0.4668508287292817,0.7412280701754386,0.5728813559322034,0.745004873294347,0.5231844754736369,0.671875
resnet18,dem+rgb,Qca,0.34736833,432,528,0.6268939393939394,0.7662037037037037,0.6895833333333333,0.875895313338701,0.7577752232265242,0.8059895833333334,249,231,0.4978354978354978,0.4618473895582329,0.4791666666666667,0.8482289687108965,0.4822314349360288,0.8372395833333334
resnet18,dem+rgb,Qr,0.5138834,1433,1482,0.9460188933873144,0.9783670621074668,0.9619210977701544,0.913082066951673,0.993188300210505,0.927734375,1511,1507,0.9847378898473788,0.9821310390469888,0.9834327369118622,0.8023560555923229,0.9944170031097272,0.9674479166666666
resnet18,ep-ms+prc-ms,af1,0.34913284,571,602,0.6960132890365448,0.7338003502626971,0.7144075021312873,0.853847898877526,0.8180483879287644,0.7819010416666666,435,578,0.5916955017301038,0.7862068965517242,0.6752221125370188,0.8596260452879827,0.766669791569925,0.7858072916666666
resnet18,ep-ms+prc-ms,Qal,0.42394802,950,1019,0.7919528949950932,0.8494736842105263,0.8197054342305738,0.8590713130950243,0.9169846019163156,0.7688802083333334,845,1188,0.6414141414141414,0.901775147928994,0.749631087063453,0.7351578622868837,0.7661959647732497,0.6686197916666666
resnet18,ep-ms+prc-ms,Qaf,0.2855372,13,19,0.1578947368421052,0.2307692307692307,0.1875,0.9116622051618768,0.1796006043850636,0.9830729166666666,6,9,0.0,0.0,0.0,0.7088235294117647,0.0109886776954501,0.990234375
resnet18,ep-ms+prc-ms,Qat,0.38582015,61,42,0.3333333333333333,0.2295081967213114,0.2718446601941747,0.9257349263684356,0.376778810104534,0.951171875,77,89,0.1235955056179775,0.1428571428571428,0.1325301204819277,0.767675778642194,0.1189436458312889,0.90625
resnet18,ep-ms+prc-ms,Qc,0.13936052,749,863,0.8296639629200464,0.9559412550066756,0.8883374689826302,0.9718693115598434,0.9748939048298396,0.8828125,456,669,0.6621823617339312,0.9714912280701754,0.7875555555555556,0.971361273554256,0.9453728896599852,0.8444010416666666
