model,input,macro_precision (id),macro_recall (id),macro_f1 (id),auroc (id),macro_map (id),micro_accuracy (id),macro_precision (cd),macro_recall (cd),macro_f1 (cd),auroc (cd),macro_map (cd),micro_accuracy (cd)
resnet18,dem+rgb,0.5963120786693296,0.6320274022497793,0.6016247043419416,0.863707205047474,0.6561066250287347,0.8511904761904762,0.4043797588528565,0.4468115462497648,0.4030653243549231,0.6395244884994477,0.4288767374337961,0.767578125
resnet18,ep-ms+prc-ms+s-ms,0.6596070337311184,0.7377602213803105,0.6928764763422656,0.9189870830017484,0.7386976451398414,0.8899739583333334,0.5360897045135953,0.7132528636560418,0.6060738543267963,0.8434576950963741,0.6489611134621763,0.8696986607142857
resnet18,ep-ms+prc-ms,0.6560101077998768,0.6859224744488505,0.66776148475524,0.9183758012955516,0.7392302041057205,0.8876488095238095,0.511714306654096,0.6705631235019321,0.5768046910578467,0.8443579762657466,0.6269162364251096,0.8649553571428571
resnet18,ep-ms+s-ms+sds-ms,0.6480238865720009,0.7982163071628646,0.6840058578640322,0.9161648317142408,0.7462274474317271,0.8811383928571429,0.5720974106198776,0.6945483850689013,0.6238770283429256,0.8485689635643936,0.6406017751617377,0.8800223214285714
resnet18,ep-ms+s-ms,0.6533650996423109,0.725416007533575,0.6796160776077956,0.9086591542196608,0.7396195908173278,0.8820684523809523,0.563076595870558,0.6879770386618572,0.61390620007947,0.8248022782507666,0.6391898095594291,0.8733258928571429
resnet18,prc-ms+s-ms,0.646197579190418,0.7167028583538934,0.6773977172825909,0.9147872488788272,0.7224334428761005,0.8875558035714286,0.533018375564039,0.6745059360772947,0.5914281938260729,0.8143916220615266,0.6355595420364564,0.8697916666666666
resnet50,dem+rgb,0.5825273055006333,0.6672431581833125,0.613127371954526,0.8591221993204892,0.6469592625747068,0.8430059523809523,0.3607155574512735,0.4145942355131898,0.3678840175842436,0.6380853428197099,0.4063267419191504,0.7779017857142857
resnet50,ep-ms+prc-ms+s-ms,0.6874213625825398,0.7281562956823876,0.7004071122504694,0.9117178781182308,0.7285335900651818,0.8890438988095238,0.567769882240071,0.6703087691918274,0.6110346445410535,0.8399638610630903,0.6451290906267559,0.8748139880952381
resnet50,ep-ms+prc-ms,0.6563945236161786,0.6691604840540423,0.6609253104361539,0.8949655749949438,0.7110046954972349,0.8873697916666666,0.546692907404301,0.6480663455104815,0.5894094277761921,0.840757158733397,0.6269774778208047,0.8725818452380952
resnet50,ep-ms+s-ms+sds-ms,0.6496476852792329,0.7522210545843679,0.6771312531750624,0.9039907899692604,0.7272905273520897,0.8792782738095238,0.5664432996245663,0.6961730819034064,0.6217092631889704,0.8184554949393714,0.6527754113704207,0.8776041666666666
