model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet18,ep-ms,af1,0.16670108,571,641,0.6786271450858035,0.7618213660245184,0.7178217821782178,0.8525394045534151,0.8075836970796764,0.77734375,435,363,0.6914600550964187,0.5770114942528736,0.6290726817042607,0.79986010627747,0.6970507207108446,0.8072916666666666
resnet18,ep-ms,Qal,0.56040394,950,918,0.8235294117647058,0.7957894736842105,0.8094218415417559,0.8442967486976829,0.9038399108463756,0.7682291666666666,845,1058,0.6635160680529301,0.8307692307692308,0.7377824487651077,0.7425633033336472,0.7812199014736968,0.6751302083333334
resnet18,ep-ms,Qaf,0.061368983,13,63,0.0476190476190476,0.2307692307692307,0.0789473684210526,0.8893883529471185,0.1261653281305666,0.9544270833333334,6,17,0.0588235294117647,0.1666666666666666,0.0869565217391304,0.7522875816993464,0.0212406968307738,0.986328125
resnet18,ep-ms,Qat,0.4415877,61,72,0.4305555555555556,0.5081967213114754,0.4661654135338345,0.9103084190052791,0.3961057626238888,0.9537760416666666,77,201,0.2189054726368159,0.5714285714285714,0.316546762589928,0.8641481890282439,0.2930674213475855,0.8763020833333334
resnet18,ep-ms,Qc,0.4642653,749,790,0.8531645569620253,0.8998664886515354,0.875893437296946,0.9577259302110566,0.9604493968834248,0.8756510416666666,456,281,0.6298932384341637,0.3881578947368421,0.4803256445047489,0.7445276965562052,0.5879960099412429,0.7506510416666666
resnet18,ep-ms,Qca,0.45763266,432,466,0.7446351931330472,0.8032407407407407,0.7728285077951003,0.9332729468599033,0.849968062392611,0.8671875,249,189,0.455026455026455,0.3453815261044177,0.3926940639269406,0.7964632422463749,0.4210571114382472,0.8268229166666666
resnet18,ep-ms,Qr,0.44787383,1433,1448,0.9661602209944752,0.9762735519888346,0.9711905588337384,0.939044302468174,0.9952252617816576,0.9459635416666666,1511,1532,0.9836814621409922,0.9973527465254798,0.9904699309891556,0.8134877564526803,0.9949261250205084,0.9811197916666666
resnet18,plc-ms,af1,0.28357282,571,620,0.6516129032258065,0.7075306479859895,0.6784214945424013,0.8136584303512608,0.7580620361253687,0.7506510416666666,435,590,0.4745762711864407,0.6436781609195402,0.5463414634146342,0.7516949064069236,0.5914718912840002,0.697265625
resnet18,plc-ms,Qal,0.41932222,950,1118,0.7298747763864043,0.8589473684210527,0.7891682785299806,0.8029477276809772,0.8797621990109153,0.7161458333333334,845,1371,0.5725747629467542,0.9289940828402368,0.7084837545126353,0.7632879199171083,0.8288425594201949,0.5794270833333334
resnet18,plc-ms,Qaf,0.049073227,13,22,0.2727272727272727,0.4615384615384615,0.3428571428571428,0.9135309864134552,0.2322515643495405,0.9850260416666666,6,8,0.125,0.1666666666666666,0.1428571428571428,0.8404139433551198,0.0413176052439635,0.9921875
resnet18,plc-ms,Qat,0.09195643,61,155,0.2709677419354839,0.6885245901639344,0.3888888888888889,0.903828841344818,0.3286249995204571,0.9140625,77,217,0.2211981566820276,0.6233766233766234,0.3265306122448979,0.842820647481374,0.3418052836634049,0.87109375
resnet18,plc-ms,Qc,0.30526084,749,819,0.811965811965812,0.8878504672897196,0.8482142857142857,0.9303060582258768,0.9373125571111924,0.8450520833333334,456,721,0.5131761442441054,0.8114035087719298,0.6287170773152082,0.849419265756985,0.7535102559290987,0.7154947916666666
resnet18,plc-ms,Qca,0.40185925,432,402,0.753731343283582,0.7013888888888888,0.7266187050359713,0.91454265633387,0.8190070905705816,0.8515625,249,436,0.4724770642201835,0.8273092369477911,0.6014598540145986,0.8975731987780181,0.560811856581627,0.822265625
resnet18,plc-ms,Qr,0.5728012,1433,1485,0.9447811447811448,0.9790648988136776,0.9616175462645647,0.8973434779368423,0.9915851712351896,0.9270833333333334,1511,1532,0.9843342036553524,0.9980145598941098,0.9911271771278344,0.8038914626075448,0.994691295570523,0.982421875
resnet18,prc-ms,af1,0.28987208,571,683,0.6471449487554904,0.7740805604203153,0.7049441786283892,0.8466738655027539,0.8003309849531887,0.7591145833333334,435,517,0.620889748549323,0.7379310344827587,0.6743697478991597,0.846164928434965,0.7571861982990115,0.7981770833333334
resnet18,prc-ms,Qal,0.32307327,950,1032,0.7839147286821705,0.8515789473684211,0.8163471241170535,0.8425435602658524,0.90368961013724,0.7630208333333334,845,1249,0.611689351481185,0.9041420118343196,0.7297039159503342,0.710906926759092,0.7547699857180233,0.6315104166666666
resnet18,prc-ms,Qaf,0.03889315,13,50,0.08,0.3076923076923077,0.1269841269841269,0.8696903884034548,0.1677668798031891,0.9641927083333334,6,32,0.0,0.0,0.0,0.5127450980392156,0.0044691433216186,0.9752604166666666
resnet18,prc-ms,Qat,0.3899934,61,38,0.3947368421052631,0.2459016393442623,0.303030303030303,0.9075520978049458,0.3361132543127447,0.955078125,77,72,0.2638888888888889,0.2467532467532467,0.2550335570469799,0.7295425616193266,0.2026226663746618,0.927734375
