model,input,macro_precision (id),macro_recall (id),macro_f1 (id),auroc (id),macro_map (id),micro_accuracy (id),macro_precision (cd),macro_recall (cd),macro_f1 (cd),auroc (cd),macro_map (cd),micro_accuracy (cd)
resnet18,ep-ms,0.6491844473020942,0.7108510818815067,0.6703241299429493,0.9037965863918042,0.7199053456768859,0.8775111607142857,0.52875804011422,0.5538240186405832,0.5191211506027532,0.787619696513424,0.5423654266804142,0.8433779761904762
resnet18,plc-ms,0.6336658563293581,0.7549779033002464,0.6765409059761766,0.8823083111838715,0.7066579454176064,0.8556547619047619,0.4804766575621234,0.7142061199166997,0.5636452973552788,0.8213001920432964,0.587492963956116,0.80859375
resnet18,prc-ms,0.6536575152770793,0.7018544054747782,0.6646499897849273,0.9056228072414186,0.7275007403893967,0.8836495535714286,0.5512864386874216,0.66622489715816,0.5998760902043668,0.7995605488726927,0.6299856264522227,0.8703497023809523
resnet18,s-ms,0.6328230058511386,0.7378272354515092,0.6724577060490098,0.8846975346617365,0.7091021404072059,0.8749069940476191,0.5022445865620325,0.6710464927452447,0.5664593287375825,0.7971317361232849,0.6071617332759454,0.8451450892857143
resnet18,sds-ms,0.6129681628893761,0.7147767264310678,0.6428419917869724,0.8760272132363934,0.6810864452151877,0.8572358630952381,0.4956448639740724,0.6544111564959628,0.5540503720547968,0.7419064843319461,0.5724808644749811,0.8380766369047619
resnet50,ep-ms,0.6391208438478976,0.6841560624070729,0.6545937805465446,0.8814722193243745,0.7065100129285007,0.8688616071428571,0.525051732828265,0.6080807277656577,0.5543930954671684,0.7981127070136419,0.5804857870273625,0.8509114583333334
resnet50,plc-ms,0.5937278677845809,0.6945985663995945,0.6382406886232068,0.8618418309704979,0.6735240822178074,0.8490513392857143,0.4444067803443708,0.653146760543902,0.521599991877468,0.7809477082778541,0.5456863998392331,0.8002232142857143
resnet50,prc-ms,0.6185834484626792,0.7154912168448554,0.6561548928252998,0.9030068433379552,0.7023238424346763,0.87109375,0.5092241661215441,0.6424017592088692,0.5640256421740474,0.7672698742647039,0.6065326579370002,0.8603980654761905
resnet50,s-ms,0.6284386963153448,0.7351775562890129,0.6649059016032544,0.8862337277879134,0.6918137675858687,0.8722098214285714,0.5408950125926106,0.6834884799716312,0.6000446941961558,0.8233011999017227,0.6206812271103773,0.8607700892857143
resnet50,sds-ms,0.6033338637963939,0.7514423593753204,0.6454140353998746,0.8815147429036797,0.6803026943306272,0.8537016369047619,0.4977406438431201,0.6885599057052284,0.570480398750239,0.7552013306040453,0.5819684249037823,0.8328683035714286
swin,ep-ms,0.6536780772655381,0.7045652136039983,0.6765894441815812,0.8973862361716168,0.7294740145736442,0.8794642857142857,0.528149367418132,0.7030113927826235,0.5916527722882412,0.8673992583140233,0.6394066062106968,0.8592819940476191
swin,plc-ms,0.5988426177125651,0.7214464843179497,0.6409607404097157,0.8768609324183511,0.6806072274181185,0.8493303571428571,0.4710973178708831,0.6626394525958764,0.5446584000257682,0.813378857013731,0.5625283144574783,0.818359375
swin,prc-ms,0.6020739736763261,0.7472920324799469,0.6497156366397144,0.9005760353863747,0.7026813505564407,0.8615141369047619,0.5107470314928031,0.6817845615042628,0.577895688548235,0.8036608306297958,0.6123371154534372,0.8453311011904762
swin,s-ms,0.61934322045044,0.7738644739665889,0.6668618665477037,0.8898299133888496,0.7112584423825875,0.8637462797619048,0.5189905517578771,0.6836082112854446,0.5846679988717537,0.8211565128746575,0.6027437576758049,0.8509114583333334
swin,sds-ms,0.6146293775520333,0.7455786641567267,0.6562940975810001,0.8644824456547615,0.680317077164969,0.8553757440476191,0.5145311017528444,0.7069527416990944,0.5877159785664627,0.7946267889690394,0.5864900802781907,0.8444010416666666
vit,ep-ms,0.5627351853892829,0.6216821864619736,0.5865984771042917,0.8320380740457985,0.6368505719068575,0.8405877976190477,0.4602222650178773,0.605712607538116,0.5142055434654293,0.729547690188244,0.5266633252497595,0.8140811011904762
vit,plc-ms,0.5346464632194002,0.7189222166442558,0.5989989515662435,0.8274345046912686,0.620404042324069,0.8138020833333334,0.4357655896019378,0.6507315272456266,0.5115599750494477,0.7274059665893828,0.5201127694023054,0.7802269345238095
vit,prc-ms,0.5976875823806603,0.6800855794184024,0.6309372572923683,0.8776109597116329,0.6635118823920465,0.861328125,0.4736581033108642,0.6162461770737274,0.5314799094368748,0.7454015723859232,0.5555160561700404,0.8406808035714286
vit,s-ms,0.5903482000348041,0.7527155042933612,0.6459113490395593,0.8613498969608223,0.6617038362715346,0.841796875,0.469930325480751,0.6549698332825835,0.5347032793709136,0.7041905921361366,0.5472326067822321,0.8142671130952381
vit,sds-ms,0.5634476201089892,0.7174900055074135,0.6117510599248825,0.8362392935662893,0.6335047667403677,0.8310081845238095,0.4987812180663261,0.6972333263235969,0.574098459505403,0.7553393541291394,0.5485271587190924,0.8245907738095238
