model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet18,dem,af1,0.402417,571.0,538.0,0.6226765799256505,0.5866900175131349,0.6041478809738503,0.7578559567343902,0.7034848159908949,0.7141927083333334,435.0,567.0,0.291005291005291,0.3793103448275862,0.3293413173652694,0.5552486245523922,0.3412226549657623,0.5625
resnet18,dem,Qal,0.33536667,950.0,1010.0,0.7762376237623763,0.8252631578947368,0.8,0.824415304472786,0.895711053217835,0.7447916666666666,845.0,1331.0,0.5477084898572502,0.8627218934911243,0.6700367647058824,0.4842788515058358,0.5789685338631432,0.5325520833333334
resnet18,dem,Qaf,0.058683727,13.0,28.0,0.1071428571428571,0.2307692307692307,0.1463414634146341,0.880953583514319,0.0878558033059498,0.9772135416666666,6.0,0.0,0.0,0.0,0.0,0.6854030501089324,0.032778161159295,0.99609375
resnet18,dem,Qat,0.084914654,61.0,210.0,0.2285714285714285,0.7868852459016393,0.3542435424354243,0.9077299249791608,0.3084343958617794,0.8860677083333334,77.0,2.0,0.0,0.0,0.0,0.8061027389334449,0.1621313995335317,0.9485677083333334
resnet18,dem,Qc,0.3785475,749.0,805.0,0.8559006211180125,0.9198931909212285,0.8867438867438867,0.9623402995607866,0.966037231787222,0.8854166666666666,456.0,763.0,0.5792922673656619,0.9692982456140352,0.7251845775225595,0.9453622482131254,0.8827899959439682,0.7819010416666666
resnet18,dem,Qca,0.27175826,432.0,514.0,0.6867704280155642,0.8171296296296297,0.7463002114164905,0.9299328200483092,0.8649103450973109,0.84375,249.0,242.0,0.6363636363636364,0.6184738955823293,0.6272912423625254,0.8883708883708883,0.6342607200224123,0.880859375
resnet18,dem,Qr,0.38798514,1433.0,1497.0,0.9432197728790916,0.9853454291695743,0.9638225255972696,0.9303179560837131,0.9948029509347318,0.9309895833333334,1511.0,1536.0,0.9837239583333334,1.0,0.9917952084017068,0.8030575777630707,0.9938298624578136,0.9837239583333334
resnet18,ep-101,af1,0.142561,571.0,692.0,0.6502890173410405,0.7880910683012259,0.7125890736342043,0.8417502245855377,0.7950289866220358,0.763671875,435.0,401.0,0.6184538653366584,0.5701149425287356,0.5933014354066986,0.7845720191675278,0.6728702256172985,0.7786458333333334
resnet18,ep-101,Qal,0.33520558,950.0,1121.0,0.7404103479036575,0.8736842105263158,0.8015451472718493,0.8096569067720496,0.8812187620664882,0.732421875,845.0,1304.0,0.5874233128834356,0.906508875739645,0.7128897161470451,0.7589361100882864,0.818863768833128,0.5983072916666666
resnet18,ep-101,Qaf,0.15704197,13.0,32.0,0.09375,0.2307692307692307,0.1333333333333333,0.8533764331531896,0.0851727596368601,0.974609375,6.0,7.0,0.0,0.0,0.0,0.7322440087145969,0.0101719912743134,0.9915364583333334
resnet18,ep-101,Qat,0.16512614,61.0,79.0,0.3164556962025316,0.4098360655737705,0.3571428571428571,0.8938371769936093,0.3134874314406244,0.94140625,77.0,126.0,0.2222222222222222,0.3636363636363636,0.2758620689655172,0.7975218749721833,0.203335355737758,0.904296875
resnet18,ep-101,Qc,0.5859988,749.0,805.0,0.8111801242236025,0.8718291054739653,0.8404118404118404,0.9309897313317376,0.9321036272366732,0.8385416666666666,456.0,469.0,0.44136460554371,0.4539473684210526,0.4475675675675675,0.6869456627680312,0.5402414540470039,0.6673177083333334
resnet18,ep-101,Qca,0.33238322,432.0,500.0,0.672,0.7777777777777778,0.721030042918455,0.9083341720343532,0.8042096920603703,0.8307291666666666,249.0,329.0,0.458966565349544,0.606425702811245,0.5224913494809689,0.8540299504154926,0.5066788298322624,0.8203125
resnet18,ep-101,Qr,0.45657983,1433.0,1450.0,0.9558620689655172,0.9672016748080948,0.9614984391259104,0.9064560057994973,0.9927453639527328,0.927734375,1511.0,1521.0,0.9855358316896778,0.9920582395764396,0.9887862796833772,0.7676373262739907,0.9942418005830046,0.9778645833333334
resnet18,ep-11,af1,0.5484073,571.0,523.0,0.7323135755258127,0.670753064798599,0.70018281535649,0.8391241617741805,0.7927581260954644,0.7864583333333334,435.0,270.0,0.662962962962963,0.4114942528735632,0.5078014184397163,0.746167016400973,0.6049647144024899,0.7740885416666666
resnet18,ep-11,Qal,0.43715858,950.0,986.0,0.7697768762677485,0.7989473684210526,0.7840909090909091,0.811192742949524,0.881394314879765,0.7278645833333334,845.0,1305.0,0.5862068965517241,0.9053254437869822,0.7116279069767442,0.6859675112819942,0.7420158391038405,0.5963541666666666
resnet18,ep-11,Qaf,0.038410008,13.0,32.0,0.0625,0.1538461538461538,0.0888888888888888,0.8873680488913581,0.0605483178236534,0.9733072916666666,6.0,14.0,0.0,0.0,0.0,0.7916122004357299,0.0232651607380944,0.9869791666666666
resnet18,ep-11,Qat,0.1551091,61.0,108.0,0.25,0.4426229508196721,0.3195266272189349,0.8679188663517643,0.2536807434127929,0.9251302083333334,77.0,474.0,0.0970464135021097,0.5974025974025974,0.1669691470054446,0.6882137738888938,0.1017268418487443,0.701171875
resnet18,ep-11,Qc,0.39342782,749.0,773.0,0.8434670116429496,0.8704939919893191,0.8567674113009198,0.9464309040601362,0.9511691168519628,0.8580729166666666,456.0,205.0,0.2292682926829268,0.1030701754385964,0.1422087745839637,0.4566926575698505,0.2803859517857267,0.630859375
resnet18,ep-11,Qca,0.46071205,432.0,563.0,0.6465364120781527,0.8425925925925926,0.7316582914572864,0.9223090277777778,0.8517693146427081,0.826171875,249.0,51.0,0.0392156862745098,0.0080321285140562,0.0133333333333333,0.535809126170572,0.1596657997539124,0.8072916666666666
resnet18,ep-11,Qr,0.42514166,1433.0,1499.0,0.9459639759839892,0.9895324494068388,0.9672578444747612,0.9141051091132054,0.9930675829818096,0.9375,1511.0,1536.0,0.9837239583333334,1.0,0.9917952084017068,0.52885506287227,0.9868199126872094,0.9837239583333334
resnet18,ep-201,af1,0.28635895,571.0,575.0,0.6817391304347826,0.6865148861646234,0.6841186736474695,0.8259666252279884,0.7693440690700241,0.7643229166666666,435.0,341.0,0.6304985337243402,0.4942528735632184,0.5541237113402062,0.7881779364631945,0.6650272360434363,0.7747395833333334
resnet18,ep-201,Qal,0.38662845,950.0,1046.0,0.7705544933078394,0.848421052631579,0.8076152304609219,0.8186096640919704,0.8803173309057699,0.75,845.0,1274.0,0.5855572998430141,0.8828402366863906,0.7041057102406796,0.7023437433100129,0.7721739342479275,0.591796875
resnet18,ep-201,Qaf,0.08046423,13.0,20.0,0.1,0.1538461538461538,0.1212121212121212,0.8527198343350675,0.1350470662878029,0.9811197916666666,6.0,7.0,0.0,0.0,0.0,0.8185185185185185,0.02276589589788,0.9915364583333334
resnet18,ep-201,Qat,0.16970916,61.0,115.0,0.2608695652173913,0.4918032786885246,0.3409090909090909,0.8999277577104752,0.2877539017431914,0.9244791666666666,77.0,158.0,0.2341772151898734,0.4805194805194805,0.3148936170212766,0.7962489874758553,0.229547163546254,0.8951822916666666
resnet18,ep-201,Qc,0.447697,749.0,874.0,0.7677345537757437,0.8958611481975968,0.8268638324091189,0.919034782505433,0.9244794160752312,0.8170572916666666,456.0,529.0,0.4461247637051039,0.5175438596491229,0.4791878172588832,0.6790042235217674,0.5057850125794782,0.666015625
