model,input,macro_precision (id),macro_recall (id),macro_f1 (id),auroc (id),macro_map (id),micro_accuracy (id),macro_precision (cd),macro_recall (cd),macro_f1 (cd),auroc (cd),macro_map (cd),micro_accuracy (cd)
resnet18,dem,0.6029313302021402,0.735996557399882,0.6430856443687938,0.8847922636276379,0.6887480851708176,0.8546316964285714,0.4340133775607389,0.5471149113592965,0.4776641586225634,0.7382605684925272,0.5179973325637038,0.8123139880952381
resnet18,ep-101,0.6057067506623356,0.7027413047471972,0.6467929619769214,0.877771521524282,0.6862809461451121,0.8584449404761905,0.4734237718607496,0.5560987846733545,0.505842631035882,0.7688409932000155,0.535200489417824,0.8197544642857143
resnet18,ep-11,0.6072225502140932,0.6812555102677468,0.6354818268268844,0.8840641229882781,0.6834839309554509,0.8620721726190477,0.3712034586153667,0.4321892282879708,0.3619622555344155,0.6333310498028977,0.4141206029028597,0.7829241071428571
resnet18,ep-201,0.5975815946578243,0.6976453264770927,0.6391905441693427,0.8784496690440226,0.6865817562893943,0.8567708333333334,0.4698655352962472,0.5712878887200111,0.5053656619899319,0.7781191831045579,0.5211252674234511,0.8133370535714286
resnet18,ep-21,0.6371239303853145,0.6877944789924372,0.6524597245885209,0.8869250230345215,0.6997676744763436,0.8680245535714286,0.4023752893127038,0.3670217235549204,0.3693821441682458,0.6609558436928984,0.4351842545796051,0.8253348214285714
resnet18,ep-51,0.6367863775509423,0.6866030215860375,0.6596823577288325,0.8806878042500366,0.7092684035716764,0.8648623511904762,0.5026151284533855,0.4808284772284726,0.4852172744040072,0.7543080914707941,0.5164290749558738,0.8296130952380952
resnet18,ep-5,0.6282011934486318,0.6970793360918114,0.6586446376404644,0.8794614445643434,0.6895331811990727,0.8619791666666666,0.3667214761100453,0.4064093945383709,0.3683876406069619,0.6036353591737064,0.4085621766635399,0.7925037202380952
resnet18,nhd,0.4156498974927261,0.7192527054516749,0.5083460535900979,0.6293660311245134,0.4548777715065143,0.6752232142857143,0.3391046188061248,0.6882173137292915,0.4227524801922086,0.5689713758807117,0.3719825355020544,0.6356956845238095
resnet18,nir,0.5435722325645286,0.7278978355993492,0.5955169636715146,0.8124088663639553,0.6194443277332786,0.8092447916666666,0.2668124354032301,0.2634723627538476,0.231484375781918,0.4373169990948771,0.314119137381066,0.7080543154761905
resnet18,osm,0.4552549471043551,0.8268484903932845,0.5358145879860065,0.6604738680953098,0.478138192195468,0.6707589285714286,0.3792885842475035,0.8107879794802192,0.4521171505807647,0.5998171104426762,0.3944486307029221,0.5571986607142857
resnet18,plc-100,0.4891502179404304,0.6930822458518427,0.5618978182857329,0.7538801541379297,0.5491714517226399,0.7600446428571429,0.3722640345032591,0.5808559939538828,0.4344652190104207,0.6854314385965427,0.4020960029101568,0.7267485119047619
resnet18,plc-10,0.5723460386120582,0.6765665330089884,0.6161222756354545,0.8365719355117515,0.6532493573063544,0.8331473214285714,0.4214496852939907,0.6067958761889888,0.4850884250653317,0.728314005891516,0.5151889705864636,0.7913876488095238
resnet18,plc-200,0.4324343913739826,0.690599105204018,0.5121192043842241,0.6692860216375512,0.4853766112753533,0.7046130952380952,0.355393207237181,0.6683380728085514,0.4259189628358751,0.6246876118222934,0.3758979941110342,0.6472284226190477
resnet18,plc-20,0.5358039740016528,0.7007035208078882,0.587117139773598,0.8306241801803076,0.6312559488652346,0.8111979166666666,0.4106660813734675,0.5673153030205359,0.4619168692592915,0.716455831944004,0.4757225850924131,0.767578125
resnet18,plc-50,0.4961059991244073,0.7256548551595464,0.5737322766327668,0.7902420385340179,0.5818842609733005,0.7644159226190477,0.387700041823543,0.5830035589202558,0.4444536613449221,0.690800050536217,0.4262335762549069,0.7219122023809523
resnet18,plc-5,0.5202432531738457,0.681742692106201,0.5823637912276209,0.8127813392415646,0.6156481993575108,0.8119419642857143,0.4329718393678042,0.7012860943886953,0.5247522731414067,0.7831067791542374,0.5405912937033193,0.7815290178571429
resnet18,prc-100,0.5863603346795692,0.6736576319541542,0.6145369590196682,0.8367522119567131,0.6619468815744868,0.8393787202380952,0.4381950340589137,0.6298550534689712,0.5043608858861213,0.739333421104127,0.5161129620679329,0.7998511904761905
resnet18,prc-10,0.5767800308750676,0.7068170862001525,0.6296067656846766,0.8541685823701715,0.6752718448776459,0.8527715773809523,0.4615363374511146,0.6756117529865217,0.5399258886760651,0.7791510225701375,0.5832183593395884,0.8193824404761905
resnet18,prc-200,0.5461343895413079,0.8027432451339719,0.6119971669360841,0.8342999341011202,0.6169903896562344,0.7987351190476191,0.4586878825411848,0.6562841101211289,0.5228953428093372,0.7157620334157304,0.5283508465535212,0.7786458333333334
resnet18,prc-20,0.6386336431288698,0.6816689707995336,0.6533856305305782,0.8678285489818729,0.6821282506156249,0.8618861607142857,0.4792639018628743,0.6805755966882829,0.5477349488762184,0.7724183595517556,0.5627699926946571,0.8113839285714286
resnet18,prc-50,0.5914869021562257,0.7497527358478466,0.641211787564651,0.8580220839063493,0.6502530588833554,0.8335193452380952,0.4742048883031668,0.6984141427502303,0.5476703427492111,0.744276764472571,0.5473308000123025,0.7885974702380952
resnet18,prc-5,0.6187787730592443,0.6756042328675651,0.6435710982610316,0.8729568447429693,0.6793937162657456,0.8646763392857143,0.5104324388995487,0.6680860252570469,0.5719289345039541,0.7880176325676077,0.5903903176535319,0.8550967261904762
resnet18,rgb+nir,0.5851130957462521,0.6631718569074919,0.619008784667561,0.8534818647076088,0.6456536511649322,0.8493303571428571,0.3439412698603418,0.3839168206210816,0.3165719267261302,0.5133178192618191,0.3422011949818548,0.6744791666666666
resnet18,rgb,0.5645418428767925,0.6230109743222284,0.5912081664866172,0.8308358050929786,0.6243400152009293,0.8427269345238095,0.3470067453267375,0.4298497725240856,0.3166277485266681,0.5066060916372412,0.351154965107433,0.6648065476190477
resnet18,s-100,0.5503056003149398,0.7170464170350126,0.6121793543764865,0.8203231265253849,0.6168085995361621,0.8198474702380952,0.4808936243709404,0.6996947845376099,0.5544154528394167,0.7538439105653884,0.5453263501046026,0.7927827380952381
resnet18,s-10,0.5939140339857485,0.688327556507156,0.6344573056464418,0.858552906101366,0.6761768148719526,0.8581659226190477,0.511052333935024,0.6959732716414644,0.5811024466112025,0.84266529604146,0.6077574602690782,0.8435639880952381
resnet18,s-200,0.517595890103847,0.8392737328048694,0.6021037178221427,0.8197948723689131,0.5970879011017732,0.7820870535714286,0.4533730778466687,0.6919115785511706,0.5319244532795965,0.686362942608934,0.5230050765444253,0.7789248511904762
resnet18,s-20,0.5988576133123557,0.679633568885006,0.6333126676644573,0.8581433080323645,0.6701248879683173,0.8548177083333334,0.4781330540467556,0.6765165895957873,0.5491917656382811,0.8098832722865311,0.5548657540401152,0.8159412202380952
resnet18,s-50,0.591981658769552,0.7437968822425614,0.6471263116399047,0.8370397917482056,0.6542510164739452,0.8311941964285714,0.507911543537486,0.691286706982469,0.5677443409342116,0.8015324245735923,0.5713103955238038,0.8031994047619048
resnet18,s-5,0.6244548676088041,0.7053738384566276,0.6584611042942007,0.8690638091194103,0.7008658488721897,0.8693266369047619,0.5172366867729894,0.7258615701143233,0.5985338167829932,0.8526515766961461,0.617644043101944,0.8470982142857143
resnet18,sds-101,0.5294374061318713,0.6603381009261843,0.5843990750459633,0.794767925393374,0.5968520103500863,0.8218936011904762,0.4515449003787313,0.6613455826274262,0.5263895747972965,0.7271246431648867,0.5194197636214711,0.8057105654761905
resnet18,sds-11,0.5844535081117821,0.7136841608022139,0.6367862161236093,0.844384199943102,0.6644706202909421,0.8439360119047619,0.4842421215755138,0.6924057034142207,0.5633840062776467,0.7384881982739703,0.5683522249829408,0.8277529761904762
resnet18,sds-201,0.5270527615359504,0.7251683727635373,0.5899289842438348,0.7875445050897796,0.599681781482485,0.8125,0.4825514609940566,0.6676155120163508,0.5442417681525163,0.7381892070952941,0.5382613636310344,0.7966889880952381
resnet18,sds-21,0.5802055917274981,0.6272532333967848,0.5949545479951018,0.8283661108007021,0.648402620428569,0.8515625,0.4656840125739738,0.6263454228354605,0.5268012496715737,0.7507983139737974,0.5511707819992732,0.8270089285714286
resnet18,sds-51,0.5707136438229925,0.7063859773656089,0.6217048065496741,0.8262702591233192,0.6498842805293473,0.8346354166666666,0.4668434426993979,0.715729393150947,0.5536989578401702,0.7234515680185611,0.5610862888893515,0.8118489583333334
