model,input,macro_f1_id_mean,macro_f1_id_sd,macro_f1_cd_mean,macro_f1_cd_sd
resnet18,ep-51,0.6581246234570355,0.010194716688909738,0.4679655166753246,0.029018316380712072
resnet18,plc-ms,0.6470351587983297,0.019645578522993933,0.5444011574038023,0.012622189433669549
resnet18,ep-ms+prc-ms+s-ms,0.6891169636449898,0.0037554439866442613,0.6075558934796832,0.005539072275235549
resnet50,sds-11,0.6280265135424594,0.01939398116769714,0.5478206502138476,0.017084955686395946
resnet50,s-ms,0.6683471360351516,0.01686523901751502,0.5925069487679229,0.014165028346612393
resnet50,ep-ms+prc-ms+s-ms,0.6799698551140823,0.012700403641877155,0.594242408885453,0.016394779611801625
swin,prc-50,0.6441252996421415,0.013845408872440537,0.5274837852548986,0.003996472919778914
swin,ep-ms,0.6724410632312925,0.011439264136681965,0.5949468183254306,0.011942084432329267
swin,ep-ms+s-ms,0.6773053528530315,0.012534946277313368,0.5966409651048415,0.013886557723134818
vit,dem,0.6234106164103078,0.008515487100470726,0.5112958305777708,0.008000269017258553
vit,s-ms,0.6532381664409906,0.02011047022117193,0.5753798317832628,0.03502556168178922
vit,ep-ms+s-ms+sds-ms,0.6678278866066241,0.014209184068626719,0.6072529712235986,0.013363032728162796
