model,input,precision (id),precision (cd),recall (id),recall (cd),f1 (id),f1 (cd),f1 (delta),map (id),map (cd),map (delta),auroc (id),auroc (cd),accuracy (id),accuracy (cd)
resnet18,aerial,0.5632222871777144,0.3291979795367265,0.6656899488772494,0.4312601892212572,0.6029730441682055,0.295909549676827,0.3070634944913785,0.6434572516135225,0.3177792672473844,0.3256779843661381,0.8554166938788851,0.4853953156498161,0.8473772321428571,0.6783854166666666
resnet18,dem,0.6320320853635693,0.4337856848724411,0.7576458889294398,0.6362819774956753,0.674444931728406,0.4986153453398109,0.1758295863885951,0.723064161884735,0.5614855933242533,0.1615785685604817,0.9002997186229191,0.7543457963012138,0.8699776785714286,0.8049665178571429
resnet18,ep101,0.5778926256768733,0.5075328915199899,0.6724286746507703,0.6073406331854755,0.6208090880277256,0.5500865035572128,0.0707225844705128,0.693959839924608,0.5856294381685709,0.108330401756037,0.8734574931444677,0.8007418348950633,0.8544456845238095,0.8327752976190477
resnet18,ep11,0.6106337157157226,0.4190996825167853,0.672216828171539,0.3061606371597197,0.6344349657486875,0.3223044074886045,0.312130558260083,0.6899355187964842,0.4119969356266075,0.2779385831698767,0.8781083066635452,0.614095996211177,0.8656063988095238,0.8146391369047619
resnet18,ep201,0.5916639693351826,0.4809991888839384,0.7375999599186093,0.5856770609757979,0.6455885573773881,0.5227954913711066,0.1227930660062814,0.7002615461131921,0.550180038175774,0.1500815079374181,0.8795018429600846,0.8096164905081119,0.8538876488095238,0.830078125
resnet18,ep21,0.699097535975576,0.4586314693529438,0.6576669556592314,0.3683589459838329,0.6457450035930482,0.3730698607531594,0.2726751428398888,0.6941916532809547,0.4318209257565293,0.2623707275244253,0.8762258828279438,0.6530950565460694,0.8658854166666666,0.8252418154761905
resnet18,ep51,0.6503184577196409,0.5161212995881901,0.6785111111063425,0.4384480922335257,0.662626302925262,0.4582876643961615,0.2043386385291005,0.706028049493529,0.5018256724229617,0.2042023770705673,0.879047613488325,0.7386203006096143,0.8683965773809523,0.8328683035714286
resnet18,ep5,0.6051809486999244,0.3666042119694791,0.7030445342662363,0.4037811486547266,0.6447585402363244,0.3576298807194535,0.2871286595168709,0.6895601870760399,0.3962622113660331,0.2932979757100068,0.8853960440545834,0.5974868893726472,0.8625372023809523,0.7984561011904762
resnet18,nhd,0.4071211206260505,0.3498436397410767,0.7304595703350412,0.7220902164902433,0.5078550882500351,0.4427767637521445,0.0650783244978906,0.4510629354312838,0.3708447582279066,0.0802181772033772,0.6254506306215882,0.5776896564696566,0.6728050595238095,0.6303943452380952
resnet18,nir,0.5371811142823513,0.2876579950478334,0.747491025198298,0.3297035608236628,0.5944471052029267,0.2901465056508027,0.3043005995521239,0.6172351057606706,0.3152106939546035,0.3020244118060671,0.8036530255924548,0.4496629700748812,0.7985491071428571,0.6693638392857143
resnet18,osm,0.4438876648541792,0.3714540864816885,0.8477434855840829,0.8453766423164286,0.5346275634806522,0.4574167070343669,0.0772108564462853,0.4701516360213714,0.3842746881639181,0.0858769478574533,0.6473196322047017,0.5810812467423483,0.6607142857142857,0.5524553571428571
resnet18,plc100,0.4715730984526169,0.3731132196868244,0.7549848769834808,0.6339601994566998,0.5616218593406896,0.4475550289913333,0.1140668303493563,0.5397695016375483,0.4024094645636867,0.1373600370738616,0.7597800174609313,0.6845191460495214,0.7391183035714286,0.7099144345238095
resnet18,plc10,0.5533641615330634,0.4081119257420048,0.7002820052353328,0.6839846910702218,0.6125448820909404,0.496845429513483,0.1156994525774574,0.6489113535349783,0.5176811778209129,0.1312301757140653,0.8378420026693837,0.7080880487661131,0.8163132440476191,0.7553943452380952
resnet18,plc200,0.4591605094411693,0.3571517571756152,0.6710988484675339,0.6229710769872063,0.5286035071100049,0.4220295047320551,0.1065740023779498,0.4912482231725915,0.385416951488417,0.1058312716841745,0.6765885764501405,0.6349090616049914,0.7155877976190477,0.6658296130952381
resnet18,plc20,0.56171913761829,0.4280242493284573,0.648310377571611,0.5625055325200564,0.5984418734196325,0.4570665814198759,0.1413752919997566,0.6303789990197706,0.4790939484369591,0.1512850505828114,0.8265567515298825,0.7162138322776654,0.8248697916666666,0.7534412202380952
resnet18,plc50,0.4967292295475873,0.3852118093109004,0.7325665108929612,0.5862290317565257,0.5785728188655141,0.4459854242926217,0.1325873945728924,0.5844924606331959,0.4284451883505245,0.1560472722826714,0.7932730687876752,0.6946092355460589,0.7707403273809523,0.7247023809523809
resnet18,plc5,0.5247246016764586,0.4262409576439831,0.6872235697022668,0.6681666036860802,0.5893454626102933,0.5073994053634657,0.0819460572468275,0.6212312632986327,0.5155479486317404,0.1056833146668922,0.8212525289869532,0.7709856829885654,0.8163132440476191,0.7925967261904762
resnet18,prc100,0.5771441550810404,0.4492570818129845,0.717077280617415,0.6666334256313374,0.6300826961888758,0.5208784584003362,0.1092042377885396,0.6547671604274669,0.5267433314339767,0.1280238289934901,0.8370817106653604,0.7389909345853916,0.8338913690476191,0.7923177083333334
resnet18,prc10,0.6355758734580583,0.505167756195033,0.6615507562894429,0.6414848651109349,0.6455530095885406,0.5605333260511621,0.0850196835373784,0.6861561928670692,0.5875442699212002,0.0986119229458689,0.8720327104767571,0.7941998613425205,0.8714657738095238,0.8537946428571429
