model,input,precision (id),precision (cd),recall (id),recall (cd),f1 (id),f1 (cd),f1 (delta),map (id),map (cd),map (delta),auroc (id),auroc (cd),accuracy (id),accuracy (cd)
resnet18,ep-ms,0.6487280580096213,0.5817907392433714,0.6964114631268593,0.510168515863264,0.6654386918520402,0.5372611083684085,0.12817758348363173,0.7116226095287512,0.5885635946196136,0.12305901490913762,0.9015173587725972,0.8116614796000424,0.8804873511904762,0.8645833333333334
resnet18,plc-ms,0.6089805027587029,0.4666245795159566,0.70301998445941,0.6926516048653929,0.6488111247935696,0.5497498648890911,0.09906125990447856,0.6787122065452038,0.5672212111092595,0.11149099543594432,0.877220447496802,0.8048238971515321,0.8516555059523809,0.8037574404761905
resnet18,prc-ms,0.6522601674244072,0.5514289835442697,0.7026546844051008,0.6831242177760305,0.6652759409286328,0.6073206992775511,0.05795524165108179,0.7223348570074736,0.6280683048826387,0.09426655212483492,0.904828065649587,0.7973645644642612,0.884765625,0.8668154761904762
resnet18,sds-ms,0.6064905972184345,0.4955082473508027,0.7008351741762139,0.6734913281726177,0.644698999020998,0.5498562131641179,0.09484278585688011,0.6813166832011266,0.5687249439698447,0.11259173923128185,0.8704016234966405,0.7470767686461246,0.8555617559523809,0.8297991071428571
resnet18,s-ms,0.6227595921749983,0.5367215915629658,0.7439843970286649,0.6667600380741862,0.6615891733014732,0.590085254612512,0.07150391868896111,0.7032263667086701,0.609742732368745,0.09348363433992513,0.88455996081857,0.8366953787341757,0.8676525297619048,0.8550967261904762
resnet50,ep-ms,0.6143928511323195,0.4696796258620978,0.7323991087050786,0.63325344952461,0.6417740551457122,0.5047611794432764,0.1370128757024358,0.696284482206016,0.520822077826543,0.17546240437947302,0.87375750206206,0.7339118059761155,0.8541666666666666,0.7789248511904762
resnet50,plc-ms,0.6084205817176892,0.4833690967031807,0.7271712135102781,0.683673534350105,0.6484191292328123,0.5513197829276751,0.09709934630513717,0.6916220308238625,0.5681476801218109,0.1234743507020516,0.8734258652971556,0.7960562123334831,0.8502604166666666,0.7992001488095238
resnet50,prc-ms,0.6178585360190818,0.5063129456369281,0.7345525083677111,0.6613501447585312,0.6625513567989529,0.5693046389496245,0.09324671784932848,0.7099174150575225,0.6100926661252849,0.09982474893223758,0.8968337022230228,0.7695589046286834,0.8676525297619048,0.8530505952380952
resnet50,sds-ms,0.6154505371681792,0.5059713315756101,0.7139347022757508,0.6620806905958287,0.6403702229793016,0.5634398413059537,0.07693038167334787,0.6746660876042115,0.5696517857190787,0.10501430188513283,0.8732995275544191,0.7295320665009966,0.8575148809523809,0.8414248511904762
resnet50,s-ms,0.6278874169534621,0.5739106799395336,0.6856062507653936,0.656286387110615,0.6462376843877299,0.5985942436100172,0.04764344077771265,0.7009471186429546,0.6359989565527729,0.06494816209018162,0.8848813588855489,0.840203449275983,0.8711867559523809,0.8667224702380952
swin,ep-ms,0.6198490722147569,0.5144649487940135,0.7170193582289891,0.6800767741732233,0.6587442705370954,0.5809421875443671,0.07780208299272828,0.7179194609362484,0.6073583329160358,0.11056112802021256,0.8927631705437375,0.840597348389721,0.8709077380952381,0.8506324404761905
swin,plc-ms,0.5994004674404874,0.4845835350010011,0.678017596818065,0.6588016605949324,0.6306972529473175,0.5540974714510598,0.07659978149625768,0.6831940210932023,0.5685453148033434,0.1146487062898589,0.8760141958297113,0.8011358206141816,0.8529575892857143,0.8223586309523809
swin,prc-ms,0.6213169613024107,0.5097550342950107,0.7583333978161594,0.653052918543345,0.6666506708406129,0.5682757391308145,0.09837493170979839,0.7113123843255532,0.612352490659125,0.09895989366642821,0.9022786316450828,0.7904954446104391,0.8702566964285714,0.8542596726190477
swin,sds-ms,0.5871685781085988,0.5090091741644686,0.7437234613019111,0.7265012220153537,0.6401162943156253,0.5905405596672496,0.049575734648375724,0.6725054737142558,0.5892026293975104,0.0833028443167454,0.863267786185743,0.7836010456394297,0.8477492559523809,0.83984375
swin,s-ms,0.6346807710518594,0.5159510526146768,0.6840728066144474,0.6571821083104002,0.6512112290926707,0.5658500977670218,0.08536113132564893,0.7142167783014207,0.592164028237773,0.12205275006364769,0.893190596701597,0.8205879129865742,0.8773251488095238,0.8604910714285714
vit,ep-ms,0.5418693688972102,0.6257715128661641,0.7317279845347276,0.7380810432739634,0.6105289245199476,0.6277296345128166,-0.017200709992869045,0.6443551819915386,0.602896581166605,0.04145860082493358,0.848318462736839,0.7401043054237499,0.8203125,0.8016183035714286
vit,plc-ms,0.5321426496759385,0.4119051235378596,0.7014481938696503,0.6551540471880595,0.6003568251960475,0.4900819134656485,0.110274911730399,0.6193660649029693,0.5152856993930819,0.10408036550988742,0.8232766670012129,0.713997845648824,0.8128720238095238,0.7567894345238095
vit,prc-ms,0.5700690837312917,0.475983134847172,0.7498854751300801,0.6594268623464673,0.6288632041714964,0.5455864605852412,0.08327674358625525,0.6674665721232511,0.5633152069185944,0.10415136520465673,0.8815259309047437,0.7599313690342563,0.8430059523809523,0.8233816964285714
vit,sds-ms,0.5615364305249596,0.4848061099608943,0.730603406344632,0.7102394213371984,0.6133521025391311,0.5692036426166729,0.044148459922458194,0.6328453742879565,0.56452985552281,0.06831551876514652,0.8296274922183876,0.7741383427746121,0.8276599702380952,0.8151041666666666
vit,s-ms,0.589573377362019,0.4718719757235293,0.7053828160271891,0.6475655689329622,0.6356101836350344,0.5351570790436295,0.10045310459140488,0.674759184228879,0.546080423846654,0.12867876038222503,0.858092942891503,0.6967887851443262,0.8458891369047619,0.8217075892857143
