model,encoder,input,macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),mean_hd (id),mean_hd95 (id),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd),mean_hd (cd),mean_hd95 (cd)
deeplabv3p,resnet50,dem+rgb,0.4692247037079299,0.5328994450336795,0.5897151201854425,0.5510580308449939,0.7684043049812317,0.869036853313446,0.8690369129180908,0.8690369129180908,84.98723256158047,70.08809679228752,0.2428617696990142,0.2791595199654207,0.3685695364315703,0.3053564189078389,0.4637871980667114,0.6336811780929565,0.6336811780929565,0.6336811780929565,122.67297736117716,107.08419478024936
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,0.5174031057233798,0.5791205476925582,0.6425943114060362,0.589566153078538,0.7986662983894348,0.8880650401115417,0.8880650401115417,0.8880650401115417,76.79776567323843,61.20826111502619,0.4502677037905552,0.5095545914529573,0.5691541829301081,0.5234517669749145,0.7614644169807434,0.8645811080932617,0.8645811080932617,0.8645811080932617,91.5168892062216,73.8182935046102
deeplabv3p,resnet50,ep-ms+prc-ms,0.5012948499997396,0.5639787979193651,0.634892356997518,0.5735437315247046,0.7873418927192688,0.8810198903083801,0.8810198903083801,0.8810198903083801,78.60689028001134,63.55904204143192,0.4644279836327822,0.524744363226485,0.5885164448822142,0.5347319506513587,0.7779324054718018,0.875097930431366,0.8750978112220764,0.8750978112220764,86.4298221235755,69.71090794756728
deeplabv3p,resnet50,ep-ms+s-ms+sds-ms,0.5003923613236866,0.5617201528404573,0.6185706555290317,0.5711907843311345,0.7984367609024048,0.8879230618476868,0.8879230618476868,0.8879230618476868,79.09674243392112,63.2440884407374,0.4433774006747726,0.5025363057149033,0.5563083455678792,0.5176569913607842,0.7693819403648376,0.869661808013916,0.869661808013916,0.869661808013916,90.8725576564498,73.81259110875386
deeplabv3p,resnet50,ep-ms+s-ms,0.5089803633392694,0.57116864694322,0.6385469195967886,0.577667735209136,0.7979302406311035,0.8876097798347473,0.8876097798347473,0.8876097798347473,77.9161402715002,63.05910669455745,0.4332098022645063,0.4933069337263358,0.544890646878533,0.508369524063799,0.7546895146369934,0.8601972460746765,0.8601972460746765,0.8601972460746765,92.3346334583435,74.90542033649002
deeplabv3p,resnet50,prc-ms+s-ms,0.5124902184951315,0.5753371512768352,0.6352782206305175,0.5839549926079054,0.7996818423271179,0.8886925578117371,0.8886924386024475,0.8886924386024475,76.99499322137422,61.80637573964512,0.4633293240129146,0.5234554247614509,0.5746658023442007,0.5386450074329762,0.776328444480896,0.874082088470459,0.874082088470459,0.874082088470459,88.37007585107364,71.16017371331728
segformer,mitb0,dem+rgb,0.4664153008350261,0.5308257318156923,0.5911808350316312,0.5457296353276817,0.7616540789604187,0.864703357219696,0.864703357219696,0.864703357219696,85.104916503902,71.0374993006322,0.2766425299664019,0.3162384711953248,0.373884659555365,0.3447650148887993,0.5560047626495361,0.7146568894386292,0.7146568894386292,0.7146568894386292,110.7691638469696,95.77669194323984
segformer,mitb0,ep-ms+prc-ms+s-ms,0.5109819804226342,0.5747691949891391,0.6394232742881901,0.5875462693141298,0.7890781164169312,0.882105827331543,0.882105827331543,0.882105827331543,78.92624217985794,64.0965655819195,0.4569787035582716,0.5166637249284698,0.5646313213145641,0.5315981529751876,0.7748221158981323,0.8731265068054199,0.8731265068054199,0.8731265068054199,89.0080186964931,72.63664937091882
segformer,mitb0,ep-ms+prc-ms,0.4873884779286545,0.5521457515560663,0.6109884680879816,0.5657516570557196,0.7773748636245728,0.8747450113296509,0.8747449517250061,0.8747449517250061,81.45856943463767,66.74862495731281,0.4387778405876098,0.5006185293861468,0.5451822175258865,0.5194619825686203,0.7534346580505371,0.8593814969062805,0.8593814969062805,0.8593814969062805,92.40021662031316,75.35599121493199
segformer,mitb0,ep-ms+s-ms+sds-ms,0.5092220294006516,0.5737036050488853,0.6335415728059692,0.5879188874870084,0.7889389991760254,0.8820188641548157,0.8820188641548157,0.8820188641548157,79.5558684260492,64.62986063286054,0.4265637816696133,0.4880566110091451,0.5475292465476308,0.5052579206411719,0.7379007935523987,0.8491864204406738,0.849186360836029,0.849186360836029,95.42447931867068,78.77766414591555
