model,encoder,input,macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),mean_hd (id),mean_hd95 (id),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd),mean_hd (cd),mean_hd95 (cd)
deeplabv3p,resnet50,ep-ms,0.4598367327889313,0.5242959934006146,0.5933342802986048,0.5399067778198086,0.7464029788970947,0.8547889590263367,0.8547889590263367,0.8547889590263367,88.15900631864159,72.24393086270334,0.349656463016317,0.3965867849561095,0.4406950174930672,0.4483988881455453,0.6180306077003479,0.7639294862747192,0.7639294266700745,0.7639294266700745,100.20282689684862,84.23037046171343
deeplabv3p,resnet50,plc-ms,0.4081894424511848,0.4728471276014074,0.5393891219464338,0.493850434282337,0.6993222236633301,0.8230602145195007,0.8230602145195007,0.8230602145195007,97.75093615544132,81.14850558862112,0.3585021340871478,0.415182243145798,0.4805309153340853,0.4377798364050291,0.652792751789093,0.7899269461631775,0.7899269461631775,0.7899269461631775,106.2321699321407,87.97706660180745
deeplabv3p,resnet50,prc-ms,0.4827287358212667,0.5477475833008603,0.6090421536277385,0.5596465104348216,0.7705785036087036,0.8704257011413574,0.8704257011413574,0.8704257011413574,84.5031220387822,69.36802207932526,0.4260597586797841,0.4876625051528334,0.5487410032816462,0.5061995768543263,0.7356579899787903,0.8476992845535278,0.8476992249488831,0.8476992249488831,95.3921488993471,78.76857066722837
deeplabv3p,resnet50,s-ms,0.4848046474796633,0.5444347027072645,0.6077427015729017,0.5578105349388469,0.7762816548347473,0.8740524053573608,0.8740524649620056,0.8740524649620056,84.52232394457528,68.61017476250534,0.4234125425365985,0.4790903061012521,0.5310736347433412,0.4972344792320242,0.7492899298667908,0.8566789627075195,0.8566789627075195,0.8566789627075195,96.3028207382842,79.82442623424683
deeplabv3p,resnet50,sds-ms,0.4328693759814015,0.4917964932461377,0.5580493258859087,0.503091808021741,0.735487163066864,0.8475858569145203,0.8475858569145203,0.8475858569145203,93.0687821304394,78.47213233244621,0.3676769461968904,0.4218166016767799,0.4861431597141992,0.4440314599360963,0.693461537361145,0.8189870715141296,0.8189870715141296,0.8189870715141296,102.8299170838548,87.10237714714044
segformer,mitb0,ep-ms,0.4465984302020774,0.513503043316983,0.5714031117493164,0.5288042387894131,0.7346230149269104,0.8470117449760437,0.8470117449760437,0.8470117449760437,90.04582373441106,75.02966318422382,0.3890078347512715,0.4508775536764844,0.5059809200306636,0.4681444910758806,0.6900919675827026,0.8166324496269226,0.8166324496269226,0.8166324496269226,101.58967814981136,84.19878132140971
segformer,mitb0,plc-ms,0.4063526024654582,0.4735019916720698,0.536702701192969,0.4914362745110002,0.6917391419410706,0.8177846074104309,0.8177846074104309,0.8177846074104309,97.44468299304384,82.79581195390774,0.3363437727256489,0.3933147625907687,0.4579216280890317,0.4080871796512813,0.641556441783905,0.7816441059112549,0.7816441059112549,0.7816441059112549,107.0441378035346,89.6821597284826
segformer,mitb0,prc-ms,0.4565394519870558,0.522004918281232,0.5831053166474731,0.5394548530702555,0.7532889246940613,0.8592867851257324,0.8592867255210876,0.8592867255210876,86.35539418599939,71.51486263291169,0.4172423048749256,0.4786064286746168,0.5301413803826204,0.4943368908526772,0.7353442907333374,0.8474909663200378,0.8474909663200378,0.8474909663200378,94.90582804552888,78.57321189389084
segformer,mitb0,s-ms,0.4830586489731934,0.5450573001316763,0.6088986304566721,0.5567480351812111,0.7688903212547302,0.8693476915359497,0.8693476319313049,0.8693476319313049,84.47237424535817,69.283111683333,0.4133109378481355,0.4707655380277199,0.5252795450600154,0.4885053086173955,0.7371100187301636,0.8486624956130981,0.8486624360084534,0.8486624360084534,96.60028584820314,80.06804637125276
segformer,mitb0,sds-ms,0.4150723163612898,0.4741510089988361,0.5399643401859716,0.487718109446061,0.719045877456665,0.8365638852119446,0.8365638852119446,0.8365638852119446,94.51981854659668,80.65662543433349,0.3734721536693931,0.427608961719635,0.4887190699223491,0.4482246594892975,0.6927132606506348,0.8184649348258972,0.818464994430542,0.818464994430542,99.71731623885076,84.69176172074062
segformer,mitb2,ep-ms,0.4582828864802619,0.524826613086962,0.5793204297010566,0.5422118133577438,0.742843747138977,0.8524501919746399,0.8524501919746399,0.8524501919746399,88.44063970468085,73.59400766309238,0.3966019981216963,0.4563552444455845,0.5217731270604,0.4758694380183659,0.7057120203971863,0.8274691104888916,0.8274691104888916,0.8274691104888916,99.43404703907002,82.12986444984875
