input,runs,gamma (mu),gamma (sd),mmd (mu),mmd (sd),p-value (mu),se,tcrit,ci95
dem,50,0.07214440990676058,0.0007119541896554183,0.27347333085506903,0.0027867258914849257,6.660850954877568e-255,0.00039410255503542356,2.0095752371292392,0.0007919787354885503
dem+rgb,50,0.012764002547352113,0.00010994333088257827,0.20961391056526704,0.003387313881655912,3.1303765853283336e-147,0.0004790385231452444,2.0095752371292392,0.000962663953743645
ep-101,50,0.05116470633086367,0.0013866542604945179,0.09360984992965637,0.006350966665103928,1.324386169079055e-26,0.0008981623191969401,2.0095752371292392,0.0018049247555807385
ep-11,50,0.09286586957369898,0.01460086896862103,0.03715843187353061,0.0051581667647477986,2.1507118980269175e-05,0.0007294749395688486,2.0095752371292392,0.0014659347746639065
ep-201,50,0.048922403524340415,0.0004242092893283237,0.0607112764822668,0.005636715488102552,1.4648302552751083e-11,0.0007971519490513109,2.0095752371292392,0.0016019368170428234
ep-21,50,0.07406770656255253,0.008175993857618077,0.06667364791264788,0.0067612905341793515,1.0211892899946272e-13,0.0009561908772581267,2.0095752371292392,0.0019215375089068152
ep-5,50,0.1032434744353194,0.010080799195855049,0.05591926155213923,0.005829347534573317,4.430936497564774e-09,0.000824394234317975,2.0095752371292392,0.001656682238917522
ep-51,50,0.0585043507723953,0.00386010634955186,0.09938045846026083,0.006280365868642349,7.374734189657835e-30,0.0008881778588099093,2.0095752371292392,0.0017848602312308635
ep-ms,50,0.008709250972360399,0.00042710334630140885,0.09190001569630102,0.005425705418453228,2.4645757126743688e-26,0.0007673106188217744,2.0095752371292392,0.0015419684187705507
ep-ms+prc-ms,50,0.003664589570833892,7.927933047415734e-05,0.08842780857279928,0.003933302402683125,1.0592437965925717e-25,0.0005562529602789157,2.0095752371292392,0.0011178321745563431
ep-ms+prc-ms+s-ms,50,0.0027151899920943474,5.2009714797991294e-05,0.08585433983769163,0.004023863138300794,3.4837943704811235e-24,0.0005690601823318148,2.0095752371292392,0.001143569250850265
ep-ms+s-ms,50,0.004695683814866905,0.00013598602091789277,0.08083914248870017,0.004561126125898517,7.201610035406183e-21,0.0006450406426939936,2.0095752371292392,0.001296257702499779
ep-ms+s-ms+sds-ms,50,0.0030249996211385603,7.087099866305121e-05,0.07421160799217584,0.004069426859773766,4.0409119364073295e-18,0.0005755038656177415,2.0095752371292392,0.0011565183172175667
nhd,50,0.013799335625000084,0.0011805286437627219,0.035643171976239243,0.00573700477725399,0.0007465400505434243,0.000811334996339183,2.0095752371292392,0.001630438717659564
nir,50,0.058404877483328475,0.00037230093948241596,0.2873637948469817,0.0019648209621727294,3.5888269492043684e-282,0.0002778676452339628,2.0095752371292392,0.0005583959390615841
osm,50,0.0033799774999999934,0.0009537597077667867,0.02815382654474084,0.004284643271655239,0.0011018308088376995,0.0006059400624705469,2.0095752371292392,0.0012176821447253553
plc-10,50,0.059928249834190137,0.000995272804218121,0.11745503621805498,0.005362679015786048,1.3705289425646342e-42,0.000758397339477823,2.0095752371292392,0.0015240565133193302
plc-100,50,0.073423235177133,0.002880545235025948,0.02599777511811726,0.005415982588379971,0.003295635780275419,0.0007659356030063495,2.0095752371292392,0.0015392052210372116
plc-20,50,0.06059977117613423,0.001338063897366497,0.11613641700810165,0.005069354548579125,1.745021089134428e-43,0.0007169149955078336,2.0095752371292392,0.0014406946220991623
plc-200,50,0.06993456997489854,0.0014199287232003514,0.007184712949713225,0.004503426747835502,0.5143024621331906,0.0006368807183942727,2.0095752371292392,0.0012798597206902108
plc-5,50,0.052804560332529234,0.0003788674147560914,0.14243582123503779,0.005710975469282511,4.813536060622667e-64,0.0008076538963039378,2.0095752371292392,0.0016230412701833399
plc-50,50,0.058947883173118505,0.0010234073591369895,0.08063653896888576,0.006025288979890212,5.8740546171918775e-19,0.0008521045392577888,2.0095752371292392,0.0017123681815378721
plc-ms,50,0.00781490892023101,8.719871923039887e-05,0.11842093683408589,0.00488493709680843,2.199716515430146e-45,0.0006908344293645934,2.0095752371292392,0.0013882837622073956
prc-10,50,0.05216687444246297,0.000335233651169635,0.039336657020603516,0.004389777468267142,3.3891083192442674e-06,0.0006208082831423221,2.0095752371292392,0.001247560952807528
