,encoder,domain,a,a_mean,b,b_mean,n,t,p,p_holm,cohens_d,w,w_p,w_p_holm
0,resnext50_32x4d,id,stack,0.6530399039672237,concat,0.5953626729062929,15,8.045318823046628,1.2822224572073973e-06,2.5644449144147946e-06,2.077292387772576,0.0,6.103515625e-05,0.00018310546875
1,resnext50_32x4d,id,stack,0.6530399039672237,ca,0.6048311880030101,15,10.209221709619548,7.223739959476742e-08,2.1671219878430224e-07,2.6360097106063813,0.0,6.103515625e-05,0.00018310546875
2,resnext50_32x4d,id,concat,0.5953626729062929,ca,0.6048311880030101,15,-1.0187726273508475,0.3255943350305205,0.3255943350305205,-0.26304596128678714,56.0,0.846923828125,0.846923828125
3,resnext50_32x4d,cd,stack,0.5587242514627875,concat,0.5214223426972123,15,2.1668765953208142,0.04798305215939432,0.14394915647818296,0.5594851311309428,22.0,0.0301513671875,0.07672119140625
4,resnext50_32x4d,cd,stack,0.5587242514627875,ca,0.5438047406493226,15,0.938727539811442,0.36378486127952014,0.36378486127952014,0.2423784085543983,41.0,0.30279541015625,0.30279541015625
5,resnext50_32x4d,cd,concat,0.5214223426972123,ca,0.5438047406493226,15,-1.8706912476517137,0.08243808690578387,0.16487617381156774,-0.4830104032034041,21.0,0.02557373046875,0.07672119140625
6,vit_b_16,id,stack,0.6566543417429967,concat,0.6601159230299901,15,-1.120560520504189,0.2813298074866953,0.40922187121755477,-0.2893274822886826,38.0,0.22930908203125,0.22930908203125
7,vit_b_16,id,stack,0.6566543417429967,ca,0.6507293136803478,15,1.3305283509743533,0.20461093560877738,0.40922187121755477,0.34354094299869914,31.0,0.10699462890625,0.2139892578125
8,vit_b_16,id,concat,0.6601159230299901,ca,0.6507293136803478,15,2.0249291265285843,0.06238190020156135,0.18714570060468405,0.5228344522863692,26.0,0.05535888671875,0.16607666015625
9,vit_b_16,cd,stack,0.5710499775904636,concat,0.5579268415971553,15,1.6088027351472416,0.12997013241667704,0.12997013241667704,0.41539108003721387,32.0,0.12054443359375,0.12054443359375
10,vit_b_16,cd,stack,0.5710499775904636,ca,0.5394298681383564,15,4.520715673895134,0.0004797982245109697,0.001439394673532909,1.1672437678623129,4.0,0.00042724609375,0.00128173828125
11,vit_b_16,cd,concat,0.5579268415971553,ca,0.5394298681383564,15,3.95125102054442,0.0014481960328512201,0.0028963920657024403,1.0202086266169066,5.0,0.0006103515625,0.00128173828125
