input,pos_weight,gamma,alpha,f1_id,f1_cd,delta,delta_rel,total
dem,-,0.5,0.5,0.6808345728345955,0.5350576750749336,0.14577689775966185,21.411500469597545,1.215892247909529
dem,-,3.0,-,0.6668239446002218,0.5280579826213974,0.1387659619788244,20.80998486969723,1.1948819272216191
dem,-,0.5,0.25,0.6629324182432236,0.5262196571152294,0.13671276112799413,20.622428073480563,1.189152075358453
dem,ens,-,-,0.669437490626181,0.5087382143905105,0.16069927623567049,24.00512049084,1.1781757050166914
dem,-,-,-,0.6831375951985386,0.4925463724855685,0.19059122271297008,27.899390115922255,1.175683967684107
dem,-,0.5,-,0.659142716676463,0.5161927394320676,0.1429499772443954,21.687257346205605,1.1753354561085305
dem,irlbl,0.5,-,0.6657521851829814,0.504897165296063,0.16085501988691842,24.161395706528182,1.1706493504790445
dem,-,1.0,-,0.6737743408340896,0.4890899684263471,0.1846843724077425,27.410419366685147,1.1628643092604367
dem,-,0.5,0.75,0.6639111156418517,0.4973427706672241,0.16656834497462758,25.088952579682854,1.1612538863090758
dem,icf,-,-,0.6580199318666126,0.4888605175437686,0.16915941432284398,25.707338962056596,1.1468804494103813
dem,-,2.0,-,0.6391973481927121,0.4967948863559008,0.14240246183681132,22.278324877198692,1.1359922345486129
dem,irlbl,-,-,0.652164374775843,0.4789898465870424,0.17317452818880058,26.55381601430204,1.1311542213628853
dem,-,1.5,-,0.6565895928001442,0.4653550448068508,0.19123454799329337,29.12543087649917,1.121944637606995
dem+s-ms,-,0.5,-,0.6609623328783926,0.6015644890715939,0.05939784380679869,8.98657016476717,1.2625268219499866
dem+s-ms,-,1.5,-,0.6658664311409562,0.5964019440524134,0.0694644870885428,10.432195383316746,1.2622683751933697
dem+s-ms,-,2.0,-,0.6571005344092322,0.5977500871674574,0.05935044724177485,9.03217150707905,1.2548506215766895
dem+s-ms,-,0.5,0.75,0.6555600798577969,0.5866143451499213,0.06894573470787557,10.51707338903723,1.2421744250077182
dem+s-ms,-,-,-,0.6553221646444314,0.5846083335381268,0.07071383110630458,10.790697296904785,1.239930498182558
dem+s-ms,-,0.5,0.5,0.6515152736865539,0.5864999852416931,0.06501528844486082,9.979088913292289,1.2380152589282472
dem+s-ms,irlbl,-,-,0.6592903948556474,0.5753121987442934,0.08397819611135404,12.737664125948806,1.234602593599941
dem+s-ms,-,1.0,-,0.6540428225406091,0.574326015597676,0.07971680694293304,12.18831614622351,1.2283688381382851
dem+s-ms,-,3.0,-,0.6690633740427928,0.5550151762956799,0.11404819774711294,17.04594843654056,1.2240785503384726
dem+s-ms,-,0.5,0.25,0.6561360491518965,0.5647041911608837,0.09143185799101283,13.934893244959662,1.2208402403127803
dem+s-ms,icf,-,-,0.6387659395509961,0.5541568392448964,0.0846091003060997,13.245712563442794,1.1929227787958925
dem+s-ms,ens,-,-,0.6207648833947158,0.5606598513059126,0.060105032088803245,9.682414984577216,1.1814247347006284
dem+s-ms,irlbl,0.5,-,0.6366751809752016,0.5339184266245176,0.10275675435068399,16.139588509369954,1.1705936075997192
s-5,-,0.5,0.5,0.6369234214806391,0.6046813843529247,0.03224203712771434,5.062152849201577,1.2416048058335638
