input,runs,gamma (mu),gamma (sd),mmd (mu),mmd (sd),p-value (mu),se,tcrit,ci95
dem,50,0.07214440990676060,0.0007119541896554180,0.27347333085506900,0.0027867258914849300,6.66085095487757E-255,0.00039410255503542400,2.0095752371292400,0.0007919787354885500
dem+rgb,50,0.012764002547352100,0.00010994333088257800,0.20961391056526700,0.003387313881655910,3.13037658532833E-147,0.0004790385231452440,2.0095752371292400,0.000962663953743645
ep-101,50,0.05116470633086370,0.0013866542604945200,0.09360984992965640,0.006350966665103930,1.32438616907906E-26,0.0008981623191969400,2.0095752371292400,0.0018049247555807400
ep-11,50,0.09286586957369900,0.01460086896862100,0.03715843187353060,0.0051581667647478000,2.15071189802692E-05,0.0007294749395688490,2.0095752371292400,0.0014659347746639100
ep-201,50,0.048922403524340400,0.0004242092893283240,0.0607112764822668,0.005636715488102550,1.46483025527511E-11,0.0007971519490513110,2.0095752371292400,0.0016019368170428200
ep-21,50,0.07406770656255250,0.008175993857618080,0.06667364791264790,0.0067612905341793500,1.02118928999463E-13,0.0009561908772581270,2.0095752371292400,0.0019215375089068200
ep-5,50,0.1032434744353190,0.010080799195855000,0.05591926155213920,0.005829347534573320,4.43093649756477E-09,0.000824394234317975,2.0095752371292400,0.001656682238917520
ep-51,50,0.0585043507723953,0.00386010634955186,0.09938045846026080,0.006280365868642350,7.37473418965784E-30,0.0008881778588099090,2.0095752371292400,0.0017848602312308600
ep-ms,50,0.008709250972360400,0.00042710334630140900,0.09190001569630100,0.005425705418453230,2.46457571267437E-26,0.0007673106188217740,2.0095752371292400,0.0015419684187705500
ep-ms+prc-ms,50,0.003664589570833890,7.92793304741573E-05,0.08842780857279930,0.003933302402683130,1.05924379659257E-25,0.0005562529602789160,2.0095752371292400,0.0011178321745563400
ep-ms+prc-ms+s-ms,50,0.0027151899920943500,5.20097147979913E-05,0.08585433983769160,0.004023863138300790,3.48379437048112E-24,0.0005690601823318150,2.0095752371292400,0.001143569250850270
ep-ms+s-ms,50,0.004695683814866910,0.00013598602091789300,0.08083914248870020,0.004561126125898520,7.20161003540618E-21,0.0006450406426939940,2.0095752371292400,0.001296257702499780
ep-ms+s-ms+sds-ms,50,0.0030249996211385600,7.08709986630512E-05,0.07421160799217580,0.004069426859773770,4.04091193640733E-18,0.0005755038656177420,2.0095752371292400,0.0011565183172175700
nhd,50,0.013799335625000100,0.0011805286437627200,0.035643171976239200,0.00573700477725399,0.0007465400505434240,0.000811334996339183,2.0095752371292400,0.001630438717659560
nir,50,0.058404877483328500,0.00037230093948241600,0.2873637948469820,0.0019648209621727300,3.58882694920437E-282,0.0002778676452339630,2.0095752371292400,0.0005583959390615840
osm,50,0.0033799774999999900,0.0009537597077667870,0.02815382654474080,0.004284643271655240,0.0011018308088377000,0.0006059400624705470,2.0095752371292400,0.0012176821447253600
plc-10,50,0.059928249834190100,0.000995272804218121,0.11745503621805500,0.005362679015786050,1.37052894256463E-42,0.000758397339477823,2.0095752371292400,0.0015240565133193300
plc-100,50,0.073423235177133,0.002880545235025950,0.02599777511811730,0.005415982588379970,0.003295635780275420,0.0007659356030063500,2.0095752371292400,0.0015392052210372100
plc-20,50,0.06059977117613420,0.001338063897366500,0.11613641700810200,0.005069354548579130,1.74502108913443E-43,0.0007169149955078340,2.0095752371292400,0.0014406946220991600
plc-200,50,0.06993456997489850,0.0014199287232003500,0.007184712949713230,0.004503426747835500,0.5143024621331910,0.0006368807183942730,2.0095752371292400,0.0012798597206902100
plc-5,50,0.052804560332529200,0.0003788674147560910,0.14243582123503800,0.005710975469282510,4.81353606062267E-64,0.0008076538963039380,2.0095752371292400,0.0016230412701833400
plc-50,50,0.058947883173118500,0.0010234073591369900,0.08063653896888580,0.006025288979890210,5.87405461719188E-19,0.0008521045392577890,2.0095752371292400,0.0017123681815378700
plc-ms,50,0.00781490892023101,8.71987192303989E-05,0.11842093683408600,0.00488493709680843,2.19971651543015E-45,0.0006908344293645930,2.0095752371292400,0.0013882837622074000
prc-10,50,0.05216687444246300,0.000335233651169635,0.039336657020603500,0.004389777468267140,3.38910831924427E-06,0.0006208082831423220,2.0095752371292400,0.001247560952807530
prc-100,50,0.05504724961213740,0.0008854612806495780,0.036482795158225200,0.004821477215768610,4.24239379640561E-05,0.000681859846921283,2.0095752371292400,0.0013702486635657400
prc-20,50,0.05216529002410870,0.00037316880195396500,0.03956789629833240,0.0039938822143007800,2.27756984285372E-06,0.0005648202393984850,2.0095752371292400,0.0011350487665246000
prc-200,50,0.05610408505413790,0.0007546144173196960,0.03395847877269640,0.004384444126069670,7.43784910221599E-05,0.0006200540346554780,2.0095752371292400,0.0012460452337257200
prc-5,50,0.05700234473269240,0.0007253271413048140,0.030453241189770900,0.004962474894215010,0.0004297128120458030,0.0007017999298334850,2.0095752371292400,0.0014103197604124100
prc-50,50,0.058335876988330500,0.0010874821020226000,0.038583244361302800,0.005118680331409990,3.08917430365798E-05,0.0007238907146132410,2.0095752371292400,0.001454712854474560
prc-ms,50,0.007713029224707910,5.77423972365275E-05,0.057076852249144100,0.0036153758819550100,1.36620057004096E-11,0.0005112913605337360,2.0095752371292400,0.0010274784570867100
prc-ms+s-ms,50,0.004543638206819720,8.85445336885454E-05,0.07150759561321120,0.004375186734449040,3.91639975395949E-17,0.0006187448417772680,2.0095752371292400,0.0012434143121370500
rgb,50,0.021626686543785200,0.0002761663851394090,0.13644817810095300,0.005915500148719300,4.49332510604724E-57,0.00083657805385389,2.0095752371292400,0.0016811665409505500
s-10,50,0.09161403932670460,0.003546178541256870,0.03453559987376000,0.004448225153994810,7.38532559793752E-05,0.0006290740341268610,2.0095752371292400,0.0012641716013023300
s-100,50,0.13365432110922800,0.007786290214753530,0.06670629718500060,0.006619401100403010,3.7938151151207E-13,0.0009361246810977330,2.0095752371292400,0.0018812129779995100
s-20,50,0.09759501386551270,0.004264089277829280,0.04027546437477730,0.005388234820549220,7.91248950285233E-06,0.0007620114760471670,2.0095752371292400,0.0015313193926726900
s-200,50,0.13353081236585600,0.007628596798543820,0.0812696571709308,0.006347532714146660,4.15702651456789E-20,0.000897676685195311,2.0095752371292400,0.0018039488375167600
s-5,50,0.08702236469234770,0.0030966681714434200,0.03003415177681090,0.0045003370023849200,0.0005865903762119310,0.0006364437624022230,2.0095752371292400,0.0012789816247488700
s-50,50,0.1194221848974640,0.006427528821860790,0.054361400636899700,0.006526650053809520,6.37681095726656E-09,0.0009230077022960520,2.0095752371292400,0.0018548534222137000
s-ms,50,0.015528894154876700,0.0006957572615610170,0.05944565893352550,0.005066483036120200,7.8413204796651E-12,0.0007165089023214410,2.0095752371292400,0.0014398785472878200
sds-101,50,0.07594256254622250,0.002791187320380620,0.04402379675164880,0.006005423239259180,9.38272652381516E-06,0.0008492950992750890,2.0095752371292400,0.0017067224005184400
sds-11,50,0.07035894807996630,0.0023199246295848800,0.0274969082877906,0.005300848802929420,0.002173547099509060,0.0007496532269191970,2.0095752371292400,0.0015064845612508400
sds-201,50,0.08362210329159520,0.002659358879109630,0.05686784742723840,0.00665977262294553,1.98405797281887E-08,0.0009418340765690610,2.0095752371292400,0.0018926864377576700
sds-21,50,0.0693781322565169,0.002246925267858440,0.030037043442932400,0.00503303931625549,0.0011757509460029700,0.0007117792461005520,2.0095752371292400,0.0014303739472661900
sds-5,50,0.07038995198016430,0.0024901157160338000,0.030902182884080700,0.005933522272739040,0.0008930932039995430,0.0008391267670750380,2.0095752371292400,0.0016862883719263100
sds-51,50,0.0711553858331569,0.0024922917158549600,0.03618836470200390,0.00526437151279016,0.00015622292699942000,0.0007444945590758410,2.0095752371292400,0.0014961178300962600
sds-ms,50,0.011270135470231500,0.0003558782883544310,0.04047621834548090,0.005027694520494040,1.30598397172083E-05,0.0007110233778351560,2.0095752371292400,0.001428854973117520
dem+ep-ms+rgb+s-ms+sds-ms,50,0.002211372603491460,4.13663871915882E-05,0.13317200831336100,0.0022689777021768800,2.46390916309946E-60,0.00032088190391406800,2.0095752371292400,0.0006448363281485950
dem+nhd+osm+rgb,50,0.011914386745513100,0.00012035274958840300,0.20531478914310400,0.0031353214884764200,9.02469265541637E-142,0.0004434014171403160,2.0095752371292400,0.0008910485079931900
dem+s-ms,50,0.010461934922942100,0.0002724614341386520,0.14107611728000100,0.002051234399135840,3.79899946565984E-69,0.0002900883506864140,2.0095752371292400,0.0005829543661190800
nhd+osm+rgb+s-ms,50,0.005673377730987580,8.75074550501951E-05,0.10493838439357500,0.0038482070214393900,2.45949130480997E-36,0.0005442186560538960,2.0095752371292400,0.0010936483347896600
