input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
dem+rgb,multimodal_ca,0.5455765071012223,0.6404707980919859,0.586352732447312,0.8215828628808534,0.6207369030912105,0.8340773809523809,0.4879273380415308,0.623014469888478,0.4842273931227379,0.7210642338031094,0.5446986436060135,0.7458147321428571
dem+rgb,multimodal_concat,0.5616383299672533,0.633917698244752,0.594661371912415,0.7422149218129496,0.602249823781749,0.8351934523809523,0.5278485124914537,0.537375497236204,0.5245634638057243,0.7133980844680069,0.5342689962925854,0.8347284226190477
dem+rgb,multimodal_sa,0.5850488880120196,0.7575357991764944,0.6356516146461634,0.8722872940935608,0.6620043624857822,0.8415178571428571,0.4574385005518806,0.5439798836711199,0.4918866606133997,0.654034948925374,0.4958771880409876,0.8173363095238095
dem+rgb,multimodal_stack,0.5978040076814422,0.7717029739181077,0.6415613444653953,0.8663427853588972,0.6655307977439492,0.8415178571428571,0.4515449263266425,0.6284556174751186,0.5186744286523645,0.6942764970190878,0.5160028742763568,0.7959449404761905
dem+s-ms,multimodal_ca,0.6013250653510825,0.7041864200331772,0.6328918751474966,0.8726832148537625,0.6698683715601826,0.8523065476190477,0.4905481256427516,0.6279903151994353,0.5431781898547087,0.7664631495644068,0.5743315619903909,0.8361235119047619
dem+s-ms,multimodal_concat,0.574967718152026,0.7416836478799518,0.6347475731582193,0.8669915067815543,0.6752354763163925,0.8483072916666666,0.4854217781514707,0.6697128306721621,0.5573290099366324,0.7350929879909762,0.5973265732404132,0.8411458333333334
dem+s-ms,multimodal_sa,0.6580367266740075,0.7488285855191764,0.6785319176146938,0.9132308493965764,0.7312626732152651,0.8801153273809523,0.5172867510851923,0.6225865696861834,0.5543392214852453,0.8117878554660878,0.5911572269325622,0.8603050595238095
dem+s-ms,multimodal_stack,0.6549892183880914,0.6941167892190206,0.6706852352012005,0.905116317738104,0.7320726820581239,0.8832775297619048,0.5497721103818817,0.6693023437670169,0.5914519923072998,0.786419947515207,0.631064348923968,0.8470052083333334
ep-ms+prc-ms,multimodal_ca,0.5490891897842011,0.73760675480187,0.6051575684160013,0.8358745306290825,0.6454712490889143,0.8213355654761905,0.5081591454888605,0.6511368799587408,0.561993153657629,0.7804316894010815,0.5796975523183854,0.8380766369047619
ep-ms+prc-ms,multimodal_concat,0.5679314573708697,0.6586545854690573,0.6071535181279896,0.8390467714147452,0.6504099060262981,0.8422619047619048,0.5132644204046859,0.6119520718978079,0.5462981620009706,0.7519620538333956,0.5796868998999729,0.8323102678571429
