encoder,fusion,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
resnext50_32x4d,stack,dem+ep-ms+rgb+s-ms+sds-ms,0.6224882798960414,0.7015238429388672,0.6556241227636038,0.8825352319561072,0.702710588249411,0.8747209821428571,0.5268305041750047,0.6076649586584041,0.5473595973623243,0.7842704799316925,0.5905545587101059,0.845703125
vit_b_16,stack,dem+ep-ms+rgb+s-ms+sds-ms,0.6384988449073956,0.7141374821793737,0.6645737915951624,0.9084135895286992,0.7246324056997702,0.8796502976190477,0.5245286525186326,0.6824356146084665,0.5898340256292095,0.8040472486377723,0.6053104359757173,0.8507254464285714
resnext50_32x4d,stack,dem+nhd+osm+rgb,0.6127817687969053,0.7180125569624323,0.6493442438545468,0.8691334561403927,0.6822497477797221,0.8563058035714286,0.4479849807627922,0.5367074827802479,0.4838066239562945,0.6968037978066641,0.5007752103723572,0.8236607142857143
vit_b_16,stack,dem+nhd+osm+rgb,0.614272669621821,0.6541057307073489,0.6315249365154918,0.8936435130589561,0.6883307846051422,0.8674665178571429,0.438850950482934,0.5395701816275077,0.4646438238792784,0.6594007553143768,0.5139336856484091,0.8119419642857143
resnext50_32x4d,stack,dem+rgb,0.5978040076814422,0.7717029739181077,0.6415613444653953,0.8663427853588972,0.6655307977439492,0.8415178571428571,0.4515449263266425,0.6284556174751186,0.5186744286523645,0.6942764970190878,0.5160028742763568,0.7959449404761905
vit_b_16,stack,dem+rgb,0.6055346408897299,0.7608225499764129,0.6618177502730085,0.8894734798588478,0.6861521101297364,0.8540736607142857,0.4763445001998144,0.5477702719233831,0.506701925403733,0.6629754111928493,0.538808910548224,0.8407738095238095
resnext50_32x4d,stack,dem+s-ms,0.6549892183880914,0.6941167892190206,0.6706852352012005,0.905116317738104,0.7320726820581239,0.8832775297619048,0.5497721103818817,0.6693023437670169,0.5914519923072998,0.786419947515207,0.631064348923968,0.8470052083333334
vit_b_16,stack,dem+s-ms,0.6278343635422274,0.7148464522445666,0.6630744332778503,0.8931159082684698,0.7012500924476974,0.8726748511904762,0.4937251757695668,0.688771563596473,0.5614277828886514,0.8180130187952221,0.5815802421074309,0.8277529761904762
resnext50_32x4d,stack,ep-ms+prc-ms,0.6174380034892984,0.7207283537857797,0.6540217617016663,0.8935541146083387,0.706377256997013,0.8709077380952381,0.5461364747550139,0.4980151113219354,0.4960980528987237,0.7824254194165844,0.5576523290866315,0.8508184523809523
vit_b_16,stack,ep-ms+prc-ms,0.6150769911324375,0.7156567665516981,0.6553706943728528,0.9018145884509884,0.7005726170681156,0.8718377976190477,0.5145417212795286,0.7071564962488139,0.5898159956256117,0.8380149520727503,0.6296594579222219,0.8515625
resnext50_32x4d,stack,ep-ms+prc-ms+s-ms,0.645086913790433,0.7093121797588386,0.6697969639314456,0.8972828504155892,0.7128476312333778,0.8830915178571429,0.5548178384698919,0.6683062212058274,0.5909049767865803,0.7768789126379302,0.6480380113993329,0.8589099702380952
vit_b_16,stack,ep-ms+prc-ms+s-ms,0.659932793863143,0.691000301640207,0.6732412084927367,0.9094453176789336,0.7342233243509259,0.8885788690476191,0.6129885461394161,0.6863978520553794,0.6306750936554713,0.8190761804422798,0.6634850632762082,0.8743489583333334
resnext50_32x4d,stack,ep-ms+s-ms,0.6247222947272697,0.7173249459310949,0.6621561836105848,0.8820996071607409,0.7175061130463448,0.8784412202380952,0.5849016345187056,0.6083382473551414,0.595095450406531,0.8079418201430324,0.6208273627182657,0.8776971726190477
vit_b_16,stack,ep-ms+s-ms,0.6345566902940448,0.7602212598506968,0.677662521521903,0.8950587342093419,0.7185826882591505,0.8806733630952381,0.5298616820432835,0.7284454135493611,0.6045054750247889,0.8441282941838938,0.6683699467607837,0.8569568452380952
resnext50_32x4d,stack,ep-ms+s-ms+sds-ms,0.6227421390597228,0.6901666374505088,0.6443854926042224,0.8745383936108029,0.6982473490038752,0.8744419642857143,0.5531918969313994,0.6984408014840916,0.6078744226004392,0.8390943820297768,0.6468142347784863,0.8604910714285714
vit_b_16,stack,ep-ms+s-ms+sds-ms,0.6335284422626088,0.7223443481012479,0.6738759762563038,0.9014566866620672,0.7285057921756056,0.8784412202380952,0.5519576125536368,0.710611801983316,0.6174196949748689,0.825930436280278,0.6547172588622623,0.8607700892857143
resnext50_32x4d,stack,nhd+osm+rgb+s-ms,0.5951479879749629,0.6614249162172128,0.6229587202926155,0.880987712753479,0.6879246681103783,0.8705357142857143,0.5516024902939421,0.6734339904383403,0.5987929191058619,0.8126242292163001,0.625298371241148,0.8567708333333334
vit_b_16,stack,nhd+osm+rgb+s-ms,0.6218541272788943,0.7152231594345978,0.6587392972886782,0.8954031719015619,0.6967647756394432,0.8697916666666666,0.5255613282847114,0.6543645935579346,0.5643245348992874,0.7800210940058162,0.5568238063903169,0.8428199404761905
resnext50_32x4d,stack,prc-ms+s-ms,0.6408198942493036,0.723805498480665,0.674129491547607,0.8849120263301123,0.7074935863344577,0.8848586309523809,0.5466094618401686,0.7102994825730045,0.6125778200999681,0.8489098529578932,0.6566843958349434,0.8695126488095238
vit_b_16,stack,prc-ms+s-ms,0.6364376265171954,0.736470347497462,0.6684669831071118,0.8950529213684207,0.7098911203417325,0.8809523809523809,0.5299019835530233,0.6827854072357064,0.5935327946098975,0.8204089825447214,0.6264332940584277,0.8577008928571429
resnext50_32x4d,concat,dem+ep-ms+rgb+s-ms+sds-ms,0.434277844490507,0.8310857680436435,0.5119235932959428,0.5436024354109988,0.4768234535741039,0.5736607142857143,0.3463366224667804,0.7657422260175221,0.403254754187389,0.6467969362090054,0.4743313947546396,0.4949776785714285
vit_b_16,concat,dem+ep-ms+rgb+s-ms+sds-ms,0.6286987793064995,0.6835967501854086,0.6516603766433722,0.9228608563996848,0.7433559138813279,0.8852306547619048,0.495034186522282,0.6396268529851165,0.5516065455920531,0.8206150487934692,0.6199745666339052,0.8678385416666666
resnext50_32x4d,concat,dem+nhd+osm+rgb,0.5459503708646156,0.6403529090207106,0.5826762047142833,0.7831383604491294,0.5864766676313646,0.8233816964285714,0.3956221214765495,0.6932383022315808,0.4663690386272857,0.7651072788980334,0.5427208720772209,0.7016369047619048
vit_b_16,concat,dem+nhd+osm+rgb,0.6255975363436475,0.6988881475849994,0.6521700157747523,0.8994563242809193,0.6981245252603904,0.8726748511904762,0.4476721838855598,0.6184516421851896,0.512772176546547,0.7008630922367357,0.5458738224990803,0.8179873511904762
