encoder,exp_type,input,af1,Qal,Qaf,Qat,Qc,Qca,Qr,af1_cd,Qal_cd,Qaf_cd,Qat_cd,Qc_cd,Qca_cd,Qr_cd
resnext50_32x4d,ca,ep-ms,0.842597751422375,0.7815035027842645,0.8718117076620031,0.8460127813281467,0.8371382088443211,0.8941475442834139,0.8527429047622275,0.8596156054579432,0.8045984295121555,0.7753812636165577,0.7767907212732434,0.6457866309291749,0.8677819280228918,0.8158305757776307
resnext50_32x4d,concat,ep-ms,0.8592089144578642,0.7542069337165438,0.7173089549977272,0.7552986940816894,0.8375580825259601,0.8564500301932367,0.7777322339582247,0.8586969004144612,0.7363104667791298,0.586165577342048,0.763296333549932,0.7352075211176089,0.8164312260697804,0.832270019854401
resnext50_32x4d,sa,ep-ms,0.8630563596272334,0.8453457876773844,0.8590837921107126,0.9020727979994444,0.9517068925445702,0.9143518518518516,0.9131023922926308,0.8048712246964618,0.5805238955634147,0.7151416122004357,0.7889677149444112,0.3978557504873294,0.4960229418060743,0.5971806750496359
resnext50_32x4d,stack,ep-ms,0.8650454161864922,0.8400017962996228,0.7718066569018637,0.8942150597388163,0.9506907134120376,0.9169560185185186,0.9234073401581312,0.8186455364506666,0.7408438160970723,0.5034858387799565,0.7733993217200895,0.5042093079922028,0.6059747927217807,0.613103904698875
vit_b_16,ca,ep-ms,0.8300064426558261,0.8256781031075984,0.8811556139198949,0.8573603778827452,0.9309269623369066,0.9139052435587762,0.8816184391493167,0.8527086139037656,0.6309233680713142,0.6514161220043573,0.5701022760652644,0.861446150097466,0.9170606279040014,0.8844738583719391
vit_b_16,concat,ep-ms,0.8686151919639211,0.852256152326208,0.8540835395727057,0.8992720200055571,0.9417588550935344,0.9219819343800322,0.9186308850330964,0.8743670853038512,0.7216177566172001,0.7091503267973857,0.7188876921570547,0.8258589181286551,0.919684955829534,0.859007279947055
vit_b_16,stack,ep-ms,0.8408500676025155,0.8421771151428059,0.8341835446234659,0.9160433453737148,0.943799695655198,0.925083031400966,0.9147284195692382,0.8515915520895321,0.6925406108975074,0.7198257080610022,0.7450397443543434,0.8445865821962313,0.918155918155918,0.8212574454003971
resnext50_32x4d,ca,plc-ms,0.6359336860158072,0.6501643614154842,0.8010505581089954,0.6463462072798,0.7808462956962523,0.8262274389425658,0.5956205665350037,0.5941035839936526,0.5553978026871269,0.8809368191721133,0.7077877571366262,0.6146239441195581,0.8205502663333989,0.6224751819986764
resnext50_32x4d,concat,plc-ms,0.544694790522944,0.6689078498293515,0.7224607303399162,0.7969658238399555,0.7990187679294545,0.8179368793612454,0.7798833325429033,0.5209558708384228,0.662036838815198,0.7595860566448801,0.6274267199558495,0.7624675113710201,0.8024795374192966,0.6913037723362011
resnext50_32x4d,sa,plc-ms,0.8148979610355435,0.8123010598167775,0.7937269559068639,0.9074187274242844,0.9284433458927872,0.9115862352388622,0.9047215767044492,0.8216981427542359,0.7303230889115337,0.7165577342047931,0.7574392708045894,0.8972912605588044,0.8865890914083684,0.7581204500330907
resnext50_32x4d,stack,plc-ms,0.8058855022095588,0.8099874259026405,0.690842971867266,0.8795665462628508,0.914315232677878,0.8958941391572731,0.902309636244148,0.8125361479115121,0.7105609741477492,0.7093681917211329,0.6935545605867743,0.8784580084470436,0.9006281536402018,0.8287227001985441
vit_b_16,ca,plc-ms,0.7499832127981998,0.787001975929585,0.8319612101621294,0.8855126424006668,0.9059160625857772,0.8853936023886205,0.8758595925446648,0.6837190850532953,0.5607549302528708,0.8408496732026144,0.7267653525364286,0.8060956790123457,0.8556494821555063,0.774692256783587
vit_b_16,concat,plc-ms,0.774997050896981,0.816229567091791,0.8663568867114501,0.884056682411781,0.9260021409316616,0.9116868793612454,0.900243226580126,0.6925699729608402,0.6551126486782726,0.8310457516339869,0.7728029338721594,0.8643965237166992,0.8971831381469936,0.8139774983454666
vit_b_16,stack,plc-ms,0.7966080778200231,0.8035818214478175,0.8249406535683621,0.9015504306751876,0.91464604224523,0.907055152979066,0.8996876672606183,0.7681961017674633,0.6525728084672757,0.7834422657952069,0.607915045886259,0.84432261208577,0.8885549969887319,0.8321376571806751
