encoder,fusion,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_id,macro_recall_id,macro_f1_id,auroc_id,macro_map_id,micro_accuracy_id
resnext50_32x4d,stack,ep-ms,0.6440869705661044,0.7056429907305171,0.6697651386320808,0.8803032858879262,0.709637773544148,0.8752790178571429,0.4570592451020697,0.376771213807994,0.3936020134731846,0.6513803597800918,0.4654799138239696,0.83984375
vit_b_16,stack,ep-ms,0.6058589010151846,0.734009751064571,0.6556319992617954,0.8881236027668435,0.7032692870952288,0.8618861607142857,0.4971763500392757,0.6497490952322433,0.5578770662957576,0.7989996515935616,0.5749018145382677,0.8348214285714286
resnext50_32x4d,stack,plc-ms,0.6253991452477755,0.6322166268706279,0.6200964712326463,0.8426859220459451,0.6644574476993915,0.8604910714285714,0.4862489088909117,0.6533336096807378,0.5420301556085111,0.790546962378994,0.5696347527229296,0.8270089285714286
vit_b_16,stack,plc-ms,0.5737541771440158,0.6948424959006436,0.6222465120698956,0.8640099779994721,0.6605040027151194,0.8409598214285714,0.4394088495431573,0.6318005419612727,0.507581075864674,0.7681630697387689,0.5311174066144807,0.8019903273809523
resnext50_32x4d,stack,prc-ms,0.6392596271031614,0.7138137230468065,0.6642990500384057,0.8921658293491116,0.7054815368896538,0.8787202380952381,0.5538635703232541,0.7015986188746314,0.6136296522311205,0.8714188868593222,0.6521885027687979,0.8670014880952381
vit_b_16,stack,prc-ms,0.6369726611994897,0.715090722526373,0.6711321276855404,0.9021379323747188,0.7238667124934705,0.8747209821428571,0.5260689397714221,0.6715055540899331,0.5866045445196276,0.8447016152457909,0.6202790114044557,0.8611421130952381
resnext50_32x4d,stack,s-ms,0.6556323378875462,0.7031441451044393,0.6582680530338231,0.8912398802717069,0.7166364587219477,0.8701636904761905,0.5381622340293144,0.7173742441565513,0.5963004152748425,0.8033459306286833,0.6494471708304691,0.8550037202380952
vit_b_16,stack,s-ms,0.5881573953115368,0.7534692705926452,0.6409479824662201,0.8835067162568444,0.6910814263988223,0.8546316964285714,0.527125728215824,0.7714737643325489,0.6174467245976057,0.8189352652277321,0.6798284230928775,0.8404017857142857
resnext50_32x4d,stack,sds-ms,0.6025121307619209,0.7120846743831564,0.6385062865985106,0.8648361677245007,0.680074385255724,0.8592819940476191,0.5190443743765755,0.7165086438958218,0.5926652511777649,0.8215776419061298,0.6287378069596196,0.845703125
vit_b_16,stack,sds-ms,0.5926996576715332,0.6900436374367767,0.6315089119604014,0.8538419603586244,0.6627621999487554,0.8542596726190477,0.5121482505970578,0.6723305744874857,0.5733591059884906,0.79939554473153,0.6097678039937426,0.8490513392857143
resnext50_32x4d,sa,ep-ms,0.6300521662179805,0.7090485102961682,0.6566374689096593,0.8926742677291183,0.7114735432224221,0.8703497023809523,0.4249424231135158,0.3545276057780794,0.3727336076163907,0.6257948306782518,0.4443391051124057,0.8192894345238095
resnext50_32x4d,sa,plc-ms,0.5905092482783024,0.6611875528547541,0.6221536057856661,0.8675851231456525,0.6836507372586577,0.8567708333333334,0.4749796021335661,0.6723027282440889,0.5484395757455782,0.7954312912393451,0.5823837870796981,0.8254278273809523
resnext50_32x4d,sa,prc-ms,0.6211940382122565,0.7279967314319684,0.6602755189965622,0.9000937447002649,0.7015118120707475,0.8751860119047619,0.5165341758977069,0.7113654814415815,0.5904166892914315,0.8183845771791892,0.622713848739001,0.8570498511904762
resnext50_32x4d,sa,s-ms,0.6115150130955618,0.6960416552641467,0.6444451692760695,0.8927390363750876,0.7118493917037679,0.8720238095238095,0.5449873530825756,0.7004028860143973,0.6005522130028946,0.8320785307297963,0.6391919847363992,0.8614211309523809
resnext50_32x4d,sa,sds-ms,0.6119173885732583,0.6930962008492413,0.6441581219159953,0.8789531644675715,0.6876273034117337,0.8663504464285714,0.5409607719135419,0.7078578923314673,0.6061786110535009,0.8317571605054139,0.6246662807853008,0.8556547619047619
resnext50_32x4d,concat,ep-ms,0.5401092291391594,0.7113239012655985,0.6051844781457147,0.7939662634187494,0.6095616378724683,0.8236607142857143,0.4715213310514793,0.6020907120040155,0.5225685255440561,0.761196863589623,0.511202237486884,0.8232886904761905
vit_b_16,concat,ep-ms,0.6289411642893497,0.7127235653698508,0.6604975331116336,0.8937997969107221,0.7018015215849795,0.8734188988095238,0.5185543938599548,0.5858418813527815,0.5462316633519521,0.8040820021115337,0.5786004264429927,0.8515625
resnext50_32x4d,concat,plc-ms,0.4606422692792355,0.6803682516812325,0.5408018596880968,0.7328383106236815,0.5389538611837292,0.7583705357142857,0.3701353099120904,0.6501968951086535,0.4550436991624381,0.6894651867686953,0.4347791800478897,0.7203311011904762
vit_b_16,concat,plc-ms,0.5842857413423268,0.6771649162306507,0.6245250108924802,0.868510347712148,0.6779162663020161,0.8454241071428571,0.4652624434551346,0.6414829550496617,0.5320586076334684,0.789584066764917,0.5486926345293585,0.8018043154761905
resnext50_32x4d,concat,prc-ms,0.5593726725139347,0.6686324950471674,0.5976181549964917,0.7842305894010323,0.6315532887006045,0.8288690476190477,0.4345056781250195,0.6132812056427016,0.500238279034946,0.6156371920663661,0.5224552353248036,0.8006882440476191
vit_b_16,concat,prc-ms,0.6177609098820545,0.7335817779443208,0.6606824350093982,0.9030517661228344,0.7125736068028266,0.8702566964285714,0.5268866571506573,0.700912696631787,0.5959931463476623,0.836871638174642,0.6294685385515072,0.8555617559523809
resnext50_32x4d,concat,s-ms,0.548526027070012,0.6833537922548312,0.6029499384623431,0.8176921513904701,0.6234858573127345,0.8313802083333334,0.5072073476732598,0.6960710048052657,0.5680860816942804,0.7589490805939414,0.5819787850002313,0.8249627976190477
vit_b_16,concat,s-ms,0.6239832677416638,0.7213089355952317,0.6562935254714092,0.8746563160994667,0.6883980426823133,0.8723958333333334,0.4976560719918695,0.6444028155707484,0.557819635646877,0.7692665261628215,0.5848088753505308,0.8564918154761905
resnext50_32x4d,concat,sds-ms,0.532415100550464,0.6779140509007061,0.5832113201282756,0.7698696323110675,0.5969154984876684,0.8087797619047619,0.4612363980276795,0.6812575965698267,0.5348349701431635,0.7469824118926061,0.527390362513832,0.8018973214285714
vit_b_16,concat,sds-ms,0.5794197261809602,0.756772657185705,0.6326837365283537,0.8591471295484692,0.6731879603006724,0.8417038690476191,0.5043337667646914,0.6907337553194618,0.5755279242797274,0.7863380672282465,0.5942345366117906,0.8422619047619048
resnext50_32x4d,ca,ep-ms,0.5648775730060156,0.6768509463831996,0.6116175484492591,0.8465649144409646,0.6547186616932288,0.8355654761904762,0.4956675860102363,0.5708639574590083,0.524394074013436,0.7922550220842283,0.5366613518758246,0.8401227678571429
vit_b_16,ca,ep-ms,0.5911554258919949,0.6991932893714367,0.6318929714499069,0.8743787403730092,0.6737806940693088,0.8561197916666666,0.4962167417549822,0.6073308403744354,0.541937556466022,0.7668758594883011,0.5595699991379987,0.8412388392857143
resnext50_32x4d,ca,plc-ms,0.475629562610258,0.7316938232914139,0.5414735187397318,0.7051698734277013,0.568212057105856,0.7536272321428571,0.3993539488147499,0.7549155716249781,0.472282182509314,0.6851250507773076,0.4198267541790182,0.7008928571428571
vit_b_16,ca,plc-ms,0.543427569834123,0.6926656749476041,0.6032084389013022,0.8459468998299491,0.6362976913394196,0.8215215773809523,0.4554839503522387,0.6404179950932506,0.5024471679218172,0.7497894941423784,0.508536182192291,0.7665550595238095
resnext50_32x4d,ca,prc-ms,0.5433046867098419,0.727655393368578,0.5990472096874079,0.8328652684554838,0.6266501790189162,0.8103608630952381,0.4341964465414573,0.6552368698673551,0.5044246839048074,0.770033954248215,0.5357415486386563,0.7835751488095238
vit_b_16,ca,prc-ms,0.5881312079313779,0.7787682954908693,0.6466035354032379,0.8914835790062308,0.6847284288846794,0.8512834821428571,0.4769305829204192,0.6798588752785598,0.5535966988466271,0.7691255555717573,0.576239026318049,0.8269159226190477
resnext50_32x4d,ca,s-ms,0.5757085903271663,0.7508891669329568,0.6284131173413962,0.8470570708910066,0.6495955268924478,0.8364955357142857,0.5060974804274355,0.6533535700421237,0.5600521509845182,0.8091016882543299,0.5712973999955259,0.8323102678571429
vit_b_16,ca,s-ms,0.5866046642379521,0.6738304546096131,0.6244828033958545,0.8724035960356792,0.676184745153422,0.8664434523809523,0.4946259540082613,0.6533673235312755,0.5567623327218494,0.7733786345251634,0.5872797175012028,0.8485863095238095
resnext50_32x4d,ca,sds-ms,0.5161344772293713,0.6986036129281256,0.5813329325820006,0.7590620560338508,0.6072316806403315,0.8033854166666666,0.4618063992105551,0.8038534568397704,0.5514606914832066,0.7420588905723342,0.5366390176137837,0.7923177083333334
vit_b_16,ca,sds-ms,0.5635090998266689,0.7457095708882815,0.6174136974194504,0.8353109507563315,0.650002559737451,0.8302641369047619,0.505543790044042,0.7085415239868755,0.5843005303903945,0.7739441944934969,0.5988275459299472,0.8400297619047619
