input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
dem,single,0.666062569211739,0.718795015042543,0.6865955781942146,0.902980369109422,0.7357147160433531,0.8771391369047619,0.4743631940011273,0.5848742403876864,0.507905348857958,0.7525659475624246,0.5648016176721544,0.8372395833333334
dem,single_sa,0.6468133949868932,0.7216160887854377,0.6741060404753911,0.907854679420424,0.7304537275457592,0.8802083333333334,0.5385527053224739,0.5629859498923978,0.5277971532234209,0.7321250972292119,0.5468384932522642,0.8519345238095238
ep-101,single,0.6098584485670024,0.6817474719813557,0.6398223956112628,0.8492244083893977,0.682125525551284,0.8684895833333334,0.4675704663543261,0.5310695187576855,0.4765097341864982,0.725126099140985,0.5045955803904681,0.8216145833333334
ep-101,single_sa,0.6145527251532144,0.6924480584285311,0.6477291497089837,0.8870606597037235,0.6882317807189564,0.8678385416666666,0.5434287269015228,0.4890616149334354,0.4949030720283317,0.7749041395248836,0.5445052332374003,0.8545386904761905
ep-11,single,0.6144647574769383,0.6883063338443044,0.6443692763325025,0.8816640719219874,0.7044844383107887,0.8683965773809523,0.4229647737082862,0.4091045119352711,0.4027763624882197,0.6591121495837188,0.4712139479232532,0.826171875
ep-11,single_sa,0.6062056012730989,0.6999483744726357,0.6456090975595004,0.8904266923089249,0.6928106841791869,0.8650483630952381,0.4597149902328624,0.3952162628539883,0.402085893170987,0.6923021480930125,0.4782548434410446,0.8316592261904762
ep-201,single,0.6137479585991815,0.7091879374405349,0.6389593006686809,0.8761706687947088,0.6975326409810786,0.8624441964285714,0.532460774883271,0.535215830335941,0.5140888644509306,0.7888083024163324,0.55398220249219,0.8474702380952381
ep-201,single_sa,0.5934090392221728,0.7166507601567894,0.6349223565224928,0.8889953073812384,0.7016170522772284,0.8595610119047619,0.507639331451955,0.4906495915811283,0.4727485666163251,0.7571327248064584,0.5349199492224307,0.8322172619047619
ep-21,single,0.6163869410690868,0.6851087398291503,0.6399435602513152,0.882305200255438,0.7133499351423428,0.8690476190476191,0.4427542117748494,0.3804480107077995,0.402101570715339,0.6759052691567103,0.4741152644267745,0.8302641369047619
ep-21,single_sa,0.6157204515362187,0.7321192534938312,0.657560858226641,0.8893116167443763,0.708688070321286,0.8669084821428571,0.4293212151810212,0.4249740738023618,0.407587075326267,0.7112644671231363,0.484681902367042,0.8337053571428571
ep-5,single,0.6227629751624003,0.6699572009047062,0.6429403629920147,0.8743417621294345,0.6971189371226307,0.8726748511904762,0.4953785675555048,0.4152506213486117,0.4436333940862703,0.6740477483369095,0.4976975877831384,0.8328683035714286
ep-5,single_sa,0.6007157066458771,0.7394390696591425,0.6439725957698651,0.8819806408946215,0.6892777609881662,0.8592819940476191,0.5179337609983349,0.3904884717019737,0.4048637479006776,0.7012208525118977,0.4875493591672217,0.8231956845238095
ep-51,single,0.6374973080654929,0.7027380336321208,0.6537215381595287,0.8852533569700015,0.7030103869929241,0.8682105654761905,0.4413141936208308,0.4016824752767856,0.4016161731038989,0.7434294650288662,0.4839408152603364,0.8408668154761905
ep-51,single_sa,0.6026031947480669,0.7122339471224273,0.6463535243683288,0.8766338790515668,0.6923196313011604,0.8633742559523809,0.5008944764729096,0.4673145912439497,0.4706891642281814,0.736277263761888,0.5106951421081234,0.8319382440476191
nhd,single,0.4182522592678818,0.7411377139156432,0.5202003664900322,0.6514493064146226,0.4805043791730882,0.6800595238095238,0.3466072493042809,0.7081584463892349,0.4366652608746225,0.5889229079569821,0.374806697134478,0.6345796130952381
nhd,single_sa,0.4140422781265893,0.7254002277418978,0.5120942384480581,0.6462557670987785,0.4730009681136077,0.6805245535714286,0.3433336728957536,0.6991869260912394,0.4308124568321365,0.5607616726401075,0.3692172220810815,0.6328125
nir,single,0.5660965384904876,0.6826786564106071,0.6111479084894579,0.829002781412621,0.646597322251648,0.833984375,0.4920563763085693,0.5860666304067765,0.5196864637907472,0.7293428920180498,0.5340519744108485,0.7922247023809523
nir,single_sa,0.5513446785402593,0.6672212937301375,0.6000180091634054,0.8234054706424928,0.6329210930963127,0.8395647321428571,0.4232560120260715,0.7058728411606425,0.4789347499816777,0.6851507386569794,0.4591816474296409,0.7173549107142857
