model,exp_type,input,Qaf,Qal,Qat,Qc,Qca,Qr,af1,Qaf_cd,Qal_cd,Qat_cd,Qc_cd,Qca_cd,Qr_cd,af1_cd
deeplabv3p,stack,dem,0.0,0.4145385728444276,0.079295927865961,0.6301564821523479,0.3915183647300333,0.8020836252121682,0.2954816190026163,0.0,0.2478664696035647,0.0,0.3318339648528672,0.1426351791086421,0.7785159137836999,0.1743163136679106
segformer,stack,dem,0.0,0.484146742491349,0.1030071771172719,0.6568270534066466,0.4144603095626958,0.8191546469640153,0.3573035032389922,0.0,0.3522424913073553,0.0,0.4079430222837673,0.1688620759498913,0.8194005497775256,0.2650663047905336
deeplabv3p,stack,ep-5,0.0,0.3992354727873838,0.0262550209259792,0.5438844134721533,0.2722112192839838,0.7823164266342303,0.2935650443929312,0.0,0.3221320838795367,0.0405132272607532,0.0341961087789252,0.0103338484853084,0.8310879925667601,0.1479203055122732
segformer,stack,ep-5,0.0,0.4283020429006269,0.0743292129136682,0.5677662515950682,0.3486573296387946,0.7856510529450577,0.3287271511648807,0.0,0.3714635965464117,0.1085985739645956,0.0306118050273507,0.0021631418474776,0.8373198439009147,0.1981298397973586
deeplabv3p,stack,ep-51,0.0,0.4424878980150769,0.1056875607811231,0.532287786022897,0.3306952652473369,0.7896890795860545,0.3240691042656504,0.0,0.3465167758311122,0.0548431635834276,0.0254235916014238,0.0125417109846533,0.8209563137923029,0.2425702559074585
segformer,stack,ep-51,0.0,0.459133258876045,0.0828539217777905,0.5880317306344414,0.3558393961450305,0.8077607483835891,0.3489778124887059,0.0,0.3720701043147758,0.0894402936964038,0.0227629653921332,0.0247696486230079,0.8352562974053512,0.2345297631889095
deeplabv3p,stack,s-5,0.0,0.370399708765731,0.0710706976402936,0.6462428290296801,0.3663978467272276,0.788069260105473,0.2789580938301794,0.0,0.2868346690029775,0.0656037579566848,0.4350583591088917,0.1678222900025942,0.8133638113661456,0.1924742690672791
segformer,stack,s-5,0.0,0.3832586914661261,0.0753172909031095,0.674767811702674,0.3917769450421467,0.8135883159599275,0.3139037612897957,0.0,0.3482972008951522,0.0883374621291484,0.4797610454812085,0.2254002219284657,0.840960879544086,0.2345934018860503
deeplabv3p,stack,s-50,0.0,0.3012334726048131,0.0606171798047631,0.6280261010610582,0.3730491395680063,0.7711641886740178,0.0576578427413396,0.0,0.2142367585281474,0.022171380820575,0.4604107420557685,0.1881877668052399,0.8237486654374083,0.0098868589813512
segformer,stack,s-50,0.0,0.3025528320505665,0.0698716242861172,0.6329511286309542,0.3992095589654459,0.7760456568903538,0.048966748654937,0.0,0.2238563592619868,0.0195609536387172,0.4572258485328219,0.2172575291290132,0.8329205271038019,0.0096402624696978
deeplabv3p,stack,ep-ms,0.0,0.4550313066826222,0.1011058278027035,0.5706247758954118,0.3316196561603946,0.782970694703145,0.3054371496115725,0.0,0.3866849973460676,0.0617377696482527,0.0397500398916501,0.0125009212339545,0.8202736362037134,0.1543696686718613
segformer,stack,ep-ms,0.0,0.4463155394679894,0.06677860999272,0.5752650438158401,0.3385183810551032,0.7937797298079725,0.3216241023332941,0.0,0.3939283000213474,0.1199724410369526,0.0057519820348796,0.0,0.8392727542296446,0.1502237005492891
deeplabv3p,stack,s-ms,0.0,0.4139251392599893,0.0772140526789284,0.6541741577881005,0.3917697098646646,0.8094016063434358,0.2774838476828771,0.0,0.2906514705515065,0.0314477699216998,0.4280011485100586,0.2116890609160645,0.8389219807391457,0.2056111664827525
segformer,stack,s-ms,0.0,0.4186473764386069,0.0699094198023279,0.6665508918002362,0.4066596214726802,0.8198960627376494,0.3255449339044066,0.0,0.3252630443454648,0.0737029217703966,0.4861234962327542,0.2387295602913586,0.8626588822750441,0.2494337730360404
deeplabv3p,stack,dem+rgb,0.0,0.189323396157021,0.0,0.5504951095608045,0.2882065138703324,0.7702413842601897,0.252038756597354,0.0,0.0745759397879781,0.0,0.385751972208047,0.0994829854525603,0.8163271417308238,0.0917200582607233
segformer,stack,dem+rgb,0.0,0.2320973541328823,0.0070896626904953,0.5642991271155412,0.3031275713854649,0.7793633210647034,0.2931157262175237,0.0,0.1633367567245554,0.0,0.3593113757443116,0.2279137592132234,0.8219397293765031,0.2073717822723766
deeplabv3p,stack,ep-ms+prc-ms+s-ms,0.0,0.4575333343758708,0.0934016719362453,0.6228993565808237,0.4046010824918215,0.8283151914285661,0.3275319194909861,0.0,0.3774758113998064,0.0546941882700997,0.3398431623893074,0.2272835130461233,0.8487358670354297,0.2033009002988179
segformer,stack,ep-ms+prc-ms+s-ms,0.0,0.4834646916740646,0.099465387116064,0.6484062290363419,0.4504945132973748,0.8288439452504229,0.3396326567530122,0.0,0.3769011694754048,0.0661573588681586,0.3950011782539487,0.2775966012651487,0.8650256417431592,0.2474756525983269
