model,exp_type,input,Qaf,Qal,Qat,Qc,Qca,Qr,af1,Qaf_cd,Qal_cd,Qat_cd,Qc_cd,Qca_cd,Qr_cd,af1_cd
deeplabv3p,stack,dem,0.0,0.3431326701767255,0.0569773942838461,0.5634568202931937,0.3163716682096311,0.7501769404221104,0.2399009985873073,0.0,0.1887444940814827,0.0,0.263735860123661,0.098793188512638,0.7136483107661485,0.1256540978229369
segformer,stack,dem,0.0,0.4072207314611155,0.0756065124889539,0.5903085754939736,0.338985132524463,0.7662737440453163,0.2955917664979326,0.0,0.2858399882545874,0.0,0.3379104017916796,0.1229381097362397,0.7546891134048749,0.2005663029421147
deeplabv3p,stack,ep-5,0.0,0.3279967005950476,0.0168997845548677,0.4685469469619469,0.2094991063438541,0.7202145712711508,0.239277800205496,0.0,0.2599276648429591,0.0273157315483937,0.0234073800134782,0.0065335648516094,0.774111258923161,0.1045578792088515
segformer,stack,ep-5,0.0,0.3555235362117048,0.0550168839915526,0.4936714440193879,0.2765794019963631,0.726892562120919,0.2655933359676761,0.0,0.3057416728484008,0.0777534231698761,0.0221493566283024,0.0012684361628351,0.7834779018628736,0.1471789517287654
deeplabv3p,stack,ep-51,0.0,0.367066381289749,0.0783128142703641,0.4560842161175367,0.2572740033122077,0.7281867886954652,0.2619047174567034,0.0,0.283011738712567,0.0370916883972748,0.01717062471387,0.0084638385203929,0.763390339961238,0.1790711151602565
segformer,stack,ep-51,0.0,0.3842502095101701,0.0581670097474541,0.5135668408960523,0.2795208673214358,0.7496204423255218,0.2864902734902328,0.0,0.3074508740603002,0.0657898304715014,0.0155142161976357,0.0169124220474026,0.7796885898466902,0.1743449402656124
deeplabv3p,stack,s-5,0.0,0.3025428291124737,0.0484646286911748,0.5804580679116144,0.2961411905935991,0.7320296831614124,0.2272626941284228,0.0,0.2305307879370534,0.0441656339468947,0.3650653297375518,0.1257275060037679,0.7489057488109065,0.1378371276425508
segformer,stack,s-5,0.0,0.3139397835735599,0.0547660970159441,0.6061673431994175,0.3188623175941246,0.7606862081339816,0.2556520738470505,0.0,0.2848178343465509,0.0673896146260406,0.4045224279771843,0.1673114305453676,0.7827939951789427,0.1733244322911849
deeplabv3p,stack,s-50,0.0,0.2433276864951168,0.0434763334085081,0.5468878971973662,0.2994593966320188,0.7106599413728509,0.0449762007333308,0.0,0.1740062983777991,0.0131685580084989,0.3757079759876326,0.1380506362701945,0.7661219541416543,0.0059446479806336
segformer,stack,s-50,0.0,0.2492694401992894,0.051706823954274,0.5545953560254985,0.3231410691009753,0.7173782316567108,0.0373347201243524,0.0,0.1850602712949296,0.0128867463665265,0.3740998408916733,0.1620720232106129,0.7764436965730102,0.0058595595367948
deeplabv3p,stack,ep-ms,0.0,0.380963485198674,0.0743428240219752,0.4968601472937909,0.2592142735953316,0.7217129577110089,0.2461780609741992,0.0,0.3148883023741471,0.0424744952385687,0.0296066476640091,0.0076386678989685,0.7570053021742448,0.1118244576575133
segformer,stack,ep-ms,0.0,0.3707984652336703,0.048245597636456,0.498084063369816,0.2666167534219505,0.7334696575189203,0.2622409217787326,0.0,0.3256284668528422,0.0844264671196773,0.00332946110301,0.0,0.7848650892268173,0.1119873405444983
deeplabv3p,stack,s-ms,0.0,0.3381993958008554,0.0577374045360123,0.5843523974555157,0.3171957962779284,0.7526428424886799,0.2223308728938837,0.0,0.23310476822288,0.0199738538363211,0.3588313850723761,0.1580008736588262,0.7726389071245537,0.1485812139270516
segformer,stack,s-ms,0.0,0.3456439886212266,0.0515244004316628,0.5989505632738533,0.3318723563325933,0.7666012919859804,0.2654234398821449,0.0,0.2647316886857776,0.0536044892308709,0.4116241638497978,0.1796572859696643,0.8035292894959072,0.1850833154142415
deeplabv3p,stack,dem+rgb,0.0,0.1440986374843713,0.0,0.4759945729007356,0.2181900028873881,0.7089804097356887,0.2029604389280947,0.0,0.0494977134052365,0.0,0.3016634837210595,0.0676169117320549,0.7492672725670578,0.0669713572344092
segformer,stack,dem+rgb,0.0,0.1774618809903062,0.0050994161256524,0.4887290275373044,0.2319887015032421,0.7199020351983695,0.2344106018623753,0.0,0.113691262185293,0.0,0.2869644493207833,0.1651270763165045,0.7580927515112678,0.1513976428341266
deeplabv3p,stack,ep-ms+prc-ms+s-ms,0.0,0.380882432053408,0.0676980579713065,0.5509014991430523,0.3258757418108871,0.7739930155896398,0.2636651439645972,0.0,0.310866884250885,0.0395206641917421,0.2564015939007521,0.1665373907697699,0.7842813147467496,0.1502961282555119
segformer,stack,ep-ms+prc-ms+s-ms,0.0,0.4049863940493716,0.072979749817721,0.5765859522718109,0.3686371204871675,0.7756739457617949,0.2755071517154799,0.0,0.3125235037400857,0.0462656949433985,0.3096457600097655,0.2064602344811447,0.8078637026502141,0.184993543044428
