model,exp_type,input,macro_iou,macro_dice,macro_precision,macro_recall,micro_iou,micro_dice,micro_precision,micro_recall,mean_hd,mean_hd95,macro_iou_cd,macro_dice_cd,macro_precision_cd,macro_recall_cd,micro_iou_cd,micro_dice_cd,micro_precision_cd,micro_recall_cd,mean_hd_cd,mean_hd95_cd
deeplabv3p,stack,dem,0.4859362460173871,0.5475112818770593,0.6159504658725279,0.550938410611421,0.7828236818313599,0.8781840205192566,0.8781840801239014,0.8781840801239014,83.70079557764832,65.46578326457646,0.3558690819032844,0.4147912549985351,0.497503994946668,0.440736470071702,0.6587995886802673,0.7943088412284851,0.7943088412284851,0.7943088412284851,105.75332032247326,87.01756745785266
segformer,stack,dem,0.5116397548670757,0.5757105583257222,0.6317754851050883,0.5849889225333568,0.7919162511825562,0.8838763236999512,0.883876383304596,0.883876383304596,77.83370809885336,62.94152109705212,0.4116505923285105,0.4744333910138927,0.535311011955302,0.4960810445947956,0.6894416809082031,0.8161768913269043,0.8161769509315491,0.8161769509315491,96.40764909331784,78.88221328024484
deeplabv3p,stack,ep-5,0.4481805758559293,0.5128805217280232,0.5823209839176439,0.5275057621191034,0.7420378923416138,0.8519193530082703,0.8519193530082703,0.8519193530082703,92.5314496353448,74.70148372559963,0.3781233830046869,0.4234938713741036,0.4861320583040948,0.461320562121562,0.6628500819206238,0.7972458004951477,0.7972457408905029,0.7972457408905029,96.11412006623752,79.9629338568671
segformer,stack,ep-5,0.4596054973278806,0.525416001936878,0.5936056229293818,0.5361701324960402,0.7483416795730591,0.8560588955879211,0.8560588359832764,0.8560588359832764,86.69668733589153,71.33386645345765,0.4002547212569734,0.4465500956924007,0.4944621863592066,0.4837562629504852,0.6700131297111511,0.8024046421051025,0.8024046421051025,0.8024046421051025,88.64913366173677,73.3406530223509
deeplabv3p,stack,ep-51,0.453189742143495,0.5210063997166828,0.5811945132601841,0.5332407549008382,0.7477397918701172,0.8556649088859558,0.8556649088859558,0.8556649088859558,87.5517069244105,71.83927339073753,0.3776962370145608,0.4260426036082545,0.4706661898795458,0.4654494069818864,0.652004063129425,0.7893492579460144,0.7893492579460144,0.7893492579460144,93.5954919256128,78.06900964253985
segformer,stack,ep-51,0.4853728326945188,0.5522286301935881,0.6159504816223593,0.560523125092598,0.7698986530303955,0.8699917793273926,0.8699917793273926,0.8699917793273926,83.23246671838078,68.28992134965668,0.4026775475615873,0.4506497470984154,0.4973398065797311,0.489501730369241,0.6688694953918457,0.8015839457511902,0.8015839457511902,0.8015839457511902,88.22968701957913,73.67647344045736
deeplabv3p,stack,s-5,0.4612538051571346,0.5220575740081443,0.5921110698663221,0.529121258636137,0.7597581148147583,0.8634800910949707,0.8634801506996155,0.8634801506996155,88.3410375623914,71.7862816291504,0.3837322066007108,0.4416429363802203,0.5080204642695381,0.4539005935262029,0.7003178000450134,0.8237492442131042,0.823749303817749,0.823749303817749,102.7359549944262,84.61916923197438
segformer,stack,s-5,0.4842764560946084,0.5458899148164956,0.6069513813282208,0.5549103039698795,0.7821739912033081,0.8777750134468079,0.8777751326560974,0.8777751326560974,83.72627999897409,67.97569189537457,0.4302426088906195,0.4913399975055261,0.5412860008928753,0.5105245304726899,0.743969202041626,0.8531907200813293,0.8531907200813293,0.8531907200813293,95.18828728033,77.81065268841397
deeplabv3p,stack,s-50,0.4241272925900029,0.4817080771973189,0.5322028387621341,0.5050983572712007,0.7052088975906372,0.8271231651306152,0.8271231651306152,0.8271231651306152,89.55540811544971,74.9862289559423,0.3936092755734391,0.4415433251548721,0.4899922086462153,0.4609037516789179,0.7132958769798279,0.8326593041419983,0.8326593041419983,0.8326593041419983,94.70530186269497,79.45116184839036
segformer,stack,s-50,0.4323960519463061,0.4881850211366126,0.5300633026483631,0.5115921889641866,0.7166034579277039,0.8349084854125977,0.8349085450172424,0.8349085450172424,86.62370492712228,73.36679890386249,0.4071451781489468,0.4545672982835276,0.5001269706400053,0.4742006662377971,0.7211862802505493,0.8380107879638672,0.8380107283592224,0.8380107283592224,92.166635332824,77.84132446243005
deeplabv3p,stack,ep-ms,0.4628642580111543,0.5292305171067255,0.5859654979397273,0.5432376686678149,0.7579168081283569,0.8622897267341614,0.8622897267341614,0.8622897267341614,87.09805027341662,69.44190621592958,0.375729763747212,0.4258597305266796,0.457710291337808,0.4733086781349419,0.6467990875244141,0.7855227589607239,0.7855227589607239,0.7855227589607239,94.5007357522061,78.46670084340232
segformer,stack,ep-ms,0.4665919314791765,0.5335147900270992,0.6013738167593013,0.5435571409370049,0.7622000575065613,0.8650550842285156,0.8650550842285156,0.8650550842285156,87.6142262223246,71.87444694983282,0.4070435294747185,0.4525279122388411,0.4906126063512119,0.4930026117748299,0.6763691902160645,0.8069454431533813,0.8069453835487366,0.8069453835487366,88.23650182951204,71.85139634477581
deeplabv3p,stack,s-ms,0.485028634286259,0.5495046456482311,0.6089586245970375,0.5609489746014258,0.7679926156997681,0.8687734603881836,0.8687735199928284,0.8687735199928284,85.75803745129416,69.51780990938987,0.4063277456169546,0.4668653746435431,0.5235360514190305,0.4856665637776756,0.7198103070259094,0.8370809555053711,0.8370810151100159,0.8370810151100159,99.82730010946533,82.21424858992215
segformer,stack,s-ms,0.4971310734018634,0.5599785804283615,0.6240638607763005,0.5703975622544176,0.7817198634147644,0.8774890899658203,0.8774890899658203,0.8774890899658203,80.79576828534465,66.0313818789365,0.4405036822346409,0.5017482261762459,0.5533377899635094,0.5163994082816943,0.7620429992675781,0.864953875541687,0.8649539351463318,0.8649539351463318,93.16378753343444,76.388519886312
deeplabv3p,stack,dem+rgb,0.4013098405043628,0.4594403871554957,0.5203988657615432,0.4821512489497779,0.7041053771972656,0.8263635635375977,0.8263636231422424,0.8263636231422424,95.46948094341587,80.23092957495324,0.3444658235892535,0.3931915438707196,0.4527513749519949,0.4251652566683909,0.6518444418907166,0.7892322540283203,0.7892322540283203,0.7892322540283203,103.03283788316335,87.67519725722336
segformer,stack,dem+rgb,0.4146027470983134,0.4757716084819893,0.5332575107098135,0.4956737062631893,0.7172870635986328,0.8353723287582397,0.8353723883628845,0.8353723883628845,92.2587758418484,77.9263190573072,0.3742791931788549,0.4329403534731119,0.5092283467008861,0.4582102468091727,0.6757664084434509,0.8065162301063538,0.8065162301063538,0.8065162301063538,99.72520208592668,84.06990887859838
deeplabv3p,stack,ep-ms+prc-ms+s-ms,0.5000222663812908,0.5662586884252073,0.6312949299543361,0.5723317084722136,0.7885609865188599,0.8817825317382812,0.881782591342926,0.881782591342926,78.51790803347252,63.83986732833437,0.4055527445927754,0.4684380045370135,0.5291565578561916,0.4892583875458682,0.7198470830917358,0.837105929851532,0.837105929851532,0.837105929851532,95.68271121924248,78.25643106036237
segformer,stack,ep-ms+prc-ms+s-ms,0.5204032193934647,0.5868196746696053,0.6539647637866829,0.5939126882714143,0.7964295148849487,0.8866806030273438,0.886680543422699,0.886680543422699,76.27160472937211,62.0048327571133,0.4503487753002639,0.5134445272993593,0.5784539744228685,0.5325716878319,0.7537485957145691,0.859585702419281,0.859585702419281,0.859585702419281,89.30851813678593,73.17549871551898
