,channel,mean,sd
0,dem.tif,612.5873,91.41048
1,aerialr.tif,78.22487,35.26202
2,aerialg.tif,81.37826,29.228083
3,aerialb.tif,73.85978,25.36685
4,aerialnir.tif,115.75246,38.84023
5,ep_5x5.tif,47.148003,9.995897
6,ep_11x11.tif,48.984917,11.414049
7,ep_21x21.tif,49.453957,13.085226
8,ep_51x51.tif,49.73402,16.827734
9,ep_101x101.tif,49.8627,20.028563
10,ep_201x201.tif,49.936615,22.24303
11,plancurv.tif,-17.586945,4201.2754
12,plancurv_10.tif,-17.636562,4201.2754
13,plancurv_20.tif,-17.61577,4201.2754
14,plancurv_50.tif,-17.569511,4201.276
15,plancurv_100.tif,-17.44192,4201.2764
16,plancurv_200.tif,-17.407343,4201.2764
17,procurv.tif,-17.617216,4201.2754
18,procurv_10.tif,-17.564882,4201.276
19,procurv_20.tif,-17.61681,4201.2754
20,procurv_50.tif,-17.683147,4201.275
21,procurv_100.tif,-17.821325,4201.2744
22,procurv_200.tif,-17.794386,4201.275
23,slope.tif,5.394212,4.917538
24,slope_10.tif,4.7328863,4.5426984
25,slope_20.tif,4.319895,4.1684427
26,slope_50.tif,3.4033961,3.4391284
27,slope_100.tif,2.564184,2.665185
28,slope_200.tif,0.9074487,108.62224
29,stdslope_5x5.tif,1.2304713,1.433584
30,stdslope_11x11.tif,1.7469285,1.8291693
31,stdslope_21x21.tif,2.1956928,2.0422757
32,stdslope_51x51.tif,2.8051472,2.1935713
33,stdslope_101x101.tif,3.243048,2.2140517
34,stdslope_201x201.tif,3.651735,2.162431
