,mean,sd
dem.tif,612.58606,91.41645
aerialr.tif,78.225006,35.2614
aerialg.tif,81.378365,29.22794
aerialb.tif,73.85989,25.366314
aerialnir.tif,115.75195,38.841766
ep_5x5.tif,47.147903,9.996543
ep_11x11.tif,48.985027,11.413822
ep_21x21.tif,49.453846,13.086222
ep_51x51.tif,49.73411,16.827328
ep_101x101.tif,49.86276,20.028383
ep_201x201.tif,49.93646,22.242899
plancurv.tif,-17.586813,4201.275
plancurv_10.tif,-17.636639,4201.2754
plancurv_20.tif,-17.61574,4201.2754
plancurv_50.tif,-17.569578,4201.2754
plancurv_100.tif,-17.44181,4201.276
plancurv_200.tif,-17.407381,4201.2764
procurv.tif,-17.617346,4201.2754
procurv_10.tif,-17.564888,4201.2754
procurv_20.tif,-17.616886,4201.2754
procurv_50.tif,-17.683165,4201.275
procurv_100.tif,-17.821266,4201.2744
procurv_200.tif,-17.794338,4201.2744
slope.tif,5.394213,4.9175315
slope_10.tif,4.732897,4.5426702
slope_20.tif,4.319903,4.1684585
slope_50.tif,3.403389,3.4391263
slope_100.tif,2.564178,2.6652112
slope_200.tif,0.90744644,108.620964
stdslope_5x5.tif,1.2304676,1.4335842
stdslope_11x11.tif,1.7469165,1.8291762
stdslope_21x21.tif,2.195698,2.042275
stdslope_51x51.tif,2.8051498,2.1935596
stdslope_101x101.tif,3.2430496,2.2140512
stdslope_201x201.tif,3.6517305,2.162443
