patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
sonora_256_50_1,0,0.012210544,0,0,0,0,0.98778945
sonora_256_50_2,0,0.012210544,0,0,0.04861564,0,0.9391738
sonora_256_50_3,0,0,0,0,0.16317733,0,0.8368227
sonora_256_50_4,0,0,0,0,0.2654681,0,0.73453194
sonora_256_50_5,0,0,0,0,0.3203801,0,0.6796199
sonora_256_50_6,0,0,0,0,0.2478444,0,0.7521556
sonora_256_50_7,0.024496512,0,0,0,0.07837071,0,0.8971328
sonora_256_50_8,0.08586151,0.023374759,0,0,0,0,0.8907637
sonora_256_50_9,0.06149427,0.05875035,0,0,0,0,0.8797554
sonora_256_50_10,0.000129269,0.058470245,0,0,0,0,0.94140047
sonora_256_50_11,0,0.023094654,0,0,0,0,0.97690535
sonora_256_50_12,0,0.021676548,0,0,0,0,0.97832346
sonora_256_50_13,0,0.0735161,0,0,0,0,0.9264839
sonora_256_50_14,0.07766223,0.07978625,0,0,0,0,0.84255147
sonora_256_50_15,0.07766223,0.048696376,0,0,0.048431825,0,0.82520956
sonora_256_50_16,0,0.024559356,0,0,0.13736662,0,0.838074
sonora_256_50_17,0,0.009148479,0,0,0.28645286,0,0.70439863
sonora_256_50_18,0,0.05127783,0,0,0.30997294,0,0.6387492
sonora_256_50_19,0,0.103423394,0,0,0.18477789,0,0.71179867
sonora_256_50_20,0,0.14459367,0,0,0.08651032,0,0.768896
sonora_256_50_21,0,0.15551159,0,0,0.014187314,0,0.8303011
sonora_256_50_22,0,0.06990623,0,0,0,0,0.93009377
sonora_256_50_23,0,0.001503956,0,0,0,0,0.998496
sonora_256_50_24,0,0,0,0,0,0,1
sonora_256_50_25,0.01551328,0.067049146,0,0,0,0,0.9174376
sonora_256_50_26,0.03388772,0.16845348,0,0,0,0,0.7976588
sonora_256_50_27,0.049720768,0.13370931,0,0,0,0,0.8165699
sonora_256_50_28,0.062605456,0.043917615,0,0,0,0,0.89347696
sonora_256_50_29,0.051432442,0.011612651,0,0,0,0,0.9369549
sonora_256_50_30,0.020173322,0,0,0,0,0,0.9798267
sonora_256_50_31,0,0,0,0,0,0,1
sonora_256_50_32,0,0,0,0,0,0,1
sonora_256_50_33,0,0,0,0,0,0,1
sonora_256_50_34,0,0.10470192,0,0,0,0,0.89529806
sonora_256_50_35,0,0.54992884,0,0,0,0,0.45007116
sonora_256_50_36,0,0.93302923,0,0,0,0,0.06697078
sonora_256_50_37,0,0.9127315,0,0,0,0,0.08726847
sonora_256_50_38,0,0.59951556,0,0,0,0,0.40048447
sonora_256_50_39,0,0.22259507,0,0,0,0,0.77740496
sonora_256_50_40,0,0.048008785,0,0,0,0,0.9519912
sonora_256_50_41,0,0,0,0,0,0,1
sonora_256_50_42,0,0.039979685,0,0,0,0,0.9600203
sonora_256_50_43,0,0.10881773,0,0,0,0,0.89118224
sonora_256_50_44,0,0.07454341,0,0,0,0,0.92545664
sonora_256_50_45,0,0.005705371,0,0,0,0,0.99429464
sonora_256_50_46,0,0,0,0,0,0,1
sonora_256_50_47,0,0,0,0,0,0,1
sonora_256_50_48,0,0,0,0,0,0,1
sonora_256_50_49,0,0.04932656,0,0,0,0,0.95067346
sonora_256_50_50,0.033486154,0.1444513,0,0,0,0,0.82206255
sonora_256_50_51,0.09178333,0.11954519,0,0,0,0,0.78867143
sonora_256_50_52,0.18230896,0.069066085,0,0,0,0,0.7486249
sonora_256_50_53,0.18860437,0.044645637,0,0,0.08572179,0,0.6810282
sonora_256_50_54,0.09449701,0,0,0,0.4132759,0,0.49222708
sonora_256_50_55,0.029904393,0.027268102,0,0,0.6084647,0,0.33436278
sonora_256_50_56,0,0.027268102,0,0,0.30439115,0,0.66834074
sonora_256_50_57,0,0,0,0,0.023480542,0,0.97651947
sonora_256_50_58,0,0.072665036,0,0,0.001110312,0,0.92622465
sonora_256_50_59,0,0.10681198,0,0,0.10285048,0,0.7903375
sonora_256_50_60,0,0.03414694,0,0,0.10174017,0,0.86411285
sonora_256_50_61,0,0.106388435,0,0.013466639,0.031927034,0,0.8482179
sonora_256_50_62,0.013172157,0.18305944,0,0.02687771,0.042158302,0,0.7347324
sonora_256_50_63,0.013172157,0.08848168,0,0.013411071,0.010231268,0,0.8747038
sonora_256_50_64,0,0.07701655,0,0,0.002903781,0,0.92007965
sonora_256_50_65,0,0.08221818,0,0,0.041222543,0,0.8765593
sonora_256_50_66,0,0.017012307,0,0,0.038318764,0,0.94466895
sonora_256_50_67,0,0.006972345,0,0,0,0,0.9930276
sonora_256_50_68,3.48E-05,0.15200424,0,0,0,0,0.84796095
sonora_256_50_69,0.07323526,0.38393137,0,0,0,0,0.5428334
sonora_256_50_70,0,0,0,0,0,0,1
sonora_256_50_71,0,0,0,0,0,0,1
sonora_256_50_72,0,0,0,0,0.061049342,0,0.93895066
sonora_256_50_73,0,0,0,0,0.10840391,0,0.8915961
sonora_256_50_74,0,0,0,0,0.14841917,0,0.8515808
sonora_256_50_75,0.010022338,0,0,0,0.2685568,0,0.7214208
sonora_256_50_76,0.10100273,0.004353085,0,0,0.27872688,0,0.6159173
sonora_256_50_77,0.1498791,0.0952073,0,0,0.12773316,0,0.62718046
sonora_256_50_78,0.058898702,0.13015252,0,0,0.016498495,0,0.7944503
sonora_256_50_79,0,0.07741586,0,0,0,0,0.9225842
sonora_256_50_80,0,0.03811755,0,0,0,0,0.9618825
sonora_256_50_81,0,0,0,0,0,0,1
sonora_256_50_82,0,4.36E-05,0,0,0,0,0.99995637
sonora_256_50_83,0.035638858,0.001269499,0,0,0,0,0.9630917
sonora_256_50_84,0.035638858,0.001225852,0,0,0.048431825,0,0.9147034
sonora_256_50_85,0,0,0,0,0.13563478,0,0.8643652
sonora_256_50_86,0,0.028386218,0,0,0.25863057,0,0.7129832
sonora_256_50_87,0,0.12781546,0,0,0.19424403,0,0.67794055
sonora_256_50_88,0,0.26870358,0,0,0.031133888,0,0.70016253
sonora_256_50_89,0,0.297686,0,0,0.008317493,0,0.69399655
sonora_256_50_90,0,0.20331466,0,0,0,0,0.79668534
sonora_256_50_91,0,0.07640696,0,0,0,0,0.92359304
sonora_256_50_92,0,0.001503956,0,0,0,0,0.998496
sonora_256_50_93,0,0,0,0,0,0,1
sonora_256_50_94,0.01551328,0.114449844,0,0,0,0,0.87003684
sonora_256_50_95,0.03388772,0.32228792,0,0,0,0,0.6438244
sonora_256_50_96,0.049181048,0.39642358,0,0,0,0,0.55439544
sonora_256_50_97,0.077321075,0.25629714,0,0,0,0,0.6663818
sonora_256_50_98,0.08355717,0.067711666,0,0,0,0,0.84873116
sonora_256_50_99,0.0370427,0,0,0,0,0,0.96295726
sonora_256_50_100,0,0,0,0,0,0,1
sonora_256_50_101,0,0,0,0,0,0,1
sonora_256_50_102,0,0,0,0,0,0,1
sonora_256_50_103,0,0.05396181,0,0,0,0,0.9460382
sonora_256_50_104,0.01502806,0.2820117,0,0,0,0,0.70296025
sonora_256_50_105,0.015181677,0.46933472,0,0,0,0,0.5154836
sonora_256_50_106,0.000153619,0.58947766,0,0,0,0,0.4103687
sonora_256_50_107,0,0.6864525,0,0,0,0,0.3135475
sonora_256_50_108,0,0.5575156,0,0,0,0,0.4424844
sonora_256_50_109,0,0.36657223,0,0,0,0,0.6334278
sonora_256_50_110,0,0.27608716,0,0,0,0,0.72391284
sonora_256_50_111,0,0.31180304,0,0,0,0,0.68819696
sonora_256_50_112,0,0.4320432,0,0,0,0,0.5679568
sonora_256_50_113,0,0.48936245,0,0,0,0,0.5106375
sonora_256_50_114,0,0.40054208,0,0,0,0,0.5994579
sonora_256_50_115,0,0.16019057,0,0,0,0,0.8398094
sonora_256_50_116,0,0.000147737,0,0,0,0,0.9998523
sonora_256_50_117,0,0.000147737,0,0,0,0,0.9998523
sonora_256_50_118,0,0.010708305,0,0,0,0,0.98929167
sonora_256_50_119,0.03477663,0.11348544,0,0,0,0,0.85173786
sonora_256_50_120,0.04382356,0.16616419,0,0,0,0,0.79001236
sonora_256_50_121,0.08932516,0.13720965,0,0,0,0,0.7734653
sonora_256_50_122,0.2264621,0.076024115,0,0,0,0,0.6975138
sonora_256_50_123,0.21474403,0.002201479,0,0,0.12312617,0,0.6599283
sonora_256_50_124,0.06856017,0,0,0,0.25472304,0,0.67671674
sonora_256_50_125,0,0,0,0,0.13163759,0,0.8683624
sonora_256_50_126,0,0,0,0,4.07E-05,0,0.99995923
sonora_256_50_127,0,0.060928885,0,0,0,0,0.9390711
sonora_256_50_128,0,0.095793106,0,0,0.000185975,0,0.9040209
sonora_256_50_129,0,0.034864224,0,0,0.000185975,0,0.9649498
sonora_256_50_130,0,0.07499121,0,0,0,0,0.9250088
sonora_256_50_131,0.013172157,0.14488705,0,0,0,0,0.84194076
sonora_256_50_132,0.013172157,0.12439359,0,0,0,0,0.8624342
sonora_256_50_133,0,0.13919476,0,0,0.002903781,0,0.85790145
sonora_256_50_134,0,0.101709306,0,0,0.041222543,0,0.8570682
sonora_256_50_135,0,0.017012307,0,0,0.038318764,0,0.94466895
sonora_256_50_136,0,0.000214897,0,0,0,0,0.99978507
sonora_256_50_137,3.48E-05,0.22223347,0,0,0,0,0.7777318
sonora_256_50_138,0.048176665,0.50473595,0,0,0,0,0.4470874
sonora_256_50_139,0.04435171,0,0,0,0,0,0.95564824
sonora_256_50_140,0.02363386,0,0,0,0,0,0.9763661
sonora_256_50_141,0,0,0,0,0,0,1
sonora_256_50_142,0,0,0,0,0,0,1
sonora_256_50_143,0,0,0,0,0.05672837,0,0.94327164
sonora_256_50_144,0.011031978,0,0,0,0.15938039,0,0.82958764
sonora_256_50_145,0.08244338,0.004353085,0,0,0.22860038,0,0.6846031
sonora_256_50_146,0.07469679,0.15870702,0,0,0.143552,0,0.6230442
sonora_256_50_147,0.003285382,0.17801525,0,0,0.01760365,0,0.8010957
sonora_256_50_148,0,0.066091284,0,0,0,0,0.9339087
sonora_256_50_149,0,0.06420538,0,0,0,0,0.9357946
sonora_256_50_150,0,0.05734534,0,0,0,0,0.94265467
sonora_256_50_151,0,0.03556993,0,0,0,0,0.9644301
sonora_256_50_152,0,0,0,0,0,0,1
sonora_256_50_153,0,0,0,0,0,0,1
sonora_256_50_154,0,0,0,0,0.0637201,0,0.9362799
sonora_256_50_155,0,0.023047414,0,0,0.17913705,0,0.79781556
sonora_256_50_156,0,0.078210935,0,0,0.33559743,0,0.5861916
sonora_256_50_157,0,0.24479443,0,0,0.23354612,0,0.5216595
sonora_256_50_158,0,0.2610693,0,0,0.013365632,0,0.7255651
sonora_256_50_159,0,0.07793911,0,0,0,0,0.9220609
sonora_256_50_160,0,0.00650073,0,0,0,0,0.9934993
sonora_256_50_161,0,0,0,0,0,0,1
sonora_256_50_162,0,0,0,0,0,0,1
sonora_256_50_163,0,0.07987301,0,0,0,0,0.920127
sonora_256_50_164,0,0.18630673,0,0,0,0,0.8136932
sonora_256_50_165,0,0.38126633,0,0,0,0,0.6187337
sonora_256_50_166,0.015904779,0.42843655,0,0,0,0,0.5556587
sonora_256_50_167,0.050532266,0.1648148,0,0,0,0,0.78465295
sonora_256_50_168,0.034627486,0.011210842,0,0,0,0,0.9541617
sonora_256_50_169,0,0,0,0,0,0,1
sonora_256_50_170,0,0,0,0,0,0,1
sonora_256_50_171,0,0,0,0,0,0,1
sonora_256_50_172,0,0,0,0,0,0,1
sonora_256_50_173,0.016969811,0.006808661,0,0,0,0,0.97622156
sonora_256_50_174,0.054010905,0.010291265,0,0,0,0,0.93569785
sonora_256_50_175,0.06682208,0.11690021,0,0,0,0,0.8162777
sonora_256_50_176,0.035764325,0.37330317,0,0,0,0,0.5909325
sonora_256_50_177,0.005983342,0.4897118,0,0,0,0,0.5043048
sonora_256_50_178,0,0.37714255,0,0,0,0,0.6228574
