channel,mean,sd
aerialb.tif,76.495705,16.5074
aerialg.tif,82.297806,21.050842
aerialnir.tif,150.29471,30.053915
aerialr.tif,69.23815,25.289762
dem.tif,745.2894,51.204777
ep_101x101.tif,49.81494,20.33672
ep_11x11.tif,49.063263,11.293575
ep_201x201.tif,49.89273,22.823847
ep_21x21.tif,49.472366,12.943597
ep_51x51.tif,49.697735,17.003887
ep_5x5.tif,47.306377,10.823366
geology.tif,6.1538,1.5259745
nhd.tif,0.012846925,0.11261463
osm.tif,0.003268862,0.05708087
plancurv.tif,0.08764506,1.4051473
plancurv_10.tif,0.037677236,3.7410038
plancurv_100.tif,0.25107974,4.6848173
plancurv_20.tif,0.046105966,3.6403143
plancurv_200.tif,0.24072513,4.1287184
plancurv_50.tif,0.117212,3.1947443
procurv.tif,0.03894296,0.5844194
procurv_10.tif,0.051932316,1.7567407
procurv_100.tif,-0.36639106,1.9781566
procurv_20.tif,-0.04059865,1.5108914
procurv_200.tif,-0.24555807,1.2966117
procurv_50.tif,-0.11543206,1.0348058
slope.tif,6.4080334,4.670301
slope_10.tif,5.6452894,4.220883
slope_100.tif,2.814668,2.245584
slope_20.tif,5.0992193,3.829264
slope_200.tif,1.7958593,1.3322841
slope_50.tif,3.909055,3.0705967
stdslope_101x101.tif,3.3867738,1.72571
stdslope_11x11.tif,1.8730801,1.5738411
stdslope_201x201.tif,3.705334,1.6288476
stdslope_21x21.tif,2.3516846,1.7069854
stdslope_51x51.tif,2.9852989,1.7691681
stdslope_5x5.tif,1.3245575,1.2967917
