,mean,sd,min,max,nodata_count
dem.tif,745.28925,51.210907,608.79456,1016.6071,0.0
aerialr.tif,117.733215,36.422184,9.09367,255.0,0.0
aerialg.tif,118.28345,32.28631,13.217589,255.0,0.0
aerialb.tif,111.15827,23.767391,26.95123,255.0,0.0
aerialnir.tif,154.58447,38.465103,6.091705,255.0,0.0
ep_5x5.tif,47.30637,10.818173,0.0,95.49848,0.0
ep_11x11.tif,49.063232,11.290889,0.0,99.06993,0.0
ep_21x21.tif,49.472435,12.941795,0.0,99.74481,0.0
ep_51x51.tif,49.69772,17.003386,0.0,99.95673,0.0
ep_101x101.tif,49.814976,20.336462,0.0,99.98897,0.0
ep_201x201.tif,49.89276,22.82349,0.0,99.997215,0.0
plc.tif,0.08764539,1.4050446,-4.9405594,4.546936,0.0
plc_10.tif,0.037366312,3.7441795,-9.007188,7.3237677,0.0
plc_20.tif,0.0477752,3.6381724,-9.21961,7.4706197,0.0
plc_50.tif,0.118120186,3.190208,-8.234644,8.361153,0.0
plc_100.tif,0.2517098,4.681238,-10.261233,9.742305,0.0
plc_200.tif,0.23647772,4.1244354,-8.496333,8.4979725,0.0
prc.tif,0.038942754,0.5843684,-3.252429,3.1816404,0.0
prc_10.tif,0.049767714,1.752886,-5.1817293,4.9304557,0.0
prc_20.tif,-0.042951502,1.5042287,-4.219017,4.1916356,0.0
prc_50.tif,-0.11563641,1.0264869,-3.1941798,3.239056,0.0
prc_100.tif,-0.36501533,1.9644831,-4.305368,4.4785023,0.0
prc_200.tif,-0.24216677,1.283018,-3.1739426,3.2954934,0.0
s.tif,6.4080334,4.6702366,0.0,61.394478,0.0
s_10.tif,5.6320114,4.211027,0.0,51.0999,0.0
s_20.tif,5.078668,3.8161457,0.0,38.548336,0.0
s_50.tif,3.8792968,3.051413,0.007488727,23.5594,0.0
s_100.tif,2.7844727,2.2206695,0.0112906275,14.27011,0.0
s_200.tif,1.7709601,1.3104311,0.018912004,8.106253,0.0
sds_5x5.tif,1.3245554,1.2967083,0.0,29.734158,0.0
sds_11x11.tif,1.8730785,1.5738035,0.0,27.965832,0.0
sds_21x21.tif,2.351686,1.7069626,0.0,25.045784,0.0
sds_51x51.tif,2.985295,1.7691692,0.0,18.84827,0.0
sds_101x101.tif,3.3867705,1.7257116,0.0,15.670669,0.0
sds_201x201.tif,3.705329,1.6288531,0.71279716,12.539483,0.0
