path,mean,std
aerialb.tif,76.54948,16.48956
aerialg.tif,82.39802,21.020481
aerialnir.tif,150.30098,29.934643
aerialr.tif,69.39445,25.197832
dem.tif,745.1312,51.309677
ep_101x101.tif,49.81568,20.325603
ep_11x11.tif,49.069164,11.30981
ep_201x201.tif,49.889465,22.810753
ep_21x21.tif,49.477654,12.945154
ep_51x51.tif,49.70108,16.987928
ep_5x5.tif,47.311897,10.8469305
geology.tif,6.140447,1.5384715
logslope.tif,0.6959791,0.34565887
logslope_10.tif,0.6342677,0.3576772
logslope_100.tif,0.33755141,0.3424289
logslope_20.tif,0.59362566,0.34830597
logslope_200.tif,0.16972157,0.31444362
logslope_50.tif,0.47743997,0.34380558
logstdslope_101x101.tif,0.49155122,0.21146415
logstdslope_11x11.tif,0.18794334,0.30429977
logstdslope_201x201.tif,0.5406606,0.18680103
logstdslope_21x21.tif,0.29864135,0.2840734
logstdslope_51x51.tif,0.4230681,0.24245813
logstdslope_5x5.tif,0.03420061,0.31279713
nhd.tif,0.012736395,0.112134635
osm.tif,0.0032757167,0.0571399
plancurv.tif,0.09026267,1.4027145
plancurv_10.tif,0.044694133,3.7398648
plancurv_100.tif,0.24133591,4.6825275
plancurv_20.tif,0.05032342,3.6396592
plancurv_200.tif,0.22865716,4.127846
plancurv_50.tif,0.113589466,3.1950438
procurv.tif,0.038056985,0.58295
procurv_10.tif,0.04849994,1.7534698
procurv_100.tif,-0.36030725,1.9767153
procurv_20.tif,-0.04330756,1.5090358
procurv_200.tif,-0.23775904,1.2959036
procurv_50.tif,-0.11409669,1.0344205
