patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
hv_256_50_398,0.055869922,0.06312753,0.0,0.0,0.038535632,0.0,0.84246695
hv_256_50_480,0.0,0.05607557,0.0,0.0,0.23681709,0.0,0.70710737
hv_256_50_1306,0.0,0.5076207,0.0,0.0,0.0,0.0,0.4923793
hv_256_50_1962,0.0,0.10339251,0.0,0.0,0.28191862,0.1888758,0.42581293
hv_256_50_2327,0.0,0.0,0.0,0.0,0.11665246,0.0,0.8833475
hv_256_50_3014,0.0,0.0,0.0,0.0,0.14503406,0.15056202,0.70440394
256_50_121,0.0,0.21797255,0.0,0.0,0.0,0.0,0.7820274
256_50_508,0.0,0.01259263,0.0,0.0,0.43199867,0.0,0.55540866
256_50_791,0.009165425,0.13791427,0.0,0.0,0.7560254,0.08831228,0.008582696
256_50_798,0.03319953,0.0,0.0,0.0,0.4196813,0.43391442,0.11320479
256_50_1164,0.015620805,0.20782027,0.0,0.171884,0.04761725,0.5570576,0.0
256_50_1509,0.01989103,0.00465721,0.0,0.0,0.12932849,0.44409534,0.4020279
256_50_1895,0.0662771,0.09564784,0.0,0.0,0.03465134,0.0626006,0.7408231
256_50_3709,0.0,0.0,0.0,0.0,0.66685617,0.12433033,0.20881347
256_50_4414,0.0,0.0,0.00035412013,0.0,0.649795,0.0,0.3498509
256_50_4556,0.016344653,0.3528758,0.0211004,0.026352122,0.16997506,0.41335198,0.0
256_50_4962,0.0,0.20577507,0.0,0.07123442,0.09541714,0.6275734,0.0
256_50_5305,0.0,0.27393025,0.0,0.0,0.0,0.0,0.7260697
256_50_7152,1.0,0.0,0.0,0.0,0.0,0.0,0.0
256_50_7434,1.0,0.0,0.0,0.0,0.0,0.0,0.0
256_50_7549,0.050842714,0.023757892,0.0,0.0,0.0,0.0,0.9253994
256_50_7757,0.0,0.039316762,0.0,0.0,0.2909475,0.5199618,0.14977399
256_50_7795,0.0,0.7628242,0.0,0.0,0.04872542,0.1884504,0.0
256_50_8472,0.007217235,0.11321741,0.0,0.0,0.0,0.0,0.87956536
256_50_8964,0.0,0.055831693,0.0,0.0,0.0,0.0,0.94416827
256_50_8999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_9299,0.92501205,0.0,0.0,0.0,0.0,0.0,0.07498795
256_50_9451,0.0,0.6392984,0.0,0.115882024,0.0,0.0,0.24481961
256_50_9679,0.018170282,0.0,0.0,0.0,0.0,0.0,0.9818297
256_50_10175,0.0,0.14836398,0.001590038,0.0,0.29773182,0.5523142,0.0
256_50_10202,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_10290,0.0,0.23476304,0.0,0.0,0.0,0.0,0.765237
256_50_10691,0.019509075,0.0019800426,0.0,0.0,0.0,0.0,0.97851086
256_50_10698,0.11970155,0.45769778,0.0,0.0,0.0,0.0,0.42260066
256_50_10733,0.03918492,0.7801578,0.0,0.0,0.0027761364,0.17788115,0.0
256_50_10900,0.0,0.23135467,0.0051990263,0.0,0.27563533,0.041954618,0.4458563
256_50_11550,0.033353988,0.0,0.0,0.0,0.0,0.966646,0.0
256_50_11729,0.0,0.10876626,0.0,0.0,0.035669435,0.0,0.8555643
256_50_12567,0.0,0.043869838,0.0,0.0,0.7053061,0.042814866,0.20800918
256_50_12606,0.27598846,0.0,0.0,0.0,0.0,0.0,0.72401154
256_50_12705,0.0,0.008761697,0.0,0.0,0.7673992,0.0,0.22383913
256_50_12846,0.0,0.0,0.0,0.0,0.7438513,0.15201627,0.10413249
256_50_13077,0.03304795,0.86905235,0.0,0.0,0.0,0.0,0.09789971
256_50_13313,0.70928276,0.010453235,0.0,0.0,0.0015506593,0.0,0.27871335
256_50_14246,0.0,0.02612368,0.0,0.0,0.8033491,0.0007521723,0.1697751
256_50_14863,0.0,0.42035607,0.0,0.0,0.15272993,0.034178067,0.39273596
256_50_15656,0.000516486,0.024822177,0.0,0.0,0.05143259,0.061116956,0.8621118
256_50_16673,0.0,0.0,0.0,0.0,0.0,0.24430309,0.75569695
256_50_16865,0.46920002,0.0,0.0,0.0,0.0,0.0,0.5308
256_50_17585,0.0,0.1046738,0.0,0.0,0.09116426,0.021921214,0.78224075
256_50_18090,0.0,0.06505366,0.0,0.0,0.0,0.0,0.93494636
256_50_18888,0.053843044,0.0,0.0,0.0,0.0,0.0,0.9461569
256_50_19331,0.0025998035,0.18007638,0.0,0.0,0.26280284,0.14533244,0.40918857
256_50_19361,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_19460,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_19588,0.0,0.04404226,0.0,0.0,0.20416948,0.2512807,0.50050753
256_50_19692,0.19860396,0.0100038815,0.0,0.0,0.034867913,0.0,0.75652415
256_50_19736,0.0315973,0.033318195,0.0,0.0,0.010257877,0.0,0.9248266
256_50_20018,0.032119974,0.044823647,0.0,0.0,0.0026685994,0.0,0.9203878
256_50_20373,0.0,0.011171708,0.0,0.0,0.0070403274,0.0,0.98178804
256_50_20662,0.0,0.030091342,0.0,0.0,0.0,0.0,0.96990865
256_50_21499,0.0,0.00995462,0.0,0.0,0.0078052534,0.0,0.98224014
256_50_22286,0.041493885,0.103463165,0.0,0.0,0.0,0.1395831,0.71545976
256_50_22907,0.047209762,0.1798673,0.0,0.0,0.0,0.23390828,0.53901464
256_50_23163,0.0,0.028432336,0.0,0.0,0.0,0.0,0.97156763
256_50_23371,0.17612922,0.14706118,0.0,0.0,0.0,0.0,0.67680967
sonora_256_50_186,0.0,0.32468486,0.0,0.004292118,0.0,0.0,0.671023
sonora_256_50_1919,0.0,0.39475864,0.042720076,0.0,0.0,0.0,0.5625213
sonora_256_50_2029,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_2099,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_2346,0.0,0.42537192,0.0,0.406866,0.0,0.0,0.1677621
sonora_256_50_2390,0.037450157,0.5176853,0.0,0.27922723,0.0,0.0,0.16563731
sonora_256_50_2449,0.04840032,0.0,0.0,0.0,0.0,0.0,0.95159966
sonora_256_50_2950,0.07928941,0.038708873,0.0,0.0,0.0,0.0,0.8820017
sonora_256_50_3025,0.0,0.20491587,0.0,0.0,0.0,0.0,0.7950842
sonora_256_50_3635,0.0,0.17601751,0.0,0.0,0.0,0.0,0.8239825
