channel,mean,sd
aerialb.tif,75.710434,27.359236
aerialg.tif,83.56116,30.280418
aerialnir.tif,114.77287,37.25552
aerialr.tif,81.03959,36.22674
dem.tif,588.87286,89.57368
ep_101x101.tif,49.4374,19.857433
ep_11x11.tif,48.753597,11.973279
ep_201x201.tif,48.944397,21.98023
ep_21x21.tif,49.22122,13.552016
ep_51x51.tif,49.46148,16.95873
ep_5x5.tif,46.90951,10.5411005
geology.tif,5.5060115,2.1274
nhd.tif,0.0075424598,0.086519845
osm.tif,0.0057320846,0.075493805
plancurv.tif,0.07023363,1.276294
plancurv_10.tif,0.03798518,3.6379285
plancurv_100.tif,0.25285956,4.6001225
plancurv_20.tif,0.06510962,3.5411947
plancurv_200.tif,-0.03254633,4.0506296
plancurv_50.tif,0.099706315,3.1135688
procurv.tif,0.031192629,0.56890583
procurv_10.tif,0.065145664,1.69847
procurv_100.tif,-0.37450477,1.9244125
procurv_20.tif,-0.0006071855,1.4486017
procurv_200.tif,-0.3812891,1.2865266
procurv_50.tif,-0.082712114,0.99327254
slope.tif,5.4073834,4.8827987
slope_10.tif,4.7227755,4.5420547
slope_100.tif,2.592853,2.542302
slope_20.tif,4.3050957,4.139272
slope_200.tif,1.781504,1.6592834
slope_50.tif,3.4192195,3.3524497
stdslope_101x101.tif,3.5802038,2.4448855
stdslope_11x11.tif,1.8994482,2.231168
stdslope_201x201.tif,4.0095816,2.3012583
stdslope_21x21.tif,2.4021256,2.4479535
stdslope_51x51.tif,3.0917275,2.5217507
stdslope_5x5.tif,1.321164,1.754585
