patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
hv_256_50_398,1.0,1.0,0.0,0.0,1.0,0.0,1.0
hv_256_50_480,0.0,1.0,0.0,0.0,1.0,0.0,1.0
hv_256_50_1306,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hv_256_50_1962,0.0,1.0,0.0,0.0,1.0,1.0,1.0
hv_256_50_2327,0.0,0.0,0.0,0.0,1.0,0.0,1.0
hv_256_50_3014,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_121,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_508,0.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_791,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_798,1.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_1164,1.0,1.0,0.0,1.0,1.0,1.0,0.0
256_50_1509,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_1895,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_3709,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_4414,0.0,0.0,1.0,0.0,1.0,0.0,1.0
256_50_4556,1.0,1.0,1.0,1.0,1.0,1.0,0.0
256_50_4962,0.0,1.0,0.0,1.0,1.0,1.0,0.0
256_50_5305,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_7152,1.0,0.0,0.0,0.0,0.0,0.0,0.0
256_50_7434,1.0,0.0,0.0,0.0,0.0,0.0,0.0
256_50_7549,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_7757,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_7795,0.0,1.0,0.0,0.0,1.0,1.0,0.0
256_50_8472,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_8964,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_8999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_9299,1.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_9451,0.0,1.0,0.0,1.0,0.0,0.0,1.0
256_50_9679,1.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_10175,0.0,1.0,1.0,0.0,1.0,1.0,0.0
256_50_10202,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_10290,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_10691,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_10698,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_10733,1.0,1.0,0.0,0.0,1.0,1.0,0.0
256_50_10900,0.0,1.0,1.0,0.0,1.0,1.0,1.0
256_50_11550,1.0,0.0,0.0,0.0,0.0,1.0,0.0
256_50_11729,0.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_12567,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_12606,1.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_12705,0.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_12846,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_13077,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_13313,1.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_14246,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_14863,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_15656,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_16673,0.0,0.0,0.0,0.0,0.0,1.0,1.0
256_50_16865,1.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_17585,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_18090,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_18888,1.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_19331,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_19361,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_19460,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_19588,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_19692,1.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_19736,1.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_20018,1.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_20373,0.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_20662,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_21499,0.0,1.0,0.0,0.0,1.0,0.0,1.0
256_50_22286,1.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_22907,1.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_23163,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_23371,1.0,1.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_186,0.0,1.0,0.0,1.0,0.0,0.0,1.0
sonora_256_50_1919,0.0,1.0,1.0,0.0,0.0,0.0,1.0
sonora_256_50_2029,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_2099,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_2346,0.0,1.0,0.0,1.0,0.0,0.0,1.0
sonora_256_50_2390,1.0,1.0,0.0,1.0,0.0,0.0,1.0
sonora_256_50_2449,1.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_2950,1.0,1.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_3025,0.0,1.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_3635,0.0,1.0,0.0,0.0,0.0,0.0,1.0
