patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
hv_256_50_619,0.0,0.098471545,0.0,0.0,0.13109605,0.0108365435,0.7595959
hv_256_50_1406,0.0,0.038543295,0.0,0.0,0.008859188,0.25040463,0.7021929
256_50_185,0.0,0.040490944,0.0,0.2956411,0.029284753,0.0,0.63458323
256_50_524,0.0,0.040459987,0.003310968,0.0,0.6526556,0.23739785,0.06617558
256_50_769,0.0,0.10638409,0.0,0.04493624,0.7174102,0.043283436,0.087986045
256_50_3997,0.028353872,0.20046198,0.0,0.0624047,0.70877945,0.0,0.0
256_50_4024,0.0,0.0137479585,0.0,0.0,0.47447866,0.0,0.5117734
256_50_4170,0.0,0.043342326,0.0,0.0,0.16211036,0.41618994,0.37835738
256_50_6277,0.050386984,0.0033136508,0.0,0.0,0.09566365,0.4022884,0.4483473
256_50_6506,1.2752208e-05,0.0,0.0,0.0,0.045959014,0.0,0.95402825
256_50_7327,0.21125054,0.0,0.0,0.0,0.0,0.0,0.78874946
256_50_9341,0.0,0.0005669867,0.0,0.0,0.8729833,0.018916879,0.10753286
256_50_9468,0.0,0.6161519,0.111993186,0.0,0.26314655,0.0,0.008708333
256_50_9977,0.11522113,0.0956963,0.0,0.0,0.0606438,0.0,0.7284388
256_50_10852,0.0,0.0015550083,0.0,0.0,0.0,0.74615794,0.25228703
256_50_12082,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_13697,0.047633246,0.18206446,0.0,0.0046253223,0.1975282,0.0,0.56814873
256_50_14821,0.0,0.13234763,0.018321784,0.0,0.011399279,0.0,0.83793133
256_50_15789,0.009253063,0.09872015,0.0,0.0,0.0034877004,0.0,0.8885391
256_50_16692,0.0,0.08381631,0.0,0.0,0.58954525,0.0,0.3266384
256_50_17157,0.0,0.0,0.0,0.0,0.4942798,0.1621987,0.3435215
256_50_18130,0.0,0.019698888,0.0,0.0,0.11996516,0.04588755,0.8144484
256_50_19536,0.00155489,0.18567175,0.0,0.0,0.38454583,0.0,0.42822754
sonora_256_50_739,0.027635697,0.0,0.0,0.0,0.0,0.0,0.9723643
sonora_256_50_975,0.0,0.014346068,0.0,0.0,0.41429377,0.0,0.5713602
sonora_256_50_1919,0.0,0.39475864,0.042720076,0.0,0.0,0.0,0.5625213
sonora_256_50_2481,0.0029172811,0.19084781,0.0,0.19481152,0.0,0.0,0.6114234
sonora_256_50_3239,0.00081293454,0.36845636,0.0,0.0,0.0,0.0,0.6307307
