patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
hv_256_50_619,0,1,0,0,1,1,1
hv_256_50_1406,0,1,0,0,1,1,1
256_50_185,0,1,0,1,1,0,1
256_50_524,0,1,1,0,1,1,1
256_50_769,0,1,0,1,1,1,1
256_50_3997,1,1,0,1,1,0,0
256_50_4024,0,1,0,0,1,0,1
256_50_4170,0,1,0,0,1,1,1
256_50_6277,1,1,0,0,1,1,1
256_50_6506,1,0,0,0,1,0,1
256_50_7327,1,0,0,0,0,0,1
256_50_9341,0,1,0,0,1,1,1
256_50_9468,0,1,1,0,1,0,1
256_50_9977,1,1,0,0,1,0,1
256_50_10852,0,1,0,0,0,1,1
256_50_12082,0,0,0,0,0,0,1
256_50_13697,1,1,0,1,1,0,1
256_50_14821,0,1,1,0,1,0,1
256_50_15789,1,1,0,0,1,0,1
256_50_16692,0,1,0,0,1,0,1
256_50_17157,0,0,0,0,1,1,1
256_50_18130,0,1,0,0,1,1,1
256_50_19536,1,1,0,0,1,0,1
sonora_256_50_739,1,0,0,0,0,0,1
sonora_256_50_975,0,1,0,0,1,0,1
sonora_256_50_1919,0,1,1,0,0,0,1
sonora_256_50_2481,1,1,0,1,0,0,1
sonora_256_50_3239,1,1,0,0,0,0,1
