channel,mean,sd
aerialb.tif,71.80527,18.172462
aerialg.tif,79.88892,20.973068
aerialnir.tif,152.54523,25.098063
aerialr.tif,65.64237,25.99926
dem.tif,690.13446,28.907278
ep_101x101.tif,49.87949,22.7304
ep_11x11.tif,48.98175,11.874935
ep_201x201.tif,49.921413,23.815596
ep_21x21.tif,49.48113,14.271277
ep_51x51.tif,49.76632,19.375904
ep_5x5.tif,47.0806,10.2642355
geology.tif,6.217949,1.7838248
nhd.tif,0.010359731,0.10125492
osm.tif,0.003769871,0.061283898
plancurv.tif,-0.022168932,1.3895005
plancurv_10.tif,-0.25971973,3.8404503
plancurv_100.tif,0.2465237,4.6413245
plancurv_20.tif,-0.123695955,3.7486472
plancurv_200.tif,0.27019566,4.039884
plancurv_50.tif,0.07920778,3.2499363
procurv.tif,0.022163473,0.5150654
procurv_10.tif,0.04347207,1.5977072
procurv_100.tif,-0.17564641,1.3757012
procurv_20.tif,0.016509833,1.3044212
procurv_200.tif,-0.13895072,0.78222054
procurv_50.tif,-0.042064533,0.72149026
slope.tif,3.7844853,3.2202828
slope_10.tif,3.1457064,2.625048
slope_100.tif,1.1493714,0.8687887
slope_20.tif,2.6734915,2.1050715
slope_200.tif,0.7757247,0.5209825
slope_50.tif,1.7378027,1.3203855
stdslope_101x101.tif,2.5241513,1.6470455
stdslope_11x11.tif,1.4103827,1.6360326
stdslope_201x201.tif,2.7585988,1.4783036
stdslope_21x21.tif,1.7922841,1.7731826
stdslope_51x51.tif,2.2474124,1.7577499
stdslope_5x5.tif,0.9764538,1.3021188
