,mean,sd,min,max,nodata_count
dem.tif,690.134,28.92469,608.01,847.0168,0.0
aerialr.tif,65.63952,25.974972,0.0,255.0,0.0
aerialg.tif,79.88371,20.952814,8.384164,255.0,0.0
aerialb.tif,71.79989,18.155365,25.071379,255.0,0.0
aerialnir.tif,152.55301,25.082024,3.0,255.0,0.0
ep_5x5.tif,47.08059,10.264144,0.0,93.09906,0.0
ep_11x11.tif,48.98178,11.874546,0.0,98.57419,0.0
ep_21x21.tif,49.481167,14.270948,0.0,99.60879,0.0
ep_51x51.tif,49.766373,19.375765,0.0,99.93367,0.0
ep_101x101.tif,49.87945,22.730284,0.0,99.983086,0.0
ep_201x201.tif,49.921413,23.815357,0.0,99.99573,0.0
plc.tif,-0.022168951,1.3894886,-4.8183875,4.4996276,0.0
plc_10.tif,-0.2576579,3.8440976,-9.544323,7.0925784,0.0
plc_20.tif,-0.11928719,3.7471724,-9.127024,7.6175766,0.0
plc_50.tif,0.08091193,3.2448924,-8.035598,7.9638286,0.0
plc_100.tif,0.24663696,4.636409,-10.025103,10.477119,0.0
plc_200.tif,0.27043158,4.0340285,-8.644089,8.580756,0.0
prc.tif,0.022163467,0.5150617,-3.0060704,3.2664762,0.0
prc_10.tif,0.043000545,1.5930784,-5.0397444,4.8124037,0.0
prc_20.tif,0.015330755,1.2963572,-4.2263675,3.943178,0.0
prc_50.tif,-0.04239316,0.7120411,-2.586127,2.6420052,0.0
prc_100.tif,-0.17525418,1.3620261,-3.59873,4.0906515,0.0
prc_200.tif,-0.13812013,0.77213866,-2.3579404,2.6729007,0.0
s.tif,3.784484,3.2202654,0.0,49.439487,0.0
s_10.tif,3.1344078,2.6118894,0.0,39.42466,0.0
s_20.tif,2.6557574,2.0882804,2.4709545e-05,24.998516,0.0
s_50.tif,1.7184228,1.3065096,0.012177215,14.084482,0.0
s_100.tif,1.1367209,0.8583979,0.012780447,8.781062,0.0
s_200.tif,0.7675101,0.5132071,0.0064118095,4.3479695,0.0
sds_5x5.tif,0.9764535,1.302109,0.0,32.268616,0.0
sds_11x11.tif,1.4103802,1.6360258,0.0,29.4245,0.0
sds_21x21.tif,1.7922859,1.7731684,0.0,24.86732,0.0
sds_51x51.tif,2.2474103,1.7577454,0.0,17.695423,0.0
sds_101x101.tif,2.5241501,1.6470429,0.29499722,14.141113,0.0
sds_201x201.tif,2.7585948,1.4783081,0.44821808,11.848381,0.0
