channel,mean,sd
aerialb.tif,73.767845,27.384037
aerialg.tif,81.468346,31.373901
aerialnir.tif,104.47312,34.834267
aerialr.tif,81.63538,37.13697
dem.tif,579.34204,74.93977
ep_101x101.tif,49.867786,19.51686
ep_11x11.tif,48.972965,11.359075
ep_201x201.tif,49.945988,21.889463
ep_21x21.tif,49.446686,12.91103
ep_51x51.tif,49.734825,16.359482
ep_5x5.tif,47.133644,9.814428
geology.tif,5.7933345,1.9224696
nhd.tif,0.0060927523,0.077818505
osm.tif,0.0071763564,0.0844095
plancurv.tif,-23.15855,4820.0015
plancurv_10.tif,-23.178556,4820.003
plancurv_100.tif,-23.03602,4820.004
plancurv_20.tif,-23.173965,4820.003
plancurv_200.tif,-22.992687,4820.004
plancurv_50.tif,-23.156391,4820.0024
procurv.tif,-23.19798,4820.0015
procurv_10.tif,-23.13429,4820.002
procurv_100.tif,-23.371056,4820.001
procurv_20.tif,-23.183807,4820.002
procurv_200.tif,-23.360588,4820.0005
procurv_50.tif,-23.249954,4820.0015
slope.tif,5.488429,5.114686
slope_10.tif,4.8395834,4.765904
slope_100.tif,2.748283,2.8412123
slope_20.tif,4.4569993,4.394112
slope_200.tif,0.7878073,124.62147
slope_50.tif,3.5867863,3.64536
stdslope_101x101.tif,3.3339841,2.3364854
stdslope_11x11.tif,1.7801912,1.8887953
stdslope_201x201.tif,3.784455,2.2903488
stdslope_21x21.tif,2.234813,2.121533
stdslope_51x51.tif,2.8648326,2.3004732
stdslope_5x5.tif,1.2557548,1.4693129
