patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
224_50_1,0.110230304,0.76464665,0.0,0.0,0.0,0.0,0.12512305
224_50_2,0.053861767,0.8808641,0.0,0.0,0.0,0.0,0.06527413
224_50_3,0.0,0.79422784,0.0,0.0,0.0,0.0,0.20577216
224_50_4,0.0,0.31429642,0.0,0.0,0.0,0.0,0.6857035
224_50_5,0.05304226,0.15801391,0.0,0.0,0.0,0.0,0.7889439
224_50_6,0.053296834,0.23670153,0.0,0.0,0.0,0.0,0.71000165
224_50_7,0.050002635,0.30965093,0.0,0.0,0.0,0.0,0.64034647
224_50_8,0.14671761,0.35708165,0.0,0.0,0.0,0.0,0.49620074
224_50_9,0.09694244,0.22224441,0.0,0.0,0.0,0.0,0.6808132
224_50_10,0.0,0.15914154,0.0,0.0,0.0,0.0,0.84085846
224_50_11,0.084624775,0.07827652,0.0,0.0,0.0,0.0,0.83709866
224_50_12,0.14544496,0.0,0.0,0.0,0.0,0.0,0.854555
224_50_13,0.060701966,0.057299808,0.0,0.0,0.0,0.0,0.8819983
224_50_14,0.0,0.14239901,0.0,0.0,0.0,0.0,0.85760105
224_50_15,0.0,0.18166831,0.0,0.0,0.0,0.0,0.8183317
224_50_16,0.0,0.15662225,0.0,0.0,0.0,0.0,0.84337777
224_50_17,0.0,0.1879067,0.0,0.0,0.0,0.0,0.8120933
224_50_18,0.0,0.23928525,0.0,0.0,0.0,0.0,0.7607147
224_50_19,0.0,0.29022926,0.0,0.0,0.0,0.0,0.70977074
224_50_20,0.0,0.41317844,0.0,0.0,0.0,0.0,0.58682156
224_50_21,0.0,0.38116375,0.0,0.0,0.0,0.0,0.61883616
224_50_22,0.0,0.18784004,0.0,0.0,0.0,0.0,0.81215996
224_50_23,0.0,0.11791201,0.0,0.0,0.0,0.0,0.882088
224_50_24,0.0,0.21901181,0.0,0.0,0.0,0.0,0.7809882
224_50_25,0.0,0.19794285,0.0,0.0,0.0,0.0,0.8020571
224_50_26,0.0,0.059766196,0.0,0.0,0.0,0.0,0.94023377
224_50_27,0.0,0.06773804,0.0,0.0,0.0,0.0,0.93226194
224_50_28,0.0,0.26181352,0.0,0.0,0.0,0.0,0.7381865
224_50_29,0.0,0.35420278,0.0,0.0,0.0,0.0,0.64579725
224_50_30,0.0,0.20674713,0.0,0.0,0.0,0.0,0.7932529
224_50_31,0.0,0.115193605,0.0,0.0,0.0,0.0,0.88480645
224_50_32,0.0,0.06512887,0.0,0.0,0.0,0.0,0.93487114
224_50_33,0.0,0.0,0.0,0.0,0.0,0.0,1.0
224_50_34,0.0,0.06119297,0.0,0.0,0.0,0.0,0.938807
224_50_35,0.0,0.14623354,0.0,0.0,0.0,0.0,0.8537665
224_50_36,0.0,0.19874775,0.0,0.0,0.0,0.0,0.8012522
224_50_37,0.054543015,0.11421386,0.0,0.0,0.0,0.0,0.83124316
224_50_38,0.054852292,0.0,0.0,0.0,0.0,0.0,0.94514775
224_50_39,0.0,0.0,0.0,0.0,0.0,0.062534206,0.9374658
224_50_40,0.0,0.0,0.0,0.0,0.023155317,0.53472114,0.44212353
224_50_41,0.0,0.0,0.0,0.0,0.31953695,0.6638077,0.016655385
224_50_42,0.0,0.0,0.0,0.0,0.66255325,0.19768894,0.13975777
224_50_43,0.0,0.0,0.0,0.0,0.8034719,0.007441019,0.18908702
224_50_44,0.041337747,0.0,0.0,0.0,0.6391518,0.25743002,0.062080424
224_50_45,0.14477488,0.0,0.0,0.0,0.21076272,0.6326987,0.011763614
224_50_46,0.103806,0.0,0.0,0.0,0.009810555,0.70737016,0.17901324
224_50_47,0.0,0.12875684,0.0,0.0,0.0,0.6010434,0.27019978
224_50_48,0.0,0.2802092,0.0,0.0,0.0,0.26933762,0.45045313
224_50_49,0.0,0.27084425,0.0,0.0,0.0,0.0,0.7291558
224_50_50,0.0,0.32629707,0.0,0.0,0.0,0.0,0.67370296
224_50_51,0.0,0.44296166,0.0,0.0,0.0,0.0,0.5570383
224_50_52,0.0,0.3786655,0.0,0.0,0.0,0.0,0.6213345
224_50_53,0.0,0.37801346,0.0,0.0,0.0,0.024293732,0.59769285
224_50_54,0.0,0.41543233,0.0,0.0,0.0,0.31233284,0.27223486
224_50_55,0.0,0.2585474,0.0,0.0,0.0,0.70936364,0.032089014
224_50_56,0.0,0.079259105,0.0,0.0,0.043792035,0.8567596,0.020189244
224_50_57,0.0,0.0,0.0,0.0,0.17534105,0.46316156,0.36149737
224_50_58,0.0,0.0,0.0,0.0,0.1321103,0.08564073,0.782249
224_50_59,0.0,0.0,0.0,0.0,0.0,0.09103586,0.90896416
224_50_60,0.0,0.0,0.0,0.0,0.0,0.03134046,0.9686595
224_50_61,0.0,0.0,0.0,0.0,0.0,0.01096149,0.98903847
224_50_62,0.0,0.09362175,0.0,0.0,0.031053985,0.35782358,0.5175007
224_50_63,0.0,0.29449686,0.0,0.0,0.26463342,0.41379872,0.027070992
224_50_64,0.0,0.20857286,0.0,0.0,0.7212407,0.06514786,0.005038574
224_50_65,0.0,0.0070311795,0.0,0.0,0.82235706,0.0,0.1706118
