patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
224_50_1,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_2,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_3,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_4,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_6,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_7,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_8,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_9,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_11,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
224_50_13,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_14,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_15,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_16,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_17,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_18,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_19,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_20,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_21,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_22,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_23,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_24,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_25,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_26,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_27,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_28,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_29,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_30,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_31,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_32,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_33,0.0,0.0,0.0,0.0,0.0,0.0,1.0
224_50_34,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_35,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_36,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_37,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_38,1.0,0.0,0.0,0.0,0.0,0.0,1.0
224_50_39,0.0,0.0,0.0,0.0,0.0,1.0,1.0
224_50_40,0.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_41,0.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_42,0.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_43,0.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_44,1.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_45,1.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_46,1.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_47,0.0,1.0,0.0,0.0,0.0,1.0,1.0
224_50_48,0.0,1.0,0.0,0.0,0.0,1.0,1.0
224_50_49,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_50,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_51,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_52,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224_50_53,0.0,1.0,0.0,0.0,0.0,1.0,1.0
224_50_54,0.0,1.0,0.0,0.0,0.0,1.0,1.0
224_50_55,0.0,1.0,0.0,0.0,0.0,1.0,1.0
224_50_56,0.0,1.0,0.0,0.0,1.0,1.0,1.0
224_50_57,0.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_58,0.0,0.0,0.0,0.0,1.0,1.0,1.0
224_50_59,0.0,0.0,0.0,0.0,0.0,1.0,1.0
224_50_60,0.0,0.0,0.0,0.0,0.0,1.0,1.0
224_50_61,0.0,0.0,0.0,0.0,0.0,1.0,1.0
224_50_62,0.0,1.0,0.0,0.0,1.0,1.0,1.0
224_50_63,0.0,1.0,0.0,0.0,1.0,1.0,1.0
