,mean,sd,min,max,nodata_count
dem.tif,579.34235,74.93729,391.6347,959.29114,0.0
aerialr.tif,81.634705,37.10599,0.0,255.0,0.0
aerialg.tif,81.46226,31.347631,0.30153963,255.0,0.0
aerialb.tif,73.760925,27.35582,7.5630803,255.0,0.0
aerialnir.tif,104.472206,34.82136,0.0,255.0,0.0
ep_5x5.tif,47.133694,9.826933,0.0,92.10121,0.0
ep_11x11.tif,48.972965,11.36361,0.0,98.36802,0.0
ep_21x21.tif,49.446545,12.9133,0.0,99.55222,0.0
ep_51x51.tif,49.734894,16.359879,0.0,99.92408,0.0
ep_101x101.tif,49.867702,19.517092,0.0,99.980644,0.0
ep_201x201.tif,49.946014,21.889467,0.0,99.99512,0.0
plc.tif,0.074081264,1.2447557,-4.9614367,4.5726833,0.0
plc_10.tif,0.053837176,3.633376,-9.207001,7.871614,0.0
plc_20.tif,0.059002228,3.5344121,-9.664201,8.254777,0.0
plc_50.tif,0.076785415,3.111173,-9.4037895,8.572888,0.0
plc_100.tif,0.19781148,4.6134534,-10.006744,11.070809,0.0
plc_200.tif,0.2395824,4.0614467,-10.764938,10.580716,0.0
prc.tif,0.03464467,0.5444767,-3.3956504,3.3707154,0.0
prc_10.tif,0.09728925,1.6390607,-5.4635434,5.4962745,0.0
prc_20.tif,0.04761347,1.4036366,-4.6159816,4.752704,0.0
prc_50.tif,-0.018218117,0.9834677,-3.4406524,3.350446,0.0
prc_100.tif,-0.13914308,1.9357929,-4.7786117,4.7175756,0.0
prc_200.tif,-0.12703446,1.336518,-3.593531,3.6705606,0.0
s.tif,5.48841,5.1147475,0.0,67.804146,0.0
s_10.tif,4.8300443,4.756815,0.0,62.206036,0.0
s_20.tif,4.4425197,4.3813925,0.0,54.155807,0.0
s_50.tif,3.564227,3.6264145,4.6859604e-05,37.915768,0.0
s_100.tif,2.7247145,2.816531,0.0064106486,24.493776,0.0
s_200.tif,1.8961794,1.8623779,0.006199241,12.562847,0.0
sds_5x5.tif,1.2557572,1.4694237,0.0,35.805138,0.0
sds_11x11.tif,1.7802011,1.8888135,0.0,34.369987,0.0
sds_21x21.tif,2.2348132,2.1215324,0.0,32.383232,0.0
sds_51x51.tif,2.8648384,2.300463,0.0,27.244932,0.0
sds_101x101.tif,3.3339727,2.3364844,0.0,22.16888,0.0
sds_201x201.tif,3.7844496,2.290359,0.40076992,20.481316,0.0
