modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.8628839505276626,0.735304624432066,0.7991817768574171,0.7909196999166436,0.9014424993595866,0.8322199577294687,0.8692877323017094,0.8273200344463648
dem,0.8704518025825068,0.8370920344736591,0.8644375978584777,0.8962934148374548,0.961269833730022,0.9254478663446052,0.9278856902824544,0.8975540343013114
ep_5x5,0.8427955681787247,0.8232596672189681,0.8674175463407243,0.8976604612392332,0.9544025664036588,0.9199543746645196,0.9199588073089926,0.8893498559078317
ep_11x11,0.8682104842880867,0.8270797019367648,0.8344360826304359,0.8897582661850514,0.9496898024133832,0.9185768082393988,0.9196539271946288,0.8867721532696785
ep_21x21,0.8595410288286164,0.8215354457215791,0.8023637557452397,0.8678410669630453,0.95528981462789,0.904218246779388,0.908861171146146,0.8742357899731292
ep_51x51,0.8473707612315453,0.8118812414394782,0.8568614576493763,0.8875020839121979,0.939219255491863,0.9058977455716584,0.8904667375795229,0.8770284689822344
ep_101x101,0.8609511537798427,0.8317497302818532,0.8404464871963231,0.8895804390108364,0.9271387686758966,0.9101185084541062,0.91079885365077,0.8815405630070897
ep_201x201,0.8767529014636626,0.8338787533905501,0.845042678923178,0.907151986662962,0.9380792348289884,0.921742904589372,0.9229872831116744,0.8922336775671982
ep_ms,0.8523034763118973,0.8481913176786109,0.8112025859891914,0.8952375659905529,0.9440355035006436,0.9204177569779926,0.9153923807071864,0.8838257981651536
nhd,0.5486111993321415,0.654542663935677,0.6823829486337694,0.7817727146429563,0.6179972279854716,0.6302020430756844,0.6968272142765195,0.6589051445546029
osm,0.8070905510739272,0.5861347818828391,0.7023081973837062,0.5856460127813281,0.7079290812145971,0.6274794098899624,0.5572192223524549,0.6534010366541164
plancurv,0.4751268114298159,0.5057982669823701,0.6316733168341835,0.4684690191719922,0.488233358158188,0.4746114717525496,0.4757823562490261,0.5028135143683036
plancurv_10,0.343088663647995,0.4967759481423106,0.4043638567604425,0.5761656015559877,0.3182676436010402,0.3853139257917337,0.5958068821604483,0.44568321737999395
plancurv_20,0.4708801030824932,0.496073155100949,0.6093994646194252,0.5119033064740206,0.3287322529149412,0.437535644793344,0.5236722471019452,0.48259945344101685
plancurv_50,0.4655272542489768,0.5180446376801189,0.566846810444972,0.634281744929147,0.3865102644271141,0.2689735138217928,0.4242440666942187,0.4663468988923344
plancurv_100,0.4771957206246654,0.498957029994812,0.4146168998434264,0.4863684356765769,0.4858082695606001,0.4897080901100376,0.5064160326289474,0.4798672112055808
plancurv_200,0.5249312632142501,0.4892741036471638,0.6683670892469317,0.4374492914698527,0.5215577568057707,0.4818127683843263,0.5352915670160368,0.5226691199691903
plancurv_ms,0.5128063664328557,0.5058207060960789,0.4635082579928279,0.5336593498193942,0.5111270766782648,0.4987398517176596,0.5049763209777844,0.5043768471021236
procurv,0.4825077357240728,0.5073357950537013,0.3753219859588868,0.5337482634065018,0.4398995356790841,0.4709998154857756,0.503441757735486,0.47332212700621545
procurv_10,0.5486847000535375,0.5431423375812072,0.3373907773119855,0.4693637121422617,0.5893058597401364,0.5570515884997316,0.4948543011809023,0.5056847537871089
procurv_20,0.4752030344001524,0.4958236321565065,0.2994848224657811,0.4784328980272297,0.481393234180941,0.5023420725979603,0.4810466195570431,0.45910375905508766
procurv_50,0.5144143081404318,0.4963917905156149,0.4078236274559321,0.666046123923312,0.3775546556781342,0.6266753052871712,0.6945677138734003,0.5404962178391424
procurv_100,0.5555710824569204,0.562774766947365,0.6230617707965048,0.507252014448458,0.3926429648680239,0.6474467844202899,0.5206607090833949,0.5442014418601367
procurv_200,0.5464279556817873,0.4894132261521587,0.2943330471235921,0.2655126424006668,0.495873362704699,0.5851166213768116,0.246597199168016,0.4176105792296759
