modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.6993464052287581,0.7741648106904232,0.054054054054054,0.1517241379310344,0.8208469055374593,0.6425925925925926,0.964467005076142,0.5867422730157805
dem,0.739374498797113,0.8045619491964748,0.091743119266055,0.3333333333333333,0.8879946344735077,0.7526205450733753,0.964470507071404,0.6534426553158947
ep_5x5,0.6996078431372549,0.7921686746987951,0.16,0.3187250996015936,0.8780804150453956,0.7570754716981132,0.9647302904564315,0.6529125420910834
ep_11x11,0.7279480037140205,0.8010443864229765,0.0851063829787234,0.3269230769230769,0.868421052631579,0.7619047619047619,0.963116166839021,0.6477805473448799
ep_21x21,0.7236514522821577,0.8021235521235521,0.1269841269841269,0.3389830508474576,0.8751696065128901,0.7425287356321839,0.9615517838586768,0.6529989011772922
ep_51x51,0.7075555555555556,0.7975891511803114,0.0824742268041237,0.2933333333333333,0.8487446417636252,0.7101879327398615,0.9618687736173136,0.6288219449991604
ep_101x101,0.7372881355932204,0.8093070308548306,0.1081081081081081,0.3055555555555556,0.8353253652058433,0.7263581488933601,0.966206896551724,0.641164177251806
ep_201x201,0.7528384279475983,0.8103975535168195,0.05,0.329004329004329,0.8476641841570751,0.7609195402298851,0.9593837535014006,0.6443153983367297
ep_ms,0.7013452914798206,0.8175182481751825,0.0555555555555555,0.351063829787234,0.850253807106599,0.7620137299771167,0.9691569568197396,0.6438439169858926
nhd,0.5437171524128046,0.7630942788074134,0.032258064516129,0.1726618705035971,0.6617714547957779,0.4712571067593177,0.9572941578407926,0.5145791550908332
osm,0.6743869209809265,0.7719298245614035,0.0306643952299829,0.1033707865168539,0.7049019607843138,0.4566067240031274,0.9653081845739306,0.5295955423786484
plancurv,0.540952380952381,0.7632850241545893,0.0172413793103448,0.0678851174934725,0.6510393631136665,0.4390243902439024,0.9646107178968656,0.49200548188074594
plancurv_10,0.5413891531874405,0.7646346386758175,0.0123456790123456,0.088,0.6544021024967148,0.4358452138492871,0.9649595687331536,0.494510907993537
