modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.787109375,0.5696614583333334,0.6178385416666666,0.7825520833333334,0.7154947916666666,0.53125,0.939453125,0.7061941964285714
dem,0.7330729166666666,0.634765625,0.9811197916666666,0.9459635416666666,0.8984375,0.7682291666666666,0.9837239583333334,0.8493303571428571
ep_5x5,0.708984375,0.6484375,0.99609375,0.8893229166666666,0.7044270833333334,0.8274739583333334,0.9837239583333334,0.8226376488095237
ep_11x11,0.787109375,0.5833333333333334,0.99609375,0.931640625,0.6953125,0.828125,0.9837239583333334,0.8293340773809524
ep_21x21,0.7819010416666666,0.5631510416666666,0.99609375,0.9342447916666666,0.703125,0.814453125,0.9830729166666666,0.8251488095238095
ep_51x51,0.7994791666666666,0.625,0.9915364583333334,0.92578125,0.6256510416666666,0.7858072916666666,0.9817708333333334,0.8192894345238094
ep_101x101,0.814453125,0.58984375,0.9622395833333334,0.919921875,0.8125,0.8522135416666666,0.9811197916666666,0.8474702380952382
ep_201x201,0.8313802083333334,0.6529947916666666,0.9954427083333334,0.9016927083333334,0.7526041666666666,0.8489583333333334,0.97265625,0.8508184523809524
ep_ms,0.7779947916666666,0.6197916666666666,0.9947916666666666,0.9186197916666666,0.6901041666666666,0.828125,0.9830729166666666,0.8303571428571429
nhd,0.2923177083333333,0.5494791666666666,0.9694010416666666,0.9225260416666666,0.3548177083333333,0.3821614583333333,0.96484375,0.6336495535714286
osm,0.7376302083333334,0.548828125,0.501953125,0.3346354166666667,0.3294270833333333,0.3997395833333333,0.9837239583333334,0.5479910714285715
plancurv,0.2819010416666667,0.5494791666666666,0.9108072916666666,0.4856770833333333,0.3053385416666667,0.162109375,0.9830729166666666,0.5254836309523809
plancurv_10,0.2825520833333333,0.5501302083333334,0.408203125,0.5091145833333334,0.296875,0.162109375,0.9837239583333334,0.4561011904761905
plancurv_20,0.287109375,0.5501302083333334,0.9921875,0.8294270833333334,0.296875,0.162109375,0.98046875,0.5854724702380952
plancurv_50,0.2994791666666667,0.5494791666666666,0.9192708333333334,0.83984375,0.2962239583333333,0.1614583333333333,0.9798177083333334,0.5779389880952381
plancurv_100,0.3255208333333333,0.5494791666666666,0.435546875,0.080078125,0.30078125,0.162109375,0.982421875,0.40513392857142855
plancurv_200,0.291015625,0.5501302083333334,0.81640625,0.7565104166666666,0.296875,0.1712239583333333,0.9817708333333334,0.5519903273809524
plancurv_ms,0.2845052083333333,0.55078125,0.9055989583333334,0.0553385416666666,0.296875,0.2493489583333333,0.982421875,0.4749813988095238
procurv,0.287109375,0.5494791666666666,0.9817708333333334,0.283203125,0.296875,0.1627604166666666,0.9830729166666666,0.5063244047619048
procurv_10,0.3697916666666667,0.5494791666666666,0.6796875,0.71484375,0.296875,0.162109375,0.9830729166666666,0.5365513392857142
procurv_20,0.2838541666666667,0.5533854166666666,0.978515625,0.75390625,0.2962239583333333,0.162109375,0.9830729166666666,0.5730096726190476
procurv_50,0.30859375,0.5501302083333334,0.703125,0.7819010416666666,0.296875,0.162109375,0.9817708333333334,0.5406436011904762
procurv_100,0.3268229166666667,0.5501302083333334,0.1940104166666666,0.9069010416666666,0.296875,0.7259114583333334,0.9837239583333334,0.5691964285714286
procurv_200,0.2994791666666667,0.5501302083333334,0.0052083333333333,0.05078125,0.296875,0.69140625,0.9837239583333334,0.4110863095238095
procurv_ms,0.2838541666666667,0.5514322916666666,0.7845052083333334,0.90625,0.2962239583333333,0.51953125,0.9837239583333334,0.6179315476190476
logslope,0.2825520833333333,0.5514322916666666,0.9856770833333334,0.7272135416666666,0.4231770833333333,0.6458333333333334,0.9837239583333334,0.6570870535714286
logslope_10,0.3346354166666667,0.5501302083333334,0.109375,0.794921875,0.4934895833333333,0.5625,0.982421875,0.5467819940476191
logslope_20,0.2838541666666667,0.5475260416666666,0.970703125,0.6197916666666666,0.5299479166666666,0.162109375,0.9837239583333334,0.5853794642857143
logslope_50,0.3802083333333333,0.5501302083333334,0.00390625,0.875,0.296875,0.162109375,0.9830729166666666,0.4644717261904762
logslope_100,0.3040364583333333,0.5501302083333334,0.00390625,0.06640625,0.296875,0.162109375,0.9830729166666666,0.3380766369047619
logslope_200,0.2936197916666667,0.5501302083333334,0.9153645833333334,0.0690104166666666,0.2962239583333333,0.51953125,0.9817708333333334,0.5179501488095238
logslope_ms,0.283203125,0.5494791666666666,0.9069010416666666,0.6106770833333334,0.470703125,0.6751302083333334,0.9837239583333334,0.6399739583333333
slope,0.81640625,0.6171875,0.9915364583333334,0.89453125,0.8919270833333334,0.861328125,0.9830729166666666,0.8651413690476192
slope_10,0.7630208333333334,0.5963541666666666,0.94921875,0.904296875,0.8958333333333334,0.8528645833333334,0.9791666666666666,0.8486793154761905
slope_20,0.6334635416666666,0.6256510416666666,0.9947916666666666,0.87890625,0.900390625,0.8743489583333334,0.9830729166666666,0.8415178571428571
slope_50,0.404296875,0.5768229166666666,0.9954427083333334,0.8977864583333334,0.888671875,0.8873697916666666,0.9798177083333334,0.8043154761904762
slope_100,0.3131510416666667,0.5618489583333334,0.96875,0.9114583333333334,0.8893229166666666,0.9055989583333334,0.9837239583333334,0.7905505952380951
slope_200,0.314453125,0.5709635416666666,0.994140625,0.9016927083333334,0.86328125,0.896484375,0.9830729166666666,0.789155505952381
slope_ms,0.8235677083333334,0.6549479166666666,0.9928385416666666,0.916015625,0.8958333333333334,0.8938802083333334,0.98046875,0.8796502976190476
logstdslope_5x5,0.8059895833333334,0.59375,0.955078125,0.880859375,0.8424479166666666,0.8483072916666666,0.982421875,0.8441220238095238
logstdslope_11x11,0.7877604166666666,0.5716145833333334,0.990234375,0.9244791666666666,0.8541666666666666,0.814453125,0.9680989583333334,0.8444010416666666
logstdslope_21x21,0.794921875,0.5924479166666666,0.9088541666666666,0.859375,0.84765625,0.7526041666666666,0.978515625,0.8191964285714286
logstdslope_51x51,0.7200520833333334,0.5625,0.9680989583333334,0.8828125,0.8567708333333334,0.7369791666666666,0.9752604166666666,0.814639136904762
logstdslope_101x101,0.720703125,0.5520833333333334,0.9752604166666666,0.888671875,0.873046875,0.8053385416666666,0.982421875,0.828218005952381
logstdslope_201x201,0.537109375,0.55078125,0.9915364583333334,0.9342447916666666,0.8548177083333334,0.8294270833333334,0.978515625,0.8109188988095238
logstdslope_ms,0.8170572916666666,0.5540364583333334,0.9765625,0.9029947916666666,0.8880208333333334,0.8268229166666666,0.9817708333333334,0.849609375
stdslope_5x5,0.8307291666666666,0.5579427083333334,0.9733072916666666,0.9296875,0.806640625,0.8040364583333334,0.9837239583333334,0.8408668154761904
stdslope_11x11,0.76171875,0.5501302083333334,0.9921875,0.9244791666666666,0.8880208333333334,0.826171875,0.982421875,0.8464471726190476
stdslope_21x21,0.7923177083333334,0.6022135416666666,0.9889322916666666,0.892578125,0.8359375,0.7877604166666666,0.9752604166666666,0.8392857142857143
stdslope_51x51,0.6966145833333334,0.5703125,0.9947916666666666,0.8899739583333334,0.7701822916666666,0.7975260416666666,0.978515625,0.8139880952380952
stdslope_101x101,0.755859375,0.54296875,0.9928385416666666,0.9134114583333334,0.837890625,0.8138020833333334,0.9837239583333334,0.8343563988095237
stdslope_201x201,0.6204427083333334,0.5533854166666666,0.9817708333333334,0.7799479166666666,0.8587239583333334,0.8170572916666666,0.9772135416666666,0.7983630952380952
stdslope_ms,0.798828125,0.576171875,0.8795572916666666,0.8971354166666666,0.8522135416666666,0.8151041666666666,0.9765625,0.8279389880952381
