modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.8086034639356072,0.6320759725635603,0.3294117647058823,0.6907595488815501,0.8826886371020144,0.8257271510283558,0.7209000661813368,0.6985952291997581
dem,0.7574138453025986,0.7049366752583941,0.5477124183006536,0.540452008580864,0.962315220922677,0.7255221351606893,0.5954202514890801,0.6905389364307082
ep_5x5,0.8543017319678036,0.7122873119310835,0.8786492374727668,0.8348272700568794,0.3991370207927225,0.5134477303152003,0.5218001323626738,0.6734929192713042
ep_11x11,0.7883115662877008,0.6321564664879815,0.762962962962963,0.7936765085497094,0.4624147173489278,0.5638435638435639,0.6321376571806749,0.6622147775230746
ep_21x21,0.7661686867737794,0.6490567653430839,0.879847494553377,0.8093784214414783,0.3286529402209227,0.6756318202101335,0.5476108537392455,0.6651924260402886
ep_51x51,0.7762974098781672,0.6998878222968171,0.8263616557734206,0.8153957077877572,0.3789534600389864,0.516552612938155,0.7077432164129714,0.6744559835894679
ep_101x101,0.862822721246098,0.7057827177831631,0.7119825708061003,0.6257443721460171,0.8343770305393112,0.9001912857334543,0.8405823957643944,0.7830690134312198
ep_201x201,0.8745007151283578,0.7926716276042782,0.814161220043573,0.7604212100442395,0.7331993177387914,0.8696042912910381,0.7636267372600926,0.8011693027300529
ep_ms,0.7686721580172675,0.656215586706514,0.6495642701525055,0.8324684225986488,0.3065017868745938,0.3491276684047768,0.420727994705493,0.5690396982085428
nhd,0.5564763485650454,0.6422438965909967,0.6302832244008715,0.7217895195962365,0.4848663905133204,0.4935515176479031,0.5041958967571145,0.5762009705816412
osm,0.8327267792080345,0.5184562292878,0.4794662309368191,0.5721228736992958,0.6241644330734243,0.585622989237447,0.4960291197882198,0.5869412364615771
plancurv,0.4756136010105755,0.494439068668168,0.4601307189542484,0.4667224482166223,0.4893518518518518,0.4912033526491357,0.526631369953673,0.4862989159006107
plancurv_10,0.4357856494096276,0.5230520898449207,0.4280501089324618,0.5949458355215723,0.414626989928525,0.3949332684272443,0.4814824619457313,0.4675537720014405
plancurv_20,0.4699959284662846,0.4562310004367223,0.5046840958605664,0.5314794869284245,0.3722445581546458,0.409090909090909,0.5158305757776307,0.46565093638788335
plancurv_50,0.5324156722728554,0.5124662824651692,0.4710239651416122,0.5148963442315053,0.3689550844704353,0.2746151661814312,0.5130641958967571,0.4553481015228237
plancurv_100,0.4999321411047428,0.5018256707113437,0.6891612200435729,0.4909117613024398,0.5030569769330734,0.5022639119024661,0.4586631369953673,0.5208306884275723
plancurv_200,0.483823483353691,0.5048818708843199,0.5936819172113289,0.4799987538164372,0.5286620776478232,0.4787791414297438,0.4697286565188616,0.505650842980315
plancurv_ms,0.4902972219612264,0.5354481542058075,0.6269063180827887,0.5446133715496292,0.4597130847953217,0.4719577611143877,0.6280211780277962,0.5367081556767082
procurv,0.4569357010867863,0.475156492177532,0.6688997821350763,0.5456103183999003,0.4444139863547758,0.4162945488246693,0.5015883520847121,0.5012713115804931
procurv_10,0.5176495766648919,0.498614476917939,0.6068082788671024,0.5330283150708099,0.6054428606237816,0.556071995831032,0.4135936465916611,0.5330298786524598
procurv_20,0.486305030954096,0.5097568912218806,0.5564270152505446,0.5214833144922247,0.4921275990903184,0.492083329432727,0.614824619457313,0.5247153999855863
procurv_50,0.5082683453913371,0.5659579205165312,0.6250544662309367,0.5552548890451563,0.3590541747888239,0.4576690600786986,0.4565453342157511,0.5039720271810336
procurv_100,0.5245993715222316,0.5385505955694089,0.7726579520697168,0.3951336531871144,0.4393843404808317,0.7104330297101381,0.5558438120450032,0.562371822083492
procurv_200,0.5335076784949941,0.5076392159549235,0.225599128540305,0.4577677291865091,0.4557037849252761,0.630448756954781,0.2989278623428193,0.4442277366285154
procurv_ms,0.4995500433252947,0.4711249454097055,0.5839869281045751,0.4953935714730779,0.4661590318388564,0.5326699182120869,0.49114493712773,0.5057184822130466
logslope,0.4372827210373015,0.5826467087404413,0.5005446623093681,0.4349759219533037,0.7107080490578297,0.6997282057523022,0.6594837855724685,0.5750528649175736
logslope_10,0.5177497990332718,0.4764050043244077,0.4411764705882353,0.4767586765530562,0.7288032001299545,0.6804108430614455,0.5727465254798147,0.5562929313100266
logslope_20,0.4840792591896603,0.4874086950564742,0.1705337690631808,0.5104723925834276,0.8059860298895386,0.4212311561709151,0.534692256783587,0.4877719369623977
logslope_50,0.5540918913840083,0.4819445276976168,0.3996732026143791,0.6455052829281753,0.2238872644574399,0.186186860885656,0.3707346128391793,0.408860520400922
logslope_100,0.5517867769112719,0.4384906532852653,0.4326797385620914,0.6748306525551213,0.107884584145549,0.5676006278415917,0.263282594308405,0.4337936610870422
logslope_200,0.5290644868301544,0.4809383536423501,0.5663398692810457,0.5750558557275487,0.4741065627030539,0.514193526241719,0.414559894109861,0.5077512212193904
logslope_ms,0.4926555795671646,0.473956790176316,0.3590958605664488,0.413759646795973,0.7387985298895388,0.7579424145689206,0.6284182660489742,0.5520895839447623
slope,0.8539613935085135,0.7406622766079518,0.7347494553376906,0.7629936889703853,0.9750487329434696,0.9198690644473776,0.8069887491727333,0.8277533372840173
slope_10,0.8212617578585821,0.7321504722595672,0.7119825708061003,0.7380967216470986,0.9765229044834308,0.931087208195642,0.764447385837194,0.8107927172982307
slope_20,0.6882833787465941,0.7266374947550501,0.8096949891067539,0.7244421103228507,0.9720090155945418,0.9357429718875502,0.8097683653209795,0.8095111893906173
slope_50,0.6018520258490192,0.5998681269748842,0.6649237472766885,0.7254301558619585,0.9749431448992854,0.944024739205462,0.791740569159497,0.7575403584609707
slope_100,0.6094710138118951,0.565355072401716,0.6922657952069717,0.4328974657967118,0.9646868908382066,0.9476663452567068,0.6803441429516877,0.6989552466091279
slope_200,0.5377452055080543,0.5869274441466359,0.7269063180827886,0.3791780529271962,0.9379101689408706,0.9595897186258632,0.7474255459960292,0.696526064889634
slope_ms,0.8711954649378308,0.7054436157185795,0.6965141612200435,0.7051796729658278,0.9782975958414556,0.9476944296221405,0.8519126406353409,0.8223196544201741
logstdslope_5x5,0.8574357689456816,0.725505441903082,0.5942265795206971,0.7095413154357637,0.9586297920727744,0.9115436103387912,0.7060489741892786,0.780418783200867
logstdslope_11x11,0.8544082182342071,0.6638505210697129,0.594553376906318,0.637859056639043,0.9695886127355424,0.8824482077494125,0.7544142951687625,0.7653031840718568
logstdslope_21x21,0.8505225134934804,0.687224586612319,0.5747276688453159,0.6761435959516836,0.972918697205978,0.8691018931982788,0.786234281932495,0.7738390338913644
logstdslope_51x51,0.8156722728553979,0.5923256749929353,0.521677559912854,0.6355447157366281,0.9680393112410658,0.886008681189404,0.6855857048312376,0.7292648458227889
logstdslope_101x101,0.7995844947644252,0.6135880594969986,0.5315904139433552,0.7836981387358357,0.9645244476933073,0.8978821267977896,0.6509861019192588,0.7488362547644243
logstdslope_201x201,0.7408103396076712,0.557665333664443,0.5798474945533769,0.6931094950286177,0.9611963937621832,0.8961596190511852,0.756320317670417,0.7407298561911277
logstdslope_ms,0.8695230041654923,0.6607198212007296,0.7135076252723311,0.6578068949556269,0.9703784925276152,0.8831503168852566,0.7877432164129716,0.7918327673457177
stdslope_5x5,0.865430590789982,0.6824403360193185,0.5327886710239651,0.6185254087927152,0.9492974333983106,0.8923495068073382,0.8016942422236929,0.7632180270079031
stdslope_11x11,0.8616576362136823,0.5997842077770832,0.6886710239651416,0.7193238564040484,0.9655579922027292,0.8865110792821637,0.7436399735274652,0.7807351099103305
stdslope_21x21,0.8419075657448298,0.6782212555339573,0.5979302832244009,0.623812787623617,0.9711440058479532,0.8959380646127635,0.7758041032428855,0.7692511522614867
stdslope_51x51,0.7362857172685229,0.6236480874129766,0.6282135076252724,0.7024647730610719,0.952921946068876,0.8517301529349722,0.7311714096624752,0.7466336562905953
stdslope_101x101,0.8098238800672325,0.5357452966714906,0.626797385620915,0.7363876699037768,0.9753756497725796,0.8632884295534897,0.6553540701522172,0.7432531973916715
stdslope_201x201,0.738885234948375,0.5655777151713921,0.3473856209150326,0.6834070658608014,0.9659498862897984,0.8941250627997616,0.8076770350761084,0.7147153744373241
stdslope_ms,0.8617536826500465,0.6386079688985177,0.6660130718954248,0.7209349937245756,0.9693500243664718,0.8892477446694314,0.8140569159497022,0.7942806288791672
