modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.6402640264026402,0.7119825708061002,0.0067681895093062,0.200956937799043,0.6550907655880032,0.4009983361064891,0.9686763219939374,0.5121053068865028
dem,0.5924453280318092,0.706436420722135,0.0,0.0,0.8417849898580122,0.4780058651026393,0.9917952084017068,0.5157811160166147
ep_5x5,0.628428927680798,0.6935300794551645,0.0,0.3307086614173228,0.0502092050209205,0.0,0.9917898193760264,0.384952384707176
ep_11x11,0.5082706766917293,0.5252225519287834,0.0,0.4198895027624309,0.048780487804878,0.0,0.9917952084017068,0.3562797753699326
ep_21x21,0.5288326300984529,0.6914942528735633,0.0,0.3803680981595092,0.073170731707317,0.0069686411149825,0.9914642153644124,0.3817569384740339
ep_51x51,0.5402985074626866,0.6778523489932886,0.0,0.2191780821917808,0.1274658573596358,0.0294985250737463,0.990801576872536,0.3692992711362391
ep_101x101,0.7052740434332989,0.7045028142589118,0.0,0.1021897810218978,0.6651162790697674,0.6146010186757216,0.9904699309891556,0.5403076953498219
ep_201x201,0.7144432194046306,0.7388535031847133,0.0,0.304147465437788,0.4973544973544973,0.546875,0.986138613861386,0.5411160427490022
ep_ms,0.5021897810218978,0.5869872701555869,0.0,0.4019138755980861,0.081081081081081,0.0,0.9914642153644124,0.3662337461744377
nhd,0.4417051874678993,0.7089991589571069,0.0,0.1438848920863309,0.4680622651637144,0.2923191648023863,0.982083609820836,0.4338648968997534
osm,0.6486486486486487,0.7084560370214557,0.0077821011673151,0.1066433566433566,0.4690721649484536,0.3088455772113943,0.9917952084017068,0.46303472772033294
plancurv,0.4392475851550584,0.7092436974789916,0.0,0.0835266821345707,0.4597468354430379,0.2789915966386554,0.9914642153644124,0.42317437317353235
plancurv_10,0.4406091370558375,0.7090526315789474,0.0065573770491803,0.1129411764705882,0.4578313253012048,0.2789915966386554,0.9917952084017068,0.42825406464230287
plancurv_20,0.4346928239545689,0.7097858042839144,0.0,0.1027397260273972,0.4578313253012048,0.2789915966386554,0.990138067061144,0.4248827633238407
plancurv_50,0.4401664932362122,0.7085088458298231,0.0,0.0681818181818181,0.4570567553992968,0.2780269058295964,0.9898059848733968,0.4202495433357348
plancurv_100,0.4387865655471289,0.7085088458298231,0.0136518771331058,0.0959692898272552,0.4575757575757576,0.2789915966386554,0.9911330049261085,0.4263738482111192
plancurv_200,0.4336973478939157,0.7097858042839144,0.0139860139860139,0.1009615384615384,0.4578313253012048,0.2803843979649519,0.990801576872536,0.42677828639486787
plancurv_ms,0.4418486541391569,0.7100840336134454,0.0,0.0959501557632398,0.4578313253012048,0.2762084118016321,0.9911330049261085,0.4247222265063982
procurv,0.4404701073071027,0.7092436974789916,0.0666666666666666,0.1070559610705596,0.4578313253012048,0.2791479820627802,0.9914642153644124,0.43598285075024545
procurv_10,0.4217443249701314,0.7089991589571069,0.0120481927710843,0.1024590163934426,0.4578313253012048,0.2789915966386554,0.9914586070959264,0.4247903174467931
procurv_20,0.4416243654822335,0.7095681625740897,0.0,0.0597014925373134,0.4570567553992968,0.2789915966386554,0.9914642153644124,0.4197723697137144
procurv_50,0.446875,0.7097858042839144,0.0043668122270742,0.0509915014164305,0.4578313253012048,0.2789915966386554,0.990801576872536,0.4199490881056879
procurv_100,0.4410810810810811,0.7097858042839144,0.0096,0.0,0.457286432160804,0.4379172229639519,0.9917952084017068,0.43535224984163684
procurv_200,0.4447884416924664,0.7097858042839144,0.0077922077922077,0.0955334987593052,0.4578313253012048,0.3267045454545454,0.9917952084017068,0.43346157595505014
procurv_ms,0.4416243654822335,0.7089142374313477,0.0119402985074626,0.0136986301369863,0.4570567553992968,0.2605210420841683,0.9917952084017068,0.4122215053490289
logslope,0.4400406504065041,0.7098947368421052,0.0,0.0498866213151927,0.4983012457531144,0.3804100227790433,0.9917898193760264,0.4386175852102837
logslope_10,0.4199772985244041,0.7095418242959226,0.0072568940493468,0.0816326530612244,0.5238678090575275,0.3550863723608445,0.9911330049261085,0.44121369375362546
logslope_20,0.4393476044852191,0.7076146403029028,0.0,0.093167701863354,0.5504358655043586,0.2789915966386554,0.9917952084017068,0.43733608817088526
logslope_50,0.4471544715447154,0.7097858042839144,0.0077821011673151,0.0857142857142857,0.4578313253012048,0.2789915966386554,0.9914642153644124,0.4255319714306433
logslope_100,0.4469736161407139,0.7097858042839144,0.0077821011673151,0.096977329974811,0.4578313253012048,0.2789915966386554,0.9914642153644124,0.42711514126728956
