modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.6139240506329114,0.5634482758620689,0.0034188034188034,0.1231671554252199,0.5117139334155364,0.2528856243441763,0.9862825788751716,0.43640577456769825
dem,0.521891418563923,0.6332082551594747,0.0,0.0,0.7830188679245284,0.3764434180138568,0.9837239583333334,0.4711837025707309
ep_5x5,0.4921875,0.6663031624863686,0.0,0.2372881355932203,0.5454545454545454,0.0,0.984354628422425,0.41794113885093703
ep_11x11,0.7347826086956522,0.7037773359840954,0.0,0.3653846153846153,0.3333333333333333,0.0,0.9837239583333334,0.4458574073901471
ep_21x21,0.6811594202898551,0.5654135338345865,0.0,0.3604651162790697,0.5,0.0263157894736842,0.98371335504886,0.44529531641800796
ep_51x51,0.7702127659574468,0.6426299045599152,0.0,0.2318840579710145,0.2068965517241379,0.0555555555555555,0.9836921069797782,0.4129815632496926
ep_101x101,0.6409774436090225,0.5835275835275835,0.0,0.1166666666666666,0.7079207920792079,0.5323529411764706,0.9836814621409922,0.5093038413142776
ep_201x201,0.6864406779661016,0.6304347826086957,0.0,0.2357142857142857,0.6266666666666667,0.532319391634981,0.9835418038183016,0.5278739440584332
ep_ms,0.688,0.7293497363796133,0.0,0.3181818181818182,0.3387096774193548,0.0,0.98371335504886,0.4368506552899495
nhd,0.2843915343915344,0.5499021526418787,0.0,0.1612903225806451,0.3098791755508173,0.1794871794871795,0.984697272122422,0.35280680525349667
osm,0.5224719101123596,0.5496083550913838,0.0039215686274509,0.0571696344892221,0.3066037735849056,0.1898617511520737,0.9837239583333334,0.3733372787701042
plancurv,0.2819843342036554,0.5498371335504886,0.0,0.0458598726114649,0.2988808426596445,0.162109375,0.98371335504886,0.33176927329630196
plancurv_10,0.2827361563517915,0.550326797385621,0.0033003300330033,0.0620957309184993,0.296875,0.162109375,0.9837239583333334,0.33445247828889263
plancurv_20,0.2802929427430093,0.5501302083333334,0.0,0.0697674418604651,0.296875,0.162109375,0.983670803396473,0.3346922530476116
plancurv_50,0.2844653665097512,0.5500327011118378,0.0,0.0481283422459893,0.2964169381107492,0.1615635179153094,0.9836601307189542,0.3320381423732273
plancurv_100,0.2870304748405386,0.5500327011118378,0.0068728522336769,0.0504710632570659,0.297244094488189,0.162109375,0.983702737940026,0.3339233284101906
plancurv_200,0.2802419354838709,0.5501302083333334,0.0071428571428571,0.0619469026548672,0.296875,0.1631578947368421,0.9836921069797782,0.3347409864759356
plancurv_ms,0.2835723598435463,0.5504885993485342,0.0,0.050392670157068,0.296875,0.1636904761904762,0.983702737940026,0.33267454906852156
procurv,0.2831800262812089,0.5498371335504886,0.0416666666666666,0.0570934256055363,0.296875,0.162214983713355,0.98371335504886,0.33922579869515934
procurv_10,0.2849071832122679,0.5499021526418787,0.0060975609756097,0.0608272506082725,0.296875,0.162109375,0.9843444227005872,0.3350089921626594
procurv_20,0.2833876221498371,0.5524060646011866,0.0,0.0369230769230769,0.2964169381107492,0.162109375,0.98371335504886,0.33070806169052996
procurv_50,0.2888888888888888,0.5501302083333334,0.0022123893805309,0.0326086956521739,0.296875,0.162109375,0.9836921069797782,0.33093095203352935
procurv_100,0.2883392226148409,0.5501302083333334,0.0048231511254019,0.0,0.2966101694915254,0.328,0.9837239583333334,0.3502323871283478
procurv_200,0.2867598137059215,0.5501302083333334,0.0039113428943937,0.0501628664495114,0.296875,0.2527472527472527,0.9837239583333334,0.3463300632091066
procurv_ms,0.2833876221498371,0.5512483574244416,0.0060790273556231,0.0144927536231884,0.2964169381107492,0.1735647530040053,0.9837239583333334,0.3298447728573111
logslope,0.2824527071102413,0.5509803921568628,0.0,0.0302197802197802,0.3358778625954198,0.2655007949125596,0.984354628422425,0.34991230934532697
logslope_10,0.2788244159758855,0.5501955671447197,0.0036443148688046,0.0526315789473684,0.3633276740237691,0.2332912988650693,0.983702737940026,0.3522310839665203
logslope_20,0.2822527832351015,0.5489556135770235,0.0,0.0529100529100529,0.3843478260869565,0.162109375,0.9837239583333334,0.3448999441632097
logslope_50,0.2991452991452991,0.5501302083333334,0.00390625,0.0676691729323308,0.296875,0.162109375,0.98371335504886,0.3376498086371176
logslope_100,0.2883845126835781,0.5501302083333334,0.00390625,0.0509596293845135,0.296875,0.162109375,0.98371335504886,0.33372547577861217
logslope_200,0.2844827586206896,0.5501302083333334,0.0,0.0493004663557628,0.2950819672131147,0.1893265565438373,0.9836921069797782,0.3360020091495023
logslope_ms,0.283203125,0.5498371335504886,0.0071942446043165,0.035650623885918,0.3533278553820871,0.293046357615894,0.9837239583333334,0.35799761405314817
slope,0.6645161290322581,0.5995352439969016,0.0,0.2727272727272727,0.7526132404181185,0.546875,0.98371335504886,0.5457114630319159
slope_10,0.5608919382504288,0.5832716506291635,0.0,0.1818181818181818,0.7578397212543554,0.5270588235294118,0.9836494440810988,0.5135042513660915
slope_20,0.4072463768115942,0.608,0.0,0.2021857923497267,0.7769652650822669,0.574468085106383,0.98371335504886,0.5075112677712615
slope_50,0.3089171974522293,0.5730337078651685,0.0,0.1610169491525423,0.7444253859348199,0.6073446327683616,0.9836601307189542,0.4826282862702965
slope_100,0.2908232118758435,0.5600558659217877,0.0,0.0317460317460317,0.768796992481203,0.667741935483871,0.9837239583333334,0.47184114226315294
slope_200,0.2903663500678426,0.5675872093023255,0.0,0.0131578947368421,0.7383720930232558,0.6171875,0.98371335504886,0.4586263431684466
slope_ms,0.6846846846846847,0.6354256233877902,0.1428571428571428,0.2547169811320754,0.7483221476510067,0.6257309941520468,0.983670803396473,0.5822011967516028
logstdslope_5x5,0.639511201629328,0.5820341499628805,0.0,0.136986301369863,0.6651234567901234,0.5209424083769634,0.983702737940026,0.5040428937241692
logstdslope_11x11,0.6030245746691871,0.568,0.0909090909090909,0.1578947368421052,0.6779141104294478,0.4589041095890411,0.9834656084656084,0.50573031870064
logstdslope_21x21,0.6119402985074627,0.58069270449521,0.0073529411764705,0.1674641148325359,0.6681818181818182,0.3848857644991212,0.9836387434554974,0.48630805502115937
logstdslope_51x51,0.5035561877667141,0.5626357711803042,0.0,0.1801242236024844,0.6849529780564263,0.3756019261637239,0.9835850295469468,0.47006515947379995
logstdslope_101x101,0.5044910179640718,0.5522984676882079,0.0,0.2235294117647059,0.7223168654173765,0.4474789915966387,0.983702737940026,0.49054535605300387
logstdslope_201x201,0.3654970760233918,0.5507531106745253,0.0,0.3064516129032258,0.6888168557536467,0.4838709677419355,0.9836387434554974,0.4827183380788889
logstdslope_ms,0.650390625,0.5579710144927537,0.0,0.1326530612244898,0.7535714285714286,0.4772117962466488,0.9836921069797782,0.507927147502157
stdslope_5x5,0.6865671641791045,0.557799442896936,0.0,0.0303030303030303,0.6137339055793991,0.4451476793248945,0.9837239583333334,0.47389645437381395
stdslope_11x11,0.5550239234449761,0.5614035087719298,0.0,0.2592592592592592,0.7553956834532374,0.4777227722772277,0.983702737940026,0.5132154121638081
stdslope_21x21,0.6266375545851528,0.5829787234042553,0.0,0.1271186440677966,0.6491228070175439,0.4237623762376237,0.9848584595128372,0.48492550926074424
stdslope_51x51,0.4717668488160291,0.5686711210096511,0.25,0.2051282051282051,0.5652724968314322,0.4217171717171717,0.9836387434554974,0.49517065527971243
