modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.6689655172413793,0.9668639053254438,0.3333333333333333,0.5454545454545454,0.9100877192982456,0.9678714859437751,0.9516876240900066,0.7634663043838185
dem,0.6850574712643678,0.7988165680473372,0.0,0.0,0.9100877192982456,0.6546184738955824,1.0,0.5783686046436476
ep_5x5,0.8689655172413793,0.7230769230769231,0.0,0.5454545454545454,0.0263157894736842,0.0,0.99933818663137,0.4518787088397002
ep_11x11,0.3885057471264367,0.4189349112426035,0.0,0.4935064935064935,0.0263157894736842,0.0,1.0,0.33246613447845974
ep_21x21,0.432183908045977,0.8899408284023669,0.0,0.4025974025974026,0.0394736842105263,0.0040160642570281,0.99933818663137,0.39536429630638154
ep_51x51,0.4160919540229885,0.7171597633136094,0.0,0.2077922077922078,0.0921052631578947,0.0200803212851405,0.9980145598941098,0.35017772420942156
ep_101x101,0.7839080459770115,0.8887573964497042,0.0,0.0909090909090909,0.6271929824561403,0.7269076305220884,0.9973527465254798,0.5878611275485021
ep_201x201,0.7448275862068966,0.8923076923076924,0.0,0.4285714285714285,0.4122807017543859,0.5622489959839357,0.9887491727332892,0.5755693682225183
ep_ms,0.3954022988505747,0.4911242603550296,0.0,0.5454545454545454,0.0460526315789473,0.0,0.99933818663137,0.353910274695781
nhd,0.9885057471264368,0.9976331360946744,0.0,0.1298701298701298,0.956140350877193,0.7871485943775101,0.9794837855724684,0.6912545348454875
osm,0.8551724137931035,0.9964497041420118,0.5,0.7922077922077922,0.9978070175438596,0.8273092369477911,1.0,0.8527065949477939
plancurv,0.993103448275862,0.9988165680473372,0.0,0.4675324675324675,0.9956140350877192,1.0,0.99933818663137,0.7792006722249651
plancurv_10,0.9977011494252872,0.9964497041420118,0.5,0.6233766233766234,1.0,1.0,1.0,0.8739324967062746
plancurv_20,0.967816091954023,1.0,0.0,0.1948051948051948,1.0,1.0,0.9966909331568498,0.7370446028451525
