modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.655436447166922,0.6705246913580247,0.0296296296296296,0.1309523809523809,0.8015267175572519,0.5354938271604939,0.9362680683311432,0.5371188231651208
dem,0.6819526627218935,0.7918367346938775,0.0520833333333333,0.2566371681415929,0.8921832884097035,0.6877394636015326,0.9536152796725784,0.6165782757963588
ep_5x5,0.6335227272727273,0.7564717162032598,0.1666666666666666,0.2105263157894736,0.8537200504413619,0.7716346153846154,0.956134338588074,0.6212394900494541
ep_11x11,0.7747035573122529,0.7939958592132506,0.0588235294117647,0.2312925170068027,0.8560311284046692,0.7843137254901961,0.9516348773841962,0.6358278848890189
ep_21x21,0.6876971608832808,0.7399821905609973,0.08,0.2586206896551724,0.8896551724137931,0.7374429223744292,0.9546079779917468,0.6211437305542028
ep_51x51,0.7184115523465704,0.761996161228407,0.0476190476190476,0.247191011235955,0.7839366515837104,0.6200345423143351,0.9472259810554804,0.589487849626215
ep_101x101,0.7142857142857143,0.7782101167315175,0.0612244897959183,0.2650602409638554,0.8309114927344782,0.6423487544483986,0.9550102249488752,0.6067215762726796
ep_201x201,0.7508710801393729,0.7847976307996052,0.037037037037037,0.2235294117647059,0.8598901098901099,0.7557077625570776,0.9627547434996486,0.6249411108125081
ep_ms,0.71875,0.8090815273477813,0.0434782608695652,0.2598425196850393,0.8101571946795647,0.753393665158371,0.952188552188552,0.6209845314184106
nhd,0.373850197109067,0.6177429876060013,0.0204081632653061,0.1538461538461538,0.5041958041958042,0.3240660295395308,0.9377510040160644,0.4188371913682754
osm,0.5518394648829431,0.639446366782007,0.0156794425087108,0.0554885404101326,0.5569326103795508,0.3447461629279811,0.9329427083333334,0.4424393280320941
plancurv,0.3714846304774362,0.6175895765472312,0.0097087378640776,0.0368794326241134,0.4867724867724867,0.28125,0.9328552803129074,0.39093430637117893
plancurv_10,0.3716525146962769,0.6197643979057592,0.0062735257214554,0.0478955007256894,0.4869621903520209,0.2793733681462141,0.9328990228013028,0.39211721719267406
plancurv_20,0.3701986754966887,0.6178385416666666,0.0,0.0522875816993464,0.4876302083333333,0.28125,0.9329427083333334,0.3917353879327669
plancurv_50,0.3756648936170212,0.6187050359712231,0.005050505050505,0.0630914826498422,0.4876302083333333,0.2809647979139504,0.9328114807566862,0.3948454863275087
plancurv_100,0.3695345557122708,0.6174934725848564,0.0046838407494145,0.0404858299595141,0.4885095206828628,0.28125,0.9329427083333334,0.39069998971746456
plancurv_200,0.3751686909581646,0.6178385416666666,0.0176991150442477,0.0279720279720279,0.4876302083333333,0.279023746701847,0.9328990228013028,0.39117590763965565
plancurv_ms,0.3719869706840391,0.6181462140992167,0.0,0.0398692810457516,0.4876302083333333,0.2850779510022271,0.9329427083333334,0.39080761907112876
procurv,0.3712772998014559,0.6175895765472312,0.0,0.0426287744227353,0.4872964169381107,0.28125,0.9329427083333334,0.39042639657755235
procurv_10,0.3860811930405965,0.618798955613577,0.00418410041841,0.0369458128078817,0.4876302083333333,0.28125,0.9334637964774952,0.3926220095273276
procurv_20,0.3715775749674054,0.6153337739590218,0.0,0.0307692307692307,0.4879478827361563,0.28125,0.9329427083333334,0.3885458815378782
procurv_50,0.3781743308167467,0.6175895765472312,0.009367681498829,0.0843373493975903,0.4872964169381107,0.2816166883963494,0.9328990228013028,0.39875443805659433
procurv_100,0.3798677443056576,0.6178385416666666,0.0082169268693508,0.0128205128205128,0.4879478827361563,0.4196141479099678,0.9329427083333334,0.40846406637737787
procurv_200,0.3808873720136518,0.6178385416666666,0.0085134250163719,0.0398692810457516,0.4876302083333333,0.3461538461538461,0.9328552803129074,0.40196399350607553
procurv_ms,0.3720626631853786,0.616600790513834,0.0171232876712328,0.1038961038961039,0.4866275277234181,0.3847283406754772,0.9328990228013028,0.4162768194952496
logslope,0.3717277486910995,0.6181462140992167,0.0,0.0294784580498866,0.5278614457831325,0.4098613251155624,0.9328990228013028,0.41285345922002864
logslope_10,0.3704819277108434,0.6183953033268101,0.0092923516797712,0.0550161812297734,0.5259686727122836,0.3737864077669903,0.9328114807566862,0.4122503321690226
logslope_20,0.3719711853307138,0.6177429876060013,0.025,0.0393162393162393,0.6007130124777184,0.28125,0.9328990228013028,0.40984177821885365
logslope_50,0.4095079232693911,0.6173402868318123,0.008491182233834,0.0319148936170212,0.4872964169381107,0.28125,0.9328990228013028,0.39552853224163886
logslope_100,0.3943060498220641,0.6173402868318123,0.0084967320261437,0.040943789035392,0.4872964169381107,0.28125,0.933420365535248,0.3947219485983958
logslope_200,0.3705921490352628,0.6178385416666666,0.0101010101010101,0.0393595730486991,0.4875328083989501,0.3403083700440528,0.9328552803129074,0.39979824751536414
logslope_ms,0.3717447916666667,0.6178385416666666,0.03125,0.0484581497797356,0.5606936416184971,0.4409221902017291,0.9328552803129074,0.4291089421780289
slope,0.7025641025641025,0.7041072925398156,0.1153846153846153,0.2071428571428571,0.8870346598202824,0.7358078602620087,0.9462151394422312,0.614036646736559
slope_10,0.6528,0.7403065825067628,0.0357142857142857,0.2368421052631578,0.9071618037135278,0.6948818897637795,0.9457468184862692,0.6019219264925404
slope_20,0.5891472868217055,0.7309458218549127,0.0,0.2046783625730994,0.8795031055900621,0.695049504950495,0.9468013468013468,0.5780179183702316
slope_50,0.4305799648506151,0.6895973154362416,0.0,0.160377358490566,0.8704856787048568,0.7230443974630021,0.9507422402159244,0.5464038507373151
slope_100,0.4005784526391902,0.6461758398856325,0.031578947368421,0.174496644295302,0.8821192052980132,0.6486988847583643,0.943008614976806,0.5323795127459613
slope_200,0.4104704097116843,0.6525484565685571,0.0,0.106951871657754,0.8585034013605443,0.5827123695976155,0.9356110381077528,0.5066853638577011
slope_ms,0.7605363984674329,0.7863874345549738,0.0363636363636363,0.2627118644067797,0.8623629719853837,0.7990074441687345,0.953835709436524,0.6373150656262092
logstdslope_5x5,0.7185840707964601,0.7000879507475813,0.0140845070422535,0.1777777777777777,0.8588548601864181,0.7142857142857143,0.940278699402787,0.5891362257484275
logstdslope_11x11,0.6824324324324325,0.698641765704584,0.0454545454545454,0.3287671232876712,0.8595360824742269,0.6766595289079229,0.9510537049626104,0.6060778833177134
logstdslope_21x21,0.6682692307692307,0.6626415094339623,0.0344827586206896,0.1369294605809128,0.8622448979591837,0.6046931407942239,0.9433333333333334,0.5589420473559338
logstdslope_51x51,0.6087533156498673,0.6679477325134512,0.04,0.1886792452830188,0.9041487839771102,0.6013628620102215,0.9440745672436752,0.5649952152396206
logstdslope_101x101,0.5812080536912752,0.6332179930795848,0.0224719101123595,0.1677852348993288,0.8802083333333334,0.6316872427983539,0.9356533158240316,0.5503188691054668
logstdslope_201x201,0.5204200700116686,0.625832223701731,0.0384615384615384,0.1571428571428571,0.8571428571428571,0.628,0.9431818181818182,0.5385973378060672
logstdslope_ms,0.6525157232704403,0.6850202429149798,0.0277777777777777,0.2626262626262626,0.88296488946684,0.7749360613810742,0.9464166108506364,0.6046082240411444
stdslope_5x5,0.6873977086743044,0.6817460317460318,0.0294117647058823,0.2666666666666666,0.8393977415307403,0.6347305389221557,0.9429329794293296,0.5831833473821587
