modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.7495621716287215,0.915700737618546,0.3076923076923077,0.180327868852459,0.8411214953271028,0.8032407407407407,0.994417306350314,0.6845803754585988
dem,0.8073555166374781,0.8177028451001054,0.3846153846153846,0.4754098360655737,0.8838451268357811,0.8310185185185185,0.975575715282624,0.7393604204364951
ep_5x5,0.7810858143607706,0.8314014752370916,0.1538461538461538,0.6557377049180327,0.903871829105474,0.7430555555555556,0.9734822051639916,0.7203543911695814
ep_11x11,0.6865148861646234,0.8082191780821918,0.1538461538461538,0.5573770491803278,0.8811748998664887,0.7407407407407407,0.9748778785764132,0.6861072552081341
ep_21x21,0.7635726795096323,0.8756585879873551,0.3076923076923077,0.4918032786885246,0.8611481975967957,0.7476851851851852,0.9685973482205164,0.7165939406971882
ep_51x51,0.6970227670753065,0.8366701791359326,0.3076923076923077,0.360655737704918,0.9252336448598132,0.8310185185185185,0.9769713886950454,0.7050377919545489
ep_101x101,0.7618213660245184,0.8429926238145417,0.4615384615384615,0.360655737704918,0.8397863818424566,0.8356481481481481,0.977669225401256,0.7257302777820429
ep_201x201,0.7548161120840631,0.8377239199157007,0.0769230769230769,0.6229508196721312,0.835781041388518,0.7662037037037037,0.9560362875087228,0.6929192801708453
ep_ms,0.6847635726795096,0.8261327713382508,0.0769230769230769,0.5409836065573771,0.8945260347129506,0.7708333333333334,0.9867411025819958,0.6829862140180706
nhd,0.9964973730297724,0.9978925184404636,0.0769230769230769,0.1967213114754098,0.9626168224299064,0.8634259259259259,0.977669225401256,0.7245351790894016
osm,0.8669001751313485,0.9736564805057956,0.6923076923076923,0.7540983606557377,0.959946595460614,0.6759259259259259,1.0,0.8461193185695877
plancurv,0.9947460595446584,0.9989462592202318,0.0769230769230769,0.4262295081967213,0.9826435246995996,1.0,0.9986043265875784,0.7825846793102667
plancurv_10,0.9964973730297724,0.9978925184404636,0.3846153846153846,0.5409836065573771,0.9973297730307076,0.9907407407407408,0.9993021632937892,0.8439087942440336
plancurv_20,0.978984238178634,1.0,0.0,0.1311475409836065,1.0,1.0,1.0,0.7300188255946057
plancurv_50,0.989492119089317,0.9968387776606956,0.0769230769230769,0.3278688524590163,1.0,0.9976851851851852,0.9979064898813678,0.7695306430283798
plancurv_100,0.9176882661996496,0.9968387776606956,0.3076923076923077,0.9836065573770492,0.9933244325767692,1.0,1.0,0.8855929059294959
plancurv_200,0.9737302977232924,1.0,0.3076923076923077,0.1311475409836065,1.0,0.9791666666666666,0.9993021632937892,0.7701484251942377
plancurv_ms,1.0,0.9978925184404636,0.0,1.0,1.0,0.8888888888888888,1.0,0.8409687724756217
procurv,0.9824868651488616,0.9989462592202318,0.0,0.7868852459016393,0.9986648865153538,1.0,1.0,0.823854750969441
procurv_10,0.8161120840630472,0.9989462592202318,0.1538461538461538,0.2459016393442623,1.0,1.0,0.9986043265875784,0.7447729232944678
procurv_20,0.9982486865148862,0.9810326659641728,0.0,0.1639344262295081,1.0,1.0,1.0,0.734745111244081
