,mean,sd
dem.tif,578.66943,74.11716
aerialr.tif,81.96715,36.932526
aerialg.tif,81.84415,31.426735
aerialb.tif,74.15585,27.584213
aerialnir.tif,104.60404,34.80082
ep_5x5.tif,47.13111,9.851523
ep_11x11.tif,48.969128,11.436561
ep_21x21.tif,49.442963,13.030264
ep_51x51.tif,49.740494,16.509409
ep_101x101.tif,49.891876,19.665604
ep_201x201.tif,49.996937,22.0208
plancurv.tif,-40.11443,6339.02
plancurv_10.tif,-40.139256,6339.019
plancurv_20.tif,-40.129883,6339.0195
plancurv_50.tif,-40.097248,6339.02
plancurv_100.tif,-39.949234,6339.0205
plancurv_200.tif,-39.90501,6339.0205
procurv.tif,-40.148262,6339.0195
procurv_10.tif,-40.07689,6339.02
procurv_20.tif,-40.12724,6339.0195
procurv_50.tif,-40.200558,6339.0186
procurv_100.tif,-40.33093,6339.018
procurv_200.tif,-40.326046,6339.018
slope.tif,5.4869137,5.0717864
slope_10.tif,4.830236,4.7260804
slope_20.tif,4.441211,4.350552
slope_50.tif,3.5564935,3.5945892
slope_100.tif,2.710703,2.8049688
slope_200.tif,-0.52199006,182.09764
stdslope_5x5.tif,1.2617288,1.4702008
stdslope_11x11.tif,1.7932205,1.8890477
stdslope_21x21.tif,2.2564304,2.121987
stdslope_51x51.tif,2.8948212,2.294924
stdslope_101x101.tif,3.364968,2.3145483
stdslope_201x201.tif,3.8161595,2.2488148
