patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
hv_256_50_619,0.0,0.09856755,0.0,0.0,0.13125038,0.010865585,0.7593164
hv_256_50_1406,0.0,0.038617577,0.0,0.0,0.0088875275,0.25029323,0.70220166
256_50_185,0.0,0.04052742,0.0,0.29557416,0.029310992,0.0,0.63458747
256_50_524,0.0,0.040457655,0.0033156818,0.0,0.65269256,0.2373108,0.06622329
256_50_769,0.0,0.10638733,0.0,0.044919245,0.71736497,0.04333447,0.08799391
256_50_3146,0.029388161,0.06272383,0.0,0.0,0.69361544,0.21427262,0.0
256_50_3997,0.028353872,0.20046727,0.0,0.0624047,0.7087742,0.0,0.0
256_50_4024,0.0,0.013713902,0.0,0.0,0.47450858,0.0,0.5117775
256_50_4170,0.0,0.043310024,0.0,0.0,0.16214773,0.41617543,0.37836683
256_50_6277,0.050403476,0.003306969,0.0,0.0,0.095623836,0.40234742,0.4483183
256_50_6506,1.1732054e-05,0.0,0.0,0.0,0.0460112,0.0,0.95397705
256_50_7327,0.21130146,0.0,0.0,0.0,0.0,0.0,0.78869855
256_50_9468,0.0,0.6160797,0.111993186,0.0,0.2632358,0.0,0.008691314
256_50_9732,0.0,0.23377359,0.0,0.0,0.09726913,0.0,0.6689573
256_50_10852,0.0,0.0015551514,0.0,0.0,0.0,0.74611926,0.2523255
256_50_12082,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_13697,0.0476253,0.18208125,0.0,0.004605306,0.19751883,0.0,0.56816936
256_50_14821,0.0,0.1322777,0.018304903,0.0,0.011409141,0.0,0.8380083
256_50_16692,0.0,0.08383784,0.0,0.0,0.5895423,0.0,0.3266198
256_50_18130,0.0,0.019713039,0.0,0.0,0.11993949,0.045873195,0.8144743
256_50_18829,0.0010175047,0.03329758,0.0,0.0,0.0,0.0,0.9656849
256_50_19536,0.0015643763,0.18566082,0.0,0.0,0.38454545,0.0,0.42822924
256_50_22109,0.08171431,0.04125311,0.0,0.0,0.19544494,0.0,0.68158776
sonora_256_50_739,0.027635697,0.0,0.0,0.0,0.0,0.0,0.97236425
sonora_256_50_975,0.0,0.014346068,0.0,0.0,0.41429377,0.0,0.5713602
sonora_256_50_1919,0.0,0.39475864,0.042720076,0.0,0.0,0.0,0.5625213
sonora_256_50_2481,0.0029172811,0.1908478,0.0,0.19481152,0.0,0.0,0.61142343
sonora_256_50_3239,0.0008129345,0.36845633,0.0,0.0,0.0,0.0,0.6307307
