channel,mean,sd
dem.tif,578.66943,74.11773
aerialr.tif,81.96723,36.93204
aerialg.tif,81.84424,31.426191
aerialb.tif,74.155815,27.584246
aerialnir.tif,104.60414,34.801083
ep_5x5.tif,47.131126,9.851758
ep_11x11.tif,48.96914,11.436294
ep_21x21.tif,49.442966,13.030088
ep_51x51.tif,49.740444,16.509245
ep_101x101.tif,49.89178,19.665842
ep_201x201.tif,49.99697,22.020554
plancurv.tif,-40.114494,6339.02
plancurv_10.tif,-40.139244,6339.0195
plancurv_20.tif,-40.129894,6339.0195
plancurv_50.tif,-40.097355,6339.02
plancurv_100.tif,-39.949226,6339.0205
plancurv_200.tif,-39.905052,6339.021
procurv.tif,-40.148296,6339.0195
procurv_10.tif,-40.076862,6339.02
procurv_20.tif,-40.12717,6339.0195
procurv_50.tif,-40.200466,6339.019
procurv_100.tif,-40.330833,6339.018
procurv_200.tif,-40.326107,6339.018
slope.tif,5.4869294,5.0717735
slope_10.tif,4.8302197,4.7260914
slope_20.tif,4.4412065,4.35056
slope_50.tif,3.556494,3.5945837
slope_100.tif,2.710702,2.804969
slope_200.tif,-0.5219927,182.09549
stdslope_5x5.tif,1.2617285,1.4702015
stdslope_11x11.tif,1.7932205,1.8890477
stdslope_21x21.tif,2.2564275,2.121984
stdslope_51x51.tif,2.8948245,2.2949297
stdslope_101x101.tif,3.3649712,2.3145432
stdslope_201x201.tif,3.8161566,2.2488155
