,mean,sd,min,max,nodata_count
dem.tif,578.66797,74.129265,391.6347,959.29114,0.0
aerialr.tif,81.96619,36.90098,0.0,255.0,0.0
aerialg.tif,81.83767,31.398926,0.30153963,255.0,0.0
aerialb.tif,74.148636,27.555475,8.234256,255.0,0.0
aerialnir.tif,104.60315,34.788418,0.0,255.0,0.0
ep_5x5.tif,47.13096,9.864855,0.0,92.10121,0.0
ep_11x11.tif,48.969097,11.441515,0.0,98.36802,0.0
ep_21x21.tif,49.442913,13.032106,0.0,99.55222,0.0
ep_51x51.tif,49.7404,16.5102,0.0,99.92408,0.0
ep_101x101.tif,49.89192,19.665495,0.0,99.980644,0.0
ep_201x201.tif,49.99699,22.02067,0.0,99.99512,0.0
plc.tif,0.07032508,1.252125,-4.9614367,4.530104,0.0
plc_10.tif,0.04538878,3.6387227,-9.207001,7.871614,0.0
plc_20.tif,0.055494342,3.5395117,-9.664201,8.254777,0.0
plc_50.tif,0.088411525,3.1152456,-9.4037895,8.44508,0.0
plc_100.tif,0.23687477,4.617218,-9.930657,10.083033,0.0
plc_200.tif,0.2785671,4.065466,-10.764938,10.175514,0.0
prc.tif,0.036541183,0.55064213,-3.3956504,3.3707154,0.0
prc_10.tif,0.10695917,1.6511495,-5.2531676,5.4962745,0.0
prc_20.tif,0.056374535,1.4133822,-4.6159816,4.752704,0.0
prc_50.tif,-0.016703786,0.98491603,-3.4406524,3.350446,0.0
prc_100.tif,-0.14705871,1.9288739,-4.7786117,4.7175756,0.0
prc_200.tif,-0.14074461,1.3290366,-3.5814974,3.6705606,0.0
s.tif,5.486915,5.0718284,0.0,67.804146,0.0
s_10.tif,4.8205023,4.716982,0.0,62.206036,0.0
s_20.tif,4.4264684,4.337691,0.0,54.155807,0.0
s_50.tif,3.5336185,3.575751,0.0035057089,37.915768,0.0
s_100.tif,2.687141,2.7809925,0.0064106486,24.493776,0.0
s_200.tif,1.8690363,1.8542851,0.006199241,12.562847,0.0
sds_5x5.tif,1.2617278,1.4703324,0.0,35.509277,0.0
sds_11x11.tif,1.7932228,1.8890829,0.0,34.369987,0.0
sds_21x21.tif,2.2564251,2.1219993,0.0,32.383232,0.0
sds_51x51.tif,2.894819,2.294933,0.0,27.244932,0.0
sds_101x101.tif,3.3649724,2.314537,0.01603428,22.16888,0.0
sds_201x201.tif,3.8161497,2.24883,0.40076992,20.481316,0.0
