,mean,sd,min,max,nodata_count
dem.tif,580.5244,74.84305,391.6347,959.29114,0.0
aerialr.tif,80.94149,0.0,0.0,255.0,0.0
aerialg.tif,80.837875,0.0,0.0,255.0,0.0
aerialb.tif,73.19421,0.0,7.0,255.0,0.0
aerialnir.tif,103.94089,0.0,0.0,255.0,0.0
ep_5x5.tif,47.128162,9.874353,0.0,92.10121,0.0
ep_11x11.tif,48.967655,11.448911,0.0,98.36802,0.0
ep_21x21.tif,49.44101,13.023561,0.0,99.55222,0.0
ep_51x51.tif,49.723606,16.478691,0.0,99.92408,0.0
ep_101x101.tif,49.84283,19.613672,0.0,99.980644,0.0
ep_201x201.tif,49.88414,21.930592,0.0,99.99512,0.0
plc.tif,0.07242971,1.2513206,-4.9614367,4.54106,0.0
plc_10.tif,0.04664722,3.6363463,-9.118674,7.342392,0.0
plc_20.tif,0.049487524,3.5411117,-9.664201,8.124626,0.0
plc_50.tif,0.06790731,3.1171436,-8.686825,8.572888,0.0
plc_100.tif,0.17870457,4.617539,-10.006744,11.070809,0.0
plc_200.tif,0.1903655,4.066912,-10.764938,10.2392025,0.0
prc.tif,0.036108498,0.5475075,-3.3956504,3.290931,0.0
prc_10.tif,0.10202966,1.642144,-5.4635434,5.4962745,0.0
prc_20.tif,0.050823323,1.4024324,-4.6159816,4.752704,0.0
prc_50.tif,-0.018769637,0.97690165,-3.4110494,3.350446,0.0
prc_100.tif,-0.14849275,1.9260588,-4.7786117,4.7175756,0.0
prc_200.tif,-0.1313177,1.3327446,-3.5814974,3.6705606,0.0
s.tif,5.4805193,5.0399857,0.0,65.96488,0.0
s_10.tif,4.8115544,4.6814213,0.0,61.837803,0.0
s_20.tif,4.417536,4.3128557,0.0,51.941025,0.0
s_50.tif,3.5340104,3.5843241,4.6859604e-05,37.42135,0.0
s_100.tif,2.702467,2.806906,0.008068994,24.405704,0.0
s_200.tif,1.8858957,1.8784434,0.006199241,12.491052,0.0
sds_5x5.tif,1.2561318,1.4442028,0.0,35.134754,0.0
sds_11x11.tif,1.7821912,1.8534673,0.0,34.369987,0.0
sds_21x21.tif,2.2382877,2.0787854,0.0,32.383232,0.0
sds_51x51.tif,2.8678222,2.2443328,0.0,27.244932,0.0
sds_101x101.tif,3.334608,2.2713273,0.0,22.097988,0.0
sds_201x201.tif,3.778613,2.215939,0.40076992,20.481316,0.0
